Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-06-27,87.0,10.65,10.0,10.17,47600.0,488356.2,0.0,0.17
2021-06-28,37.0,10.2,10.0,10.1,26700.0,269198.0,10.17,-0.07
2021-06-29,27.0,10.15,10.05,10.06,8880.0,89392.3,10.1,-0.04
2021-06-30,28.0,10.05,10.01,10.05,9600.0,96202.0,10.06,-0.01
2021-07-01,38.0,10.1,9.95,10.0,36300.0,363641.85,10.05,-0.05
2021-07-04,34.0,10.04,9.91,9.99,18800.0,187955.5,10.0,-0.01
2021-07-05,59.0,10.1,9.98,10.1,127750.0,1285608.2,9.99,0.11
2021-07-06,18.0,10.0,9.91,10.0,13700.0,136975.0,10.1,-0.1
2021-07-07,41.0,10.0,9.89,10.0,14890.0,148697.6,10.0,0.0
2021-07-08,19.0,10.0,9.9,10.0,5750.0,57406.0,10.0,0.0
2021-07-11,29.0,10.01,9.9,10.01,8320.0,82883.9,10.0,0.01
2021-07-12,28.0,10.05,9.86,9.94,28550.0,284635.5,10.01,-0.07
2021-07-13,43.0,10.1,9.75,10.03,13900.0,139359.0,9.94,0.09
2021-07-14,45.0,10.13,9.83,10.03,25300.0,254265.0,10.03,0.0
2021-07-15,79.0,10.81,10.0,10.81,64070.0,651484.1,10.03,0.78
2021-07-18,57.0,10.6,10.04,10.23,58796.0,599182.3,10.81,-0.58
2021-07-19,38.0,10.15,10.03,10.15,39660.0,399813.16,10.23,-0.08
2021-07-20,186.0,10.8,10.02,10.5,524915.0,5459026.65,10.15,0.35
2021-07-22,433.0,11.42,10.7,11.09,1328165.0,14657065.35,10.5,0.59
2021-07-25,120.0,11.02,10.65,10.97,189640.0,2055349.05,11.09,-0.12
2021-07-26,104.0,11.18,10.65,10.99,220287.0,2419208.82,10.97,0.02
2021-07-27,45.0,10.9,10.5,10.66,41586.0,444663.4,10.99,-0.33
2021-07-28,107.0,11.2,10.45,11.13,93034.0,1021445.92,10.66,0.47
2021-07-29,101.0,11.12,10.8,11.09,188908.0,2088458.68,11.13,-0.04
2021-08-01,117.0,11.53,10.75,10.75,213880.0,2356993.2,11.09,-0.34
2021-08-02,48.0,10.83,10.6,10.75,44800.0,481730.0,10.75,0.0
2021-08-03,42.0,10.8,10.54,10.61,41600.0,445199.0,10.75,-0.14
2021-08-04,53.0,10.66,10.5,10.66,77470.0,820434.4,10.61,0.05
2021-08-05,51.0,10.81,10.5,10.81,22750.0,243214.0,10.66,0.15
2021-08-08,50.0,11.02,10.39,10.79,49565.0,531882.95,10.81,-0.02
2021-08-09,76.0,10.78,10.29,10.6,160850.0,1706315.0,10.79,-0.19
2021-08-10,83.0,10.81,10.5,10.63,128810.0,1365346.2,10.6,0.03
