Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-12-26,7.0,1040.0,1001.0,1020.0,60085.0,60147500.0,1000.0,20.0
2019-12-29,3.0,1020.0,1011.0,1011.0,115.0,116850.0,1020.0,-9.0
2019-12-30,2.0,1025.0,1005.0,1025.0,100.0,102000.0,1011.0,14.0
2019-12-31,2.0,1020.0,1010.0,1010.0,50.0,50750.0,1025.0,-15.0
2020-01-01,1.0,1010.0,1010.0,1010.0,50.0,50500.0,1010.0,0.0
2020-01-05,1.0,1005.0,1005.0,1005.0,25.0,25125.0,1010.0,-5.0
2020-01-06,1.0,1010.0,1010.0,1010.0,25.0,25250.0,1005.0,5.0
2020-01-07,1.0,1010.0,1010.0,1010.0,50.0,50500.0,1010.0,0.0
2020-01-08,1.0,1011.0,1011.0,1011.0,100.0,101100.0,1010.0,1.0
2020-01-09,1.0,1011.0,1011.0,1011.0,25.0,25275.0,1011.0,0.0
2020-01-13,5.0,1020.0,1011.0,1011.0,200.0,203050.0,1011.0,0.0
2020-01-14,1.0,1011.0,1011.0,1011.0,100.0,101100.0,1011.0,0.0
2020-01-16,2.0,1011.0,1011.0,1011.0,50.0,50550.0,1011.0,0.0
2020-01-19,2.0,1011.0,1010.0,1010.0,125.0,126300.0,1011.0,-1.0
2020-01-20,3.0,1009.0,990.0,1009.0,50.0,49985.0,1010.0,-1.0
2020-01-21,2.0,1029.0,1015.0,1015.0,90.0,91910.0,1009.0,6.0
2020-01-22,2.0,1015.0,1002.0,1002.0,100.0,100330.0,1015.0,-13.0
2020-01-26,2.0,1003.0,1002.0,1002.0,25.0,25065.0,1002.0,0.0
2020-01-27,10.0,1010.0,1003.0,1005.0,1175.0,1181725.0,1002.0,3.0
2020-01-28,1.0,1002.0,1002.0,1002.0,25.0,25050.0,1005.0,-3.0
2020-02-04,2.0,1004.0,1003.0,1004.0,125.0,125475.0,1002.0,2.0
2020-02-05,1.0,1004.0,1004.0,1004.0,25.0,25100.0,1004.0,0.0
2020-02-06,1.0,1004.0,1004.0,1004.0,25.0,25100.0,1004.0,0.0
2020-02-11,2.0,1004.0,1004.0,1004.0,125.0,125500.0,1004.0,0.0
2020-02-13,1.0,1003.0,1003.0,1003.0,100.0,100300.0,1004.0,-1.0
2020-02-18,1.0,1003.0,1003.0,1003.0,100.0,100300.0,1003.0,0.0
2020-02-20,1.0,1003.0,1003.0,1003.0,50.0,50150.0,1003.0,0.0
2020-03-01,2.0,1001.0,990.0,990.0,160.0,159500.0,1003.0,-13.0
2020-03-03,3.0,991.0,990.0,990.0,100.0,99020.0,990.0,0.0
2020-03-10,1.0,990.0,990.0,990.0,25.0,24750.0,990.0,0.0
2020-03-12,5.0,991.0,980.0,980.0,125.0,123625.0,990.0,-10.0
2020-07-07,2.0,991.0,990.0,991.0,50.0,49525.0,980.0,11.0
2020-07-12,2.0,1030.0,1010.0,1030.0,75.0,76250.0,991.0,39.0
2020-07-13,4.0,1070.0,1050.0,1070.0,225.0,238250.0,1030.0,40.0
2020-07-14,2.0,1070.0,1070.0,1070.0,50.0,53500.0,1070.0,0.0
2020-07-15,1.0,1050.0,1050.0,1050.0,40.0,42000.0,1070.0,-20.0
2020-07-16,1.0,1050.0,1050.0,1050.0,100.0,105000.0,1050.0,0.0
2020-07-20,2.0,1055.0,1050.0,1050.0,50.0,52625.0,1050.0,0.0
2020-07-21,4.0,1050.0,1030.0,1050.0,195.0,203550.0,1050.0,0.0
2020-07-22,2.0,1050.0,1050.0,1050.0,100.0,105000.0,1050.0,0.0
2020-07-23,1.0,1070.0,1070.0,1070.0,25.0,26750.0,1050.0,20.0
2020-07-26,8.0,1050.0,1049.0,1050.0,475.0,498675.0,1070.0,-20.0
2020-07-27,5.0,1050.0,1045.0,1050.0,230.0,241175.0,1050.0,0.0
2020-07-28,3.0,1050.0,1042.0,1042.0,550.0,573900.0,1050.0,-8.0
2020-07-29,8.0,1050.0,1036.0,1036.0,475.0,497246.0,1042.0,-6.0
2020-07-30,4.0,1050.0,1049.0,1050.0,345.0,362165.0,1036.0,14.0
2020-08-02,1.0,1045.0,1045.0,1045.0,150.0,156750.0,1050.0,-5.0
2020-08-03,7.0,1050.0,1040.0,1042.0,600.0,627800.0,1045.0,-3.0
2020-08-05,8.0,1050.0,1042.0,1050.0,375.0,393050.0,1042.0,8.0
2020-08-06,4.0,1055.0,1045.0,1055.0,750.0,789500.0,1050.0,5.0
2020-08-09,5.0,1055.0,1035.0,1055.0,235.0,246725.0,1055.0,0.0
2020-08-10,2.0,1055.0,1045.0,1055.0,50.0,52500.0,1055.0,0.0
2020-08-11,7.0,1097.0,1055.0,1097.0,505.0,537830.0,1055.0,42.0
2020-08-12,4.0,1076.0,1057.0,1060.0,200.0,211950.0,1097.0,-37.0
2020-08-13,1.0,1050.0,1050.0,1050.0,25.0,26250.0,1060.0,-10.0
2020-08-16,8.0,1050.0,1040.0,1045.0,850.0,889000.0,1050.0,-5.0
2020-08-17,2.0,1050.0,1045.0,1050.0,75.0,78625.0,1045.0,5.0
2020-08-18,3.0,1051.0,1050.0,1050.0,230.0,241600.0,1050.0,0.0
2020-08-19,8.0,1048.0,1045.0,1045.0,625.0,654300.0,1050.0,-5.0
2020-08-23,4.0,1056.0,1055.0,1055.0,250.0,263850.0,1045.0,10.0
2020-08-24,2.0,1055.0,1055.0,1055.0,200.0,211000.0,1055.0,0.0
2020-08-25,4.0,1076.0,1073.0,1076.0,233.0,250208.0,1055.0,21.0
2020-08-26,2.0,1070.0,1070.0,1070.0,65.0,69550.0,1076.0,-6.0
2020-08-27,1.0,1070.0,1070.0,1070.0,35.0,37450.0,1070.0,0.0
2020-08-30,2.0,1070.0,1070.0,1070.0,65.0,69550.0,1070.0,0.0
2020-08-31,2.0,1070.0,1070.0,1070.0,35.0,37450.0,1070.0,0.0
2020-09-03,2.0,1075.0,1075.0,1075.0,40.0,43000.0,1070.0,5.0
2020-09-06,1.0,1070.0,1070.0,1070.0,25.0,26750.0,1075.0,-5.0
2020-09-07,4.0,1073.0,1071.0,1071.0,105.0,112585.0,1070.0,1.0
2020-09-09,1.0,1071.0,1071.0,1071.0,25.0,26775.0,1071.0,0.0
2020-09-10,6.0,1091.0,1070.0,1070.0,815.0,882750.0,1071.0,-1.0
2020-09-13,1.0,1049.0,1049.0,1049.0,25.0,26225.0,1070.0,-21.0
2020-09-14,3.0,1056.0,1051.0,1056.0,100.0,105275.0,1049.0,7.0
2020-09-15,1.0,1071.0,1071.0,1071.0,100.0,107100.0,1056.0,15.0
2020-09-16,1.0,1058.0,1058.0,1058.0,25.0,26450.0,1071.0,-13.0
2020-09-20,3.0,1070.0,1061.0,1061.0,355.0,379625.0,1058.0,3.0
2020-09-21,5.0,1078.0,1062.0,1078.0,550.0,586000.0,1061.0,17.0
2020-09-22,1.0,1066.0,1066.0,1066.0,50.0,53300.0,1078.0,-12.0
2020-09-23,2.0,1080.0,1062.0,1062.0,50.0,53550.0,1066.0,-4.0
2020-09-27,1.0,1075.0,1075.0,1075.0,200.0,215000.0,1062.0,13.0
2020-09-30,1.0,1075.0,1075.0,1075.0,25.0,26875.0,1075.0,0.0
2020-10-05,2.0,1065.0,1065.0,1065.0,50.0,53250.0,1075.0,-10.0
2020-10-06,3.0,1086.0,1085.0,1086.0,525.0,570125.0,1065.0,21.0
2020-10-07,1.0,1065.0,1065.0,1065.0,50.0,53250.0,1086.0,-21.0
2020-10-08,3.0,1080.0,1075.0,1075.0,45.0,48550.0,1065.0,10.0
2020-10-11,4.0,1080.0,1069.0,1080.0,1050.0,1133600.0,1075.0,5.0
2020-10-12,2.0,1073.0,1071.0,1073.0,515.0,552565.0,1080.0,-7.0
2020-10-13,2.0,1085.0,1076.0,1085.0,560.0,607150.0,1073.0,12.0
2020-10-15,6.0,1095.0,1075.0,1095.0,885.0,965375.0,1085.0,10.0
