Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2018-04-24,1.0,10.0,10.0,10.0,1000.0,10000.0,0.0,10.0
2018-04-29,3.0,9.81,9.8,9.8,1800.0,17650.0,10.0,-0.2
2018-05-02,4.0,9.6,9.5,9.5,1700.0,16220.0,9.8,-0.3
2018-05-03,3.0,9.5,9.4,9.5,1150.0,10835.0,9.5,0.0
2018-05-06,1.0,9.5,9.5,9.5,900.0,8550.0,9.5,0.0
2018-05-08,4.0,9.5,9.36,9.5,1600.0,15005.0,9.5,0.0
2018-05-10,2.0,9.35,9.32,9.35,1000.0,9335.0,9.5,-0.15
2018-05-16,1.0,9.4,9.4,9.4,500.0,4700.0,9.35,0.05
2018-05-21,1.0,9.23,9.23,9.23,1000.0,9230.0,9.4,-0.17
2018-05-22,1.0,9.23,9.23,9.23,140.0,1292.2,9.23,0.0
2018-05-27,1.0,9.07,9.07,9.07,5000.0,45350.0,9.23,-0.16
2018-05-28,1.0,9.15,9.15,9.15,2000.0,18300.0,9.07,0.08
2018-05-29,6.0,9.52,9.33,9.52,3700.0,34671.0,9.15,0.37
2018-05-31,2.0,9.6,9.52,9.52,4600.0,44152.0,9.52,0.0
2018-06-04,3.0,9.33,9.0,9.0,1600.0,14583.0,9.52,-0.52
2018-06-07,2.0,9.18,9.0,9.18,1100.0,10080.0,9.0,0.18
2018-06-10,5.0,9.13,8.95,9.0,5600.0,50405.0,9.18,-0.18
2018-06-11,2.0,8.91,8.82,8.82,1100.0,9792.0,9.0,-0.18
2018-06-13,1.0,8.82,8.82,8.82,500.0,4410.0,8.82,0.0
2018-06-17,1.0,9.0,9.0,9.0,500.0,4500.0,8.82,0.18
2018-06-18,1.0,8.82,8.82,8.82,500.0,4410.0,9.0,-0.18
2018-06-27,1.0,8.9,8.9,8.9,1000.0,8900.0,8.82,0.08
2018-06-28,2.0,9.05,9.0,9.0,1000.0,9025.0,8.9,0.1
2018-07-01,3.0,9.1,9.03,9.1,3000.0,27235.0,9.0,0.1
2018-07-04,2.0,9.03,8.95,8.95,1500.0,13505.0,9.1,-0.15
2018-07-08,2.0,9.13,9.0,9.0,400.0,3613.0,8.95,0.05
2018-07-11,1.0,9.0,9.0,9.0,1000.0,9000.0,9.0,0.0
2018-07-12,2.0,9.0,9.0,9.0,1825.0,16425.0,9.0,0.0
2018-07-16,2.0,9.19,9.01,9.19,500.0,4523.0,9.0,0.19
2018-07-18,4.0,9.37,9.18,9.18,3000.0,27654.0,9.19,-0.01
2018-07-19,4.0,9.55,9.18,9.55,1500.0,14040.0,9.18,0.37
2018-07-22,3.0,9.55,9.36,9.55,1700.0,16135.0,9.55,0.0
2018-07-25,4.0,9.55,9.36,9.55,10500.0,99155.0,9.55,0.0
2018-07-26,4.0,9.4,9.4,9.4,1300.0,12220.0,9.55,-0.15
2018-07-29,3.0,9.4,9.21,9.21,2500.0,23215.0,9.4,-0.19
2018-07-30,2.0,9.2,9.05,9.2,5200.0,47810.0,9.21,-0.01
2018-07-31,3.0,9.08,9.05,9.07,1100.0,9982.0,9.2,-0.13
2018-08-01,5.0,8.93,8.89,8.89,15000.0,133550.0,9.07,-0.18
