Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-12,4.0,202.0,198.0,200.0,557.0,111358.0,222.0,-22.0
2012-06-13,2.0,204.0,200.0,204.0,163.0,32828.0,200.0,4.0
2012-07-30,1.0,208.0,208.0,208.0,116.0,24128.0,204.0,4.0
2012-08-14,1.0,212.0,212.0,212.0,136.0,28832.0,208.0,4.0
2012-08-15,1.0,209.0,209.0,209.0,246.0,51414.0,212.0,-3.0
2012-09-09,1.0,219.0,219.0,219.0,20.0,4380.0,209.0,10.0
2012-09-11,1.0,229.0,229.0,229.0,20.0,4580.0,219.0,10.0
2012-09-12,1.0,240.0,240.0,240.0,20.0,4800.0,229.0,11.0
2012-09-13,1.0,252.0,252.0,252.0,20.0,5040.0,240.0,12.0
2012-09-16,1.0,264.0,264.0,264.0,20.0,5280.0,252.0,12.0
2012-09-17,3.0,282.0,277.0,282.0,184.0,51788.0,264.0,18.0
2012-09-18,1.0,286.0,286.0,286.0,20.0,5720.0,282.0,4.0
2012-09-19,4.0,300.0,294.0,294.0,3717.0,1093403.0,286.0,8.0
2012-09-20,4.0,323.0,308.0,323.0,56.0,17629.0,294.0,29.0
2012-09-23,4.0,345.0,339.0,339.0,282.0,95658.0,323.0,16.0
2012-09-24,5.0,334.0,321.0,321.0,135.0,44446.0,339.0,-18.0
2012-11-25,3.0,320.0,315.0,315.0,273.0,86875.0,321.0,-6.0
2012-12-03,5.0,311.0,290.0,290.0,127.0,38178.0,315.0,-25.0
2012-12-05,2.0,299.0,295.0,299.0,478.0,142522.0,290.0,9.0
2012-12-11,2.0,295.0,294.0,294.0,512.0,150918.0,299.0,-5.0
2012-12-12,1.0,290.0,290.0,290.0,19.0,5510.0,294.0,-4.0
2012-12-16,1.0,290.0,290.0,290.0,13.0,3770.0,290.0,0.0
2012-12-20,2.0,291.0,291.0,291.0,62.0,18042.0,290.0,1.0
2012-12-23,1.0,291.0,291.0,291.0,624.0,181584.0,291.0,0.0
2012-12-24,2.0,301.0,296.0,301.0,761.0,227786.0,291.0,10.0
2012-12-26,1.0,307.0,307.0,307.0,624.0,191568.0,301.0,6.0
2012-12-31,1.0,307.0,307.0,307.0,859.0,263713.0,307.0,0.0
2013-02-05,2.0,256.0,256.0,256.0,5149.0,1318144.0,307.0,-51.0
2013-03-05,2.0,251.0,246.0,246.0,205.0,50930.0,256.0,-10.0
2013-04-03,1.0,247.0,247.0,247.0,50.0,12350.0,250.0,-3.0
2013-04-04,1.0,246.0,246.0,246.0,50.0,12300.0,247.0,-1.0
2013-04-29,1.0,249.0,249.0,249.0,32.0,7968.0,246.0,3.0
2013-05-02,1.0,245.0,245.0,245.0,100.0,24500.0,249.0,-4.0
2013-05-09,1.0,245.0,245.0,245.0,51.0,12495.0,245.0,0.0
2013-05-20,1.0,245.0,245.0,245.0,317.0,77665.0,245.0,0.0
2013-06-03,1.0,249.0,249.0,249.0,454.0,113046.0,245.0,4.0
2013-06-10,2.0,253.0,253.0,253.0,2600.0,657800.0,249.0,4.0
2013-06-27,5.0,253.0,245.0,253.0,11628.0,2906797.0,253.0,0.0
2013-07-09,3.0,250.0,250.0,250.0,11031.0,2757750.0,253.0,-3.0
2013-07-22,4.0,245.0,233.0,233.0,617.0,145093.0,250.0,-17.0
2013-07-30,2.0,241.0,237.0,241.0,22.0,5258.0,233.0,8.0
2013-08-06,2.0,249.0,245.0,249.0,595.0,147043.0,241.0,8.0
2013-08-07,2.0,258.0,253.0,258.0,1354.0,347942.0,249.0,9.0
2013-08-08,7.0,273.0,253.0,273.0,2754.0,709552.0,258.0,15.0
