Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-09-07,55.0,10.01,9.81,9.99,32140.0,320747.0,0.0,-0.01
2021-09-08,76.0,10.0,9.83,9.98,68300.0,676118.28,9.99,-0.01
2021-09-09,84.0,10.0,9.82,9.82,56000.0,553879.5,9.98,-0.16
2021-09-12,46.0,10.1,9.7,9.91,23000.0,228556.0,9.82,0.09
2021-09-13,36.0,9.9,9.76,9.9,39250.0,386286.5,9.91,-0.01
2021-09-14,31.0,9.99,9.74,9.8,14700.0,144767.0,9.9,-0.1
2021-09-15,43.0,9.99,9.7,9.75,35710.0,350710.7,9.8,-0.05
2021-09-16,32.0,9.79,9.6,9.67,37050.0,357559.5,9.75,-0.08
2021-09-20,53.0,9.67,9.31,9.34,48650.0,458213.5,9.67,-0.33
2021-09-21,37.0,9.43,9.01,9.29,31390.0,289827.7,9.34,-0.05
2021-09-22,25.0,9.58,9.37,9.57,26800.0,256268.0,9.29,0.28
2021-09-23,41.0,9.6,9.39,9.6,41000.0,388126.25,9.57,0.03
2021-09-26,26.0,9.79,9.43,9.45,30600.0,293625.4,9.6,-0.15
2021-09-27,45.0,9.5,9.4,9.5,64450.0,609091.0,9.45,0.05
2021-09-28,43.0,9.5,9.31,9.32,55600.0,519562.0,9.5,-0.18
2021-09-29,23.0,9.6,9.32,9.6,8000.0,75239.0,9.32,0.28
2021-09-30,27.0,9.7,9.41,9.46,19900.0,187871.0,9.6,-0.14
2021-10-03,45.0,9.75,9.28,9.59,32880.0,315180.0,9.46,0.13
2021-10-04,18.0,9.55,9.42,9.42,7550.0,71232.0,9.59,-0.17
2021-10-05,19.0,9.69,9.41,9.42,15200.0,145389.0,9.42,0.0
2021-10-06,24.0,9.79,9.42,9.6,6200.0,59227.5,9.42,0.18
2021-10-10,21.0,9.9,9.6,9.8,14200.0,139258.0,9.6,0.2
2021-10-11,24.0,10.1,9.63,9.63,17850.0,178088.5,9.8,-0.17
2021-10-17,16.0,9.6,9.44,9.6,14400.0,137616.0,9.63,-0.03
2021-10-18,17.0,9.79,9.45,9.75,15150.0,144286.5,9.6,0.15
2021-10-19,18.0,9.56,9.04,9.38,20900.0,194253.0,9.75,-0.37
2021-10-20,15.0,9.56,9.22,9.4,5600.0,52058.0,9.38,0.02
2021-10-21,12.0,9.4,9.22,9.35,10200.0,94851.0,9.4,-0.05
2021-10-24,40.0,9.5,9.17,9.18,32553.0,301535.2,9.35,-0.17
2021-10-25,22.0,9.53,9.2,9.53,6800.0,64148.5,9.18,0.35
2021-10-26,17.0,9.72,9.56,9.57,5900.0,56614.0,9.53,0.04
2021-10-27,22.0,9.7,9.27,9.5,8900.0,85031.0,9.57,-0.07
2021-10-28,33.0,9.79,9.38,9.79,18160.0,172402.2,9.5,0.29
2021-10-31,36.0,9.89,9.6,9.71,21050.0,204270.5,9.79,-0.08
2021-11-01,34.0,9.8,9.61,9.7,21780.0,212063.8,9.71,-0.01
2021-11-02,22.0,10.0,9.7,9.8,17250.0,169852.0,9.7,0.1
2021-11-03,25.0,9.99,9.62,9.62,30870.0,305913.0,9.8,-0.18
2021-11-08,30.0,9.94,9.6,9.74,11500.0,112548.0,9.62,0.12
2021-11-09,21.0,9.95,9.6,9.6,7500.0,73336.0,9.74,-0.14
2021-11-11,42.0,9.8,9.6,9.6,23324.0,225708.4,9.6,0.0
2021-11-14,13.0,9.7,9.45,9.51,4700.0,45014.0,9.6,-0.09
2021-11-15,34.0,9.77,9.32,9.58,12450.0,118724.0,9.51,0.07
2021-11-16,32.0,9.7,9.44,9.7,11270.0,107988.0,9.58,0.12
2021-11-17,20.0,9.7,9.51,9.55,5438.0,51902.72,9.7,-0.15
2021-11-18,26.0,9.68,9.36,9.68,13362.0,125893.44,9.55,0.13
2021-11-21,22.0,9.55,9.49,9.49,5000.0,47475.0,9.68,-0.19
2021-11-22,25.0,9.69,9.49,9.49,9950.0,95036.5,9.49,0.0
2021-11-23,44.0,9.5,9.38,9.41,17023.0,160584.97,9.49,-0.08
2021-11-24,26.0,9.59,9.26,9.29,10600.0,99162.0,9.41,-0.12
2021-11-25,22.0,9.48,9.29,9.31,21200.0,199338.0,9.29,0.02
2021-11-28,26.0,9.44,9.25,9.27,4700.0,43676.0,9.31,-0.04
2021-11-29,35.0,9.38,9.15,9.2,15600.0,143635.0,9.27,-0.07
2021-11-30,19.0,9.38,9.2,9.38,17300.0,161769.0,9.2,0.18
2021-12-01,8.0,9.5,9.22,9.5,10320.0,97425.0,9.38,0.12
2021-12-02,20.0,9.32,9.2,9.25,4400.0,40622.0,9.5,-0.25
2021-12-05,27.0,9.3,9.07,9.07,36950.0,338917.28,9.25,-0.18
2021-12-06,36.0,9.25,9.0,9.06,16400.0,149411.5,9.07,-0.01
2021-12-07,19.0,9.2,8.89,9.05,5967.0,54476.02,9.06,-0.01
2021-12-08,24.0,9.1,8.9,9.03,8860.0,79731.0,9.05,-0.02
2021-12-09,21.0,9.1,8.88,9.0,8400.0,75343.3,9.03,-0.03
2021-12-12,25.0,9.1,8.91,8.91,24066.0,216179.75,9.0,-0.09
2021-12-13,30.0,9.08,8.75,8.8,40439.0,356635.02,8.91,-0.11
2021-12-14,8.0,9.28,8.76,9.28,4100.0,37018.0,8.8,0.48
2021-12-15,23.0,9.27,8.93,9.27,23510.0,213458.0,9.28,-0.01
2021-12-16,2.0,9.44,9.35,9.44,430.0,4029.5,9.27,0.17
2021-12-20,9.0,9.26,8.93,9.0,2100.0,19064.0,9.44,-0.44
2021-12-21,20.0,9.04,8.83,8.89,9900.0,88807.0,9.0,-0.11
2021-12-22,22.0,9.18,8.82,8.88,4100.0,36936.0,8.89,-0.01
2021-12-23,15.0,9.05,8.78,8.95,3100.0,27799.0,8.88,0.07
2021-12-26,26.0,9.12,8.78,8.99,33350.0,295306.0,8.95,0.04
2021-12-27,30.0,9.0,8.85,8.9,17000.0,151335.0,8.99,-0.09
2021-12-28,9.0,8.95,8.76,8.95,1800.0,15992.0,8.9,0.05
2021-12-29,20.0,8.98,8.78,8.87,9460.0,83520.8,8.95,-0.08
2022-01-02,17.0,9.0,8.83,9.0,5250.0,46758.0,8.87,0.13
2022-01-03,11.0,9.12,8.88,9.0,1950.0,17565.0,9.0,0.0
2022-01-04,21.0,9.18,8.9,9.18,42050.0,378840.0,9.0,0.18
2022-01-05,18.0,9.19,8.9,8.94,5200.0,46751.0,9.18,-0.24
2022-01-06,30.0,9.18,8.77,9.12,33300.0,296537.5,8.94,0.18
2022-01-09,29.0,9.3,9.03,9.13,22190.0,202861.7,9.12,0.01
2022-01-10,30.0,9.28,9.0,9.26,24060.0,220503.8,9.13,0.13
2022-01-11,23.0,9.42,9.09,9.42,10095.0,94414.4,9.26,0.16
2022-01-12,29.0,9.35,9.25,9.25,14700.0,136196.0,9.42,-0.17
2022-01-13,36.0,9.28,9.07,9.12,33000.0,302604.0,9.25,-0.13
2022-01-16,39.0,9.4,9.0,9.26,25327.0,234367.2,9.12,0.14
2022-01-17,35.0,9.44,9.2,9.25,37340.0,346649.5,9.26,-0.01
2022-01-18,37.0,9.45,9.26,9.37,38000.0,356312.1,9.25,0.12
2022-01-19,28.0,9.48,9.19,9.35,25680.0,241481.72,9.37,-0.02
2022-01-20,15.0,9.4,9.32,9.36,4440.0,41568.2,9.35,0.01
2022-01-23,41.0,9.45,9.1,9.26,31950.0,294043.04,9.36,-0.1
2022-01-24,29.0,9.25,9.14,9.15,25143.0,231237.52,9.26,-0.11
2022-01-25,20.0,9.2,9.0,9.17,6000.0,54772.0,9.15,0.02
2022-01-26,29.0,9.34,9.05,9.2,23500.0,217055.0,9.17,0.03
2022-01-27,42.0,9.4,9.05,9.4,41100.0,382150.61,9.2,0.2
2022-01-30,38.0,9.58,9.08,9.19,14250.0,132070.5,9.4,-0.21
2022-01-31,43.0,9.36,9.02,9.35,33050.0,307730.5,9.19,0.16
2022-02-01,38.0,9.53,9.02,9.25,25875.0,238782.5,9.35,-0.1
2022-02-03,77.0,9.25,9.07,9.07,81275.0,742373.9,9.25,-0.18
2022-02-06,29.0,9.23,8.89,9.23,13750.0,124996.5,9.07,0.16
2022-02-07,38.0,9.28,9.0,9.12,22130.0,202189.0,9.23,-0.11
2022-02-08,32.0,9.22,9.04,9.07,11873.0,108502.3,9.12,-0.05
2022-02-09,17.0,9.26,8.92,9.15,6460.0,59004.5,9.07,0.08
2022-02-10,19.0,9.2,8.97,9.16,4783.0,43471.64,9.15,0.01
2022-02-13,31.0,9.08,8.92,9.08,32200.0,289193.0,9.16,-0.08
2022-02-14,18.0,9.18,8.92,9.0,9230.0,83447.6,9.08,-0.08
2022-02-15,28.0,9.06,8.9,9.06,10850.0,97739.2,9.0,0.06
2022-02-16,16.0,9.1,8.95,9.1,3100.0,28026.0,9.06,0.04
2022-02-17,18.0,9.1,8.94,9.1,12700.0,115292.0,9.1,0.0
2022-02-20,17.0,9.2,8.94,8.96,7400.0,66605.0,9.1,-0.14
2022-02-21,18.0,9.0,8.83,8.93,4910.0,44011.3,8.96,-0.03
2022-02-22,17.0,9.1,8.92,9.01,3100.0,27985.0,8.93,0.08
2022-02-23,21.0,9.12,9.0,9.01,10250.0,92409.0,9.01,0.0
2022-02-24,39.0,9.05,8.77,8.9,41600.0,367139.75,9.01,-0.11
2022-02-27,15.0,9.01,8.76,8.8,19450.0,172312.0,8.9,-0.1
2022-02-28,20.0,9.1,8.65,8.75,11300.0,100132.2,8.8,-0.05
2022-03-02,24.0,8.8,8.65,8.75,13800.0,120009.0,8.75,0.0
2022-03-06,20.0,8.9,8.7,8.75,13378.0,118668.0,8.75,0.0
2022-03-07,12.0,8.8,8.72,8.73,1200.0,10498.0,8.75,-0.02
2022-03-09,20.0,8.74,8.53,8.62,13725.0,118882.75,8.73,-0.11
2022-03-10,22.0,8.91,8.45,8.89,25000.0,213562.0,8.62,0.27
2022-03-13,29.0,9.0,8.72,8.99,12100.0,107558.3,8.89,0.1
2022-03-14,6.0,9.11,8.84,8.89,1200.0,10686.0,8.99,-0.1
2022-03-15,32.0,9.22,8.73,8.86,18540.0,167425.6,8.89,-0.03
2022-03-16,18.0,9.07,8.73,8.9,5100.0,45495.0,8.86,0.04
2022-03-20,14.0,9.07,8.77,8.9,2600.0,23266.0,8.9,0.0
2022-03-21,16.0,9.06,8.88,8.95,5000.0,44812.0,8.9,0.05
2022-03-22,39.0,9.12,8.92,9.0,63500.0,571045.0,8.95,0.05
2022-03-23,15.0,9.1,8.86,8.95,8460.0,76355.0,9.0,-0.05
2022-03-24,15.0,9.12,8.85,8.95,15390.0,137295.1,8.95,0.0
2022-03-27,37.0,9.17,8.83,8.83,36850.0,327757.0,8.95,-0.12
2022-03-28,13.0,9.1,8.68,8.95,6800.0,60613.0,8.83,0.12
2022-03-29,14.0,9.12,8.69,9.0,2750.0,24296.0,8.95,0.05
2022-03-30,11.0,9.16,8.82,8.9,8070.0,71562.0,9.0,-0.1
2022-03-31,23.0,8.95,8.75,8.95,16700.0,146389.0,8.9,0.05
2022-04-03,27.0,9.0,8.67,8.9,28400.0,248457.0,8.95,-0.05
2022-04-04,20.0,9.07,8.55,8.72,9000.0,78314.0,8.9,-0.18
2022-04-05,39.0,8.75,8.43,8.75,29000.0,247969.36,8.72,0.03
2022-04-06,8.0,8.75,8.58,8.75,2000.0,17357.0,8.75,0.0
