Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,4.0,159.0,150.0,150.0,510.0,79080.0,162.0,-12.0
2012-06-05,1.0,147.0,147.0,147.0,13.0,1911.0,150.0,-3.0
2012-06-06,1.0,145.0,145.0,145.0,448.0,64960.0,147.0,-2.0
2012-06-07,1.0,143.0,143.0,143.0,36.0,5148.0,145.0,-2.0
2012-06-10,2.0,141.0,139.0,139.0,140.0,19502.0,143.0,-4.0
2012-06-11,1.0,140.0,140.0,140.0,1578.0,220920.0,139.0,1.0
2012-06-12,5.0,144.0,141.0,144.0,710.0,100980.0,140.0,4.0
2012-06-13,7.0,146.0,141.0,141.0,1100.0,157700.0,144.0,-3.0
2012-06-14,11.0,140.0,138.0,138.0,2350.0,324900.0,141.0,-3.0
2012-06-18,7.0,136.0,129.0,129.0,3301.0,428320.0,138.0,-9.0
2012-06-21,1.0,131.0,131.0,131.0,135.0,17685.0,129.0,2.0
2012-06-25,2.0,135.0,133.0,135.0,44.0,5910.0,131.0,4.0
2012-07-02,1.0,137.0,137.0,137.0,10.0,1370.0,135.0,2.0
2012-07-03,2.0,141.0,139.0,141.0,48.0,6714.0,137.0,4.0
2012-07-04,1.0,143.0,143.0,143.0,10.0,1430.0,141.0,2.0
2012-07-05,8.0,154.0,145.0,150.0,363.0,54743.0,143.0,7.0
2012-07-08,6.0,150.0,146.0,148.0,666.0,98940.0,150.0,-2.0
2012-07-11,1.0,150.0,150.0,150.0,75.0,11250.0,148.0,2.0
2012-07-12,2.0,153.0,151.0,153.0,221.0,33771.0,150.0,3.0
2012-07-16,2.0,150.0,147.0,147.0,70.0,10410.0,153.0,-6.0
2012-07-19,1.0,149.0,149.0,149.0,204.0,30396.0,147.0,2.0
2012-07-22,4.0,155.0,151.0,155.0,513.0,78613.0,149.0,6.0
2012-08-01,3.0,155.0,152.0,152.0,604.0,92155.0,155.0,-3.0
2012-08-06,1.0,150.0,150.0,150.0,272.0,40800.0,152.0,-2.0
2012-08-07,5.0,156.0,150.0,153.0,320.0,48357.0,150.0,3.0
2012-08-08,6.0,159.0,150.0,159.0,595.0,90002.0,153.0,6.0
2012-08-16,3.0,156.0,152.0,152.0,580.0,88660.0,159.0,-7.0
2012-08-19,8.0,149.0,137.0,137.0,416.0,59456.0,152.0,-15.0
2012-08-21,10.0,135.0,129.0,131.0,912.0,119084.0,137.0,-6.0
2012-08-22,2.0,133.0,132.0,132.0,216.0,28612.0,131.0,1.0
