Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-08-28,9.0,107.0,100.0,100.0,620.0,64290.0,118.0,-18.0
2012-08-29,9.0,110.0,102.0,110.0,896.0,98220.0,100.0,10.0
2012-08-30,7.0,121.0,112.0,121.0,468.0,54673.0,110.0,11.0
2012-09-02,13.0,127.0,118.0,118.0,1651.0,200434.0,121.0,-3.0
2012-09-05,2.0,116.0,114.0,114.0,46.0,5290.0,118.0,-4.0
2012-09-06,6.0,112.0,106.0,108.0,946.0,103666.0,114.0,-6.0
2012-09-09,3.0,110.0,110.0,110.0,167.0,18370.0,108.0,2.0
2012-09-11,8.0,110.0,106.0,110.0,436.0,46649.0,110.0,0.0
2012-09-13,2.0,112.0,112.0,112.0,46.0,5152.0,110.0,2.0
2012-09-16,6.0,114.0,110.0,114.0,870.0,97498.0,112.0,2.0
2012-09-17,4.0,116.0,114.0,116.0,740.0,85081.0,114.0,2.0
2012-09-18,3.0,120.0,118.0,118.0,570.0,67306.0,116.0,2.0
2012-09-20,3.0,116.0,114.0,116.0,136.0,15688.0,118.0,-2.0
2012-10-02,3.0,117.0,114.0,114.0,10758.0,1257833.0,116.0,-2.0
2012-10-03,1.0,112.0,112.0,112.0,23.0,2576.0,114.0,-2.0
2012-10-04,6.0,110.0,110.0,110.0,254.0,27940.0,112.0,-2.0
2012-10-07,8.0,120.0,112.0,118.0,622.0,73560.0,110.0,8.0
2012-10-08,3.0,119.0,116.0,119.0,531.0,62489.0,118.0,1.0
2012-10-09,10.0,129.0,121.0,128.0,1479.0,183013.0,119.0,9.0
2012-10-10,1.0,130.0,130.0,130.0,23.0,2990.0,128.0,2.0
2012-10-15,3.0,128.0,124.0,124.0,185.0,23312.0,130.0,-6.0
2012-10-30,1.0,122.0,122.0,122.0,100.0,12200.0,124.0,-2.0
2012-10-31,1.0,120.0,120.0,120.0,39.0,4680.0,122.0,-2.0
2012-11-06,1.0,118.0,118.0,118.0,24.0,2832.0,120.0,-2.0
2012-11-20,1.0,116.0,116.0,116.0,13.0,1508.0,118.0,-2.0
2012-11-27,1.0,114.0,114.0,114.0,100.0,11400.0,116.0,-2.0
2012-12-10,1.0,112.0,112.0,112.0,400.0,44800.0,114.0,-2.0
2013-01-07,4.0,109.0,107.0,109.0,503.0,54731.0,108.0,1.0
2013-01-15,3.0,107.0,105.0,105.0,154.0,16332.0,109.0,-4.0
2013-01-17,3.0,107.0,106.0,107.0,98.0,10401.0,105.0,2.0
2013-01-23,4.0,113.0,109.0,113.0,743.0,81227.0,107.0,6.0
2013-01-24,2.0,117.0,115.0,117.0,352.0,40986.0,113.0,4.0
2013-01-28,2.0,117.0,115.0,117.0,244.0,28260.0,117.0,0.0
2013-01-31,1.0,117.0,117.0,117.0,253.0,29601.0,117.0,0.0
2013-02-04,1.0,119.0,119.0,119.0,24.0,2856.0,117.0,2.0
2013-02-28,1.0,117.0,117.0,117.0,20.0,2340.0,119.0,-2.0
2013-04-23,2.0,121.0,119.0,121.0,54.0,6446.0,117.0,4.0
2013-04-25,2.0,121.0,119.0,119.0,420.0,50620.0,121.0,-2.0
2013-04-29,3.0,118.0,118.0,118.0,72.0,8496.0,119.0,-1.0
2013-04-30,1.0,116.0,116.0,116.0,72.0,8352.0,118.0,-2.0
2013-06-04,5.0,114.0,106.0,114.0,495.0,54560.0,116.0,-2.0
2013-06-05,5.0,116.0,113.0,113.0,1575.0,180944.0,114.0,-1.0
2013-06-06,3.0,115.0,113.0,115.0,813.0,93361.0,113.0,2.0
2013-07-01,2.0,117.0,115.0,115.0,132.0,15224.0,115.0,0.0
2013-07-04,1.0,113.0,113.0,113.0,100.0,11300.0,115.0,-2.0
2013-07-29,1.0,115.0,115.0,115.0,142.0,16330.0,113.0,2.0
2013-07-30,6.0,121.0,117.0,119.0,375.0,44189.0,115.0,4.0
2013-07-31,2.0,123.0,121.0,123.0,33.0,4015.0,119.0,4.0
2013-08-01,4.0,125.0,123.0,125.0,327.0,40345.0,123.0,2.0
2013-08-05,1.0,123.0,123.0,123.0,160.0,19680.0,125.0,-2.0
2013-08-06,6.0,128.0,124.0,124.0,5020.0,629060.0,123.0,1.0
2013-08-12,2.0,126.0,126.0,126.0,198.0,24948.0,124.0,2.0
2013-08-14,8.0,134.0,127.0,134.0,740.0,96995.0,126.0,8.0
2013-08-15,7.0,143.0,135.0,143.0,470.0,65502.0,134.0,9.0
2013-08-18,13.0,157.0,143.0,157.0,787.0,117299.0,143.0,14.0
2013-08-19,7.0,172.0,160.0,172.0,1124.0,190703.0,157.0,15.0
2013-08-20,12.0,189.0,175.0,189.0,4380.0,815461.0,172.0,17.0
2013-08-25,13.0,207.0,189.0,207.0,2102.0,409867.0,189.0,18.0
2013-08-26,11.0,227.0,211.0,227.0,358.0,80730.0,207.0,20.0
