Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-07,1.0,553.0,553.0,553.0,152.0,84056.0,546.0,7.0
2012-06-11,1.0,560.0,560.0,560.0,36.0,20160.0,553.0,7.0
2012-07-11,1.0,549.0,549.0,549.0,100.0,54900.0,560.0,-11.0
2012-07-12,2.0,539.0,529.0,529.0,76.0,40764.0,549.0,-20.0
2012-07-16,1.0,539.0,539.0,539.0,79.0,42581.0,529.0,10.0
2012-07-18,5.0,529.0,519.0,519.0,518.0,273182.0,539.0,-20.0
2012-07-19,2.0,535.0,529.0,535.0,200.0,106400.0,519.0,16.0
2012-07-22,15.0,525.0,482.0,482.0,3982.0,1980692.0,535.0,-53.0
2012-07-23,16.0,486.0,450.0,486.0,16450.0,7433028.0,482.0,4.0
2012-07-24,1.0,477.0,477.0,477.0,50.0,23850.0,486.0,-9.0
2012-07-26,1.0,470.0,470.0,470.0,50.0,23500.0,477.0,-7.0
2012-07-29,4.0,470.0,461.0,470.0,792.0,369336.0,470.0,0.0
2012-07-30,3.0,479.0,471.0,479.0,515.0,243166.0,470.0,9.0
2012-07-31,1.0,375.0,375.0,375.0,132.0,49500.0,479.0,-104.0
2012-08-01,4.0,387.0,380.0,387.0,634.0,243688.0,375.0,12.0
2012-08-05,2.0,394.0,391.0,391.0,179.0,70229.0,387.0,4.0
2012-09-02,4.0,401.0,395.0,401.0,398.0,158380.0,391.0,10.0
2012-09-03,1.0,400.0,400.0,400.0,132.0,52800.0,401.0,-1.0
2012-09-04,2.0,400.0,400.0,400.0,239.0,95600.0,400.0,0.0
2012-09-05,13.0,415.0,397.0,415.0,4332.0,1743542.0,400.0,15.0
2012-09-06,5.0,431.0,407.0,431.0,1057.0,434983.0,415.0,16.0
2012-09-09,17.0,473.0,439.0,470.0,4544.0,2089150.0,431.0,39.0
2012-09-10,12.0,479.0,462.0,472.0,1513.0,706960.0,470.0,2.0
