Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-09-13,1.0,242.0,242.0,242.0,12.0,2904.0,246.0,-4.0
2014-01-29,1.0,246.0,246.0,246.0,36.0,8856.0,242.0,4.0
2014-03-25,1.0,209.0,209.0,209.0,178.0,37202.0,246.0,-37.0
2015-01-05,1.0,213.0,213.0,213.0,17.0,3621.0,209.0,4.0
2015-04-13,1.0,213.0,213.0,213.0,681.0,145053.0,213.0,0.0
2019-07-25,3.0,210.0,202.0,210.0,73.0,15046.0,193.0,17.0
2019-07-28,2.0,214.0,214.0,214.0,19.0,4102.0,210.0,4.0
2019-07-29,1.0,214.0,214.0,214.0,8.0,1736.0,214.0,0.0
2020-02-23,15.0,187.0,187.0,187.0,3500.0,654500.0,184.0,3.0
2020-09-22,1.0,190.0,190.0,190.0,80.0,15200.0,187.0,3.0
2020-10-18,1.0,199.0,199.0,199.0,10.0,1990.0,190.0,9.0
2020-11-04,1.0,208.0,208.0,208.0,10.0,2080.0,199.0,9.0
2020-11-05,1.0,218.0,218.0,218.0,10.0,2180.0,208.0,10.0
2020-11-23,1.0,228.0,228.0,228.0,10.0,2280.0,218.0,10.0
2020-12-02,1.0,238.0,238.0,238.0,10.0,2380.0,228.0,10.0
2020-12-09,1.0,249.0,249.0,249.0,24.0,5976.0,238.0,11.0
2020-12-28,1.0,261.0,261.0,261.0,10.0,2610.0,249.0,12.0
2021-02-09,1.0,274.0,274.0,274.0,10.0,2740.0,261.0,13.0
2021-05-20,1.0,287.0,287.0,287.0,10.0,2870.0,274.0,13.0
2021-05-23,1.0,301.0,301.0,301.0,10.0,3010.0,287.0,14.0
2021-07-05,1.0,316.0,316.0,316.0,10.0,3160.0,301.0,15.0
2022-03-06,2.0,252.7,247.8,252.7,255.0,64389.5,243.0,9.7
2022-05-10,2.0,252.7,252.7,252.7,6.0,1531.2,252.7,0.0
2022-05-11,1.0,252.7,252.7,252.7,3.0,772.8,252.7,0.0
