Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-08-30,1.0,135.0,135.0,135.0,19375.0,2615625.0,135.0,0.0
2013-10-28,1.0,135.0,135.0,135.0,2000.0,270000.0,135.0,0.0
2014-05-18,1.0,133.0,133.0,133.0,26087.0,3469571.0,135.0,-2.0
2014-06-01,1.0,131.0,131.0,131.0,50000.0,6550000.0,133.0,-2.0
2014-08-18,1.0,133.0,133.0,133.0,97271.0,12937043.0,131.0,2.0
2014-08-26,1.0,133.0,133.0,133.0,12000.0,1596000.0,133.0,0.0
2015-11-29,1.0,0.0,0.0,0.0,66221.0,8211404.0,133.0,0.0
2016-01-14,1.0,223.0,223.0,223.0,27520.0,6136960.0,223.0,0.0
2016-01-25,1.0,223.0,223.0,223.0,12000.0,2676000.0,223.0,0.0
2016-08-29,4.0,420.0,420.0,420.0,15276.0,6415920.0,425.0,-5.0
2016-12-19,1.0,400.0,400.0,400.0,42781.0,17112400.0,400.0,0.0
2016-12-20,4.0,400.0,400.0,400.0,13280.0,5312000.0,400.0,0.0
2017-01-26,5.0,392.0,359.0,359.0,2500.0,939500.0,400.0,-41.0
2017-01-30,5.0,352.0,327.0,327.0,2500.0,848000.0,359.0,-32.0
2017-01-31,5.0,321.0,297.0,297.0,2500.0,772500.0,327.0,-30.0
2017-02-01,6.0,292.0,268.0,268.0,3000.0,839000.0,297.0,-29.0
2017-02-02,4.0,263.0,250.0,250.0,37500.0,9387000.0,268.0,-18.0
2017-06-08,1.0,292.0,292.0,292.0,1000.0,292000.0,297.0,-5.0
2017-06-11,5.0,287.0,267.0,267.0,176949.0,48182323.0,292.0,-25.0
2017-07-03,3.0,265.0,265.0,265.0,65330.0,17312450.0,267.0,-2.0
2017-07-12,1.0,265.0,265.0,265.0,35678.0,9454670.0,265.0,0.0
2017-07-24,1.0,266.0,266.0,266.0,13091.0,3482206.0,265.0,1.0
2017-09-13,1.0,266.0,266.0,266.0,18178.0,4835348.0,266.0,0.0
2017-12-21,1.0,266.0,266.0,266.0,4417.0,1174922.0,266.0,0.0
2018-07-30,5.0,181.0,180.0,180.0,39344.0,7082229.0,181.0,-1.0
2018-12-06,1.0,225.0,225.0,225.0,8465.0,1904625.0,225.0,0.0
2018-12-25,2.0,225.0,204.0,204.0,16930.0,3453720.0,225.0,-21.0
2019-11-17,2.0,204.0,200.0,200.0,2576.0,519200.0,204.0,-4.0
2019-11-19,3.0,205.0,204.0,205.0,100000.0,20465000.0,200.0,5.0
2019-12-02,1.0,205.0,205.0,205.0,30000.0,6150000.0,205.0,0.0
2019-12-10,3.0,205.0,205.0,205.0,45132.0,9252060.0,205.0,0.0
2019-12-19,1.0,205.0,205.0,205.0,7450.0,1527250.0,205.0,0.0
2019-12-24,2.0,205.0,205.0,205.0,16930.0,3470650.0,205.0,0.0
2020-07-08,1.0,205.0,205.0,205.0,12480.0,2558400.0,205.0,0.0
2020-09-07,3.0,250.0,242.0,250.0,352820.0,88204880.0,238.0,12.0
2020-09-21,1.0,250.0,250.0,250.0,10000.0,2500000.0,250.0,0.0
2020-10-04,1.0,250.0,250.0,250.0,8385.0,2096250.0,250.0,0.0
2020-10-21,1.0,250.0,250.0,250.0,1000.0,250000.0,250.0,0.0
2020-11-04,1.0,250.0,250.0,250.0,5242.0,1310500.0,250.0,0.0
2020-11-05,1.0,250.0,250.0,250.0,3363.0,840750.0,250.0,0.0
2020-12-15,1.0,250.0,250.0,250.0,49000.0,12250000.0,250.0,0.0
2020-12-22,3.0,250.0,250.0,250.0,146890.0,36722500.0,250.0,0.0
2020-12-24,1.0,250.0,250.0,250.0,42545.0,10636250.0,250.0,0.0
2020-12-28,1.0,250.0,250.0,250.0,12479.0,3119750.0,250.0,0.0
2021-02-25,1.0,245.0,245.0,245.0,15400.0,3773000.0,250.0,-5.0
2021-03-03,1.0,245.0,245.0,245.0,13000.0,3185000.0,245.0,0.0
2021-06-22,1.0,245.0,245.0,245.0,20000.0,4900000.0,245.0,0.0
2021-08-25,1.0,245.0,245.0,245.0,45200.0,11074000.0,245.0,0.0
2021-09-06,1.0,245.0,245.0,245.0,11296.0,2767520.0,245.0,0.0
2021-09-07,3.0,245.0,245.0,245.0,3000.0,735000.0,245.0,0.0
2021-10-19,1.0,245.0,245.0,245.0,40064.0,9815680.0,245.0,0.0
2021-11-15,1.0,245.0,245.0,245.0,10294.0,2522030.0,245.0,0.0
2021-11-21,1.0,245.0,245.0,245.0,77982.0,19105590.0,245.0,0.0
2022-05-08,1.0,160.0,160.0,160.0,168405.0,26944800.0,157.0,3.0
2022-05-24,1.0,160.0,160.0,160.0,5000.0,800000.0,160.0,0.0
