Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-01-01,12.0,11.0,10.2,11.0,35500.0,384771.0,10.0,1.0
2015-01-04,13.0,10.88,10.8,10.8,41610.0,451020.7,11.0,-0.2
2015-01-05,12.0,10.7,10.6,10.6,42000.0,447200.0,10.8,-0.2
2015-01-06,11.0,10.6,10.45,10.5,32800.0,343700.0,10.6,-0.1
2015-01-07,5.0,10.56,10.55,10.56,12700.0,134035.0,10.5,0.06
2015-01-11,3.0,10.49,10.36,10.36,16260.0,170489.4,10.56,-0.2
2015-01-12,2.0,10.35,10.35,10.35,3000.0,31050.0,10.36,-0.01
2015-01-13,2.0,10.45,10.36,10.45,7500.0,77925.0,10.35,0.1
2015-01-14,2.0,10.5,10.42,10.5,6000.0,62920.0,10.45,0.05
2015-01-18,12.0,10.5,10.45,10.46,48000.0,503710.0,10.5,-0.04
2015-01-19,23.0,10.71,10.5,10.5,112500.0,1184625.0,10.46,0.04
2015-01-20,6.0,10.4,10.3,10.3,26000.0,268450.0,10.5,-0.2
2015-01-22,12.0,10.27,10.2,10.2,57610.0,588054.7,10.3,-0.1
2015-01-25,16.0,10.45,10.3,10.3,47109.0,490290.95,10.2,0.1
2015-01-26,4.0,10.51,10.29,10.29,8615.0,89648.25,10.3,-0.01
2015-01-27,6.0,10.4,10.3,10.35,21000.0,217525.0,10.29,0.06
2015-01-28,7.0,10.6,10.3,10.6,24110.0,251509.1,10.35,0.25
2015-01-29,3.0,10.4,10.28,10.28,5510.0,57004.0,10.6,-0.32
2015-02-01,17.0,10.65,10.49,10.61,54030.0,571824.3,10.28,0.33
2015-02-02,14.0,10.89,10.55,10.8,81230.0,876058.5,10.61,0.19
2015-02-04,5.0,10.89,10.8,10.8,21000.0,227260.0,10.8,0.0
2015-02-05,2.0,10.83,10.8,10.8,7110.0,76941.3,10.8,0.0
2015-02-08,2.0,10.8,10.79,10.8,5610.0,60561.9,10.8,0.0
2015-02-09,2.0,10.85,10.75,10.75,4349.0,46986.65,10.8,-0.05
2015-02-10,3.0,10.55,10.55,10.55,15000.0,158250.0,10.75,-0.2
2015-02-11,8.0,10.56,10.55,10.56,24000.0,253380.0,10.55,0.01
2015-02-12,2.0,10.5,10.5,10.5,3760.0,39480.0,10.56,-0.06
2015-02-15,14.0,10.55,10.3,10.37,62957.0,654756.35,10.5,-0.13
2015-02-16,10.0,10.4,10.2,10.35,23600.0,242814.0,10.37,-0.02
2015-02-18,2.0,10.35,10.3,10.35,7610.0,78513.5,10.35,0.0
2015-02-22,3.0,10.49,10.4,10.49,12000.0,125030.0,10.35,0.14
2015-02-23,4.0,10.5,10.4,10.5,20619.0,215468.55,10.49,0.01
2015-02-24,1.0,10.4,10.4,10.4,2610.0,27144.0,10.5,-0.1
2015-02-25,4.0,10.4,10.3,10.3,14830.0,153710.0,10.4,-0.1
2015-02-26,2.0,10.25,10.25,10.25,8100.0,83025.0,10.3,-0.05
2015-03-01,1.0,10.26,10.26,10.26,1500.0,15390.0,10.25,0.01
2015-03-02,11.0,10.25,10.25,10.25,47830.0,490257.5,10.26,-0.01
2015-03-03,8.0,10.5,10.31,10.5,25720.0,266675.6,10.25,0.25
2015-03-04,10.0,10.6,10.3,10.6,7610.0,79566.0,10.5,0.1
2015-03-09,1.0,10.5,10.5,10.5,1100.0,11550.0,10.6,-0.1
2015-03-11,1.0,10.35,10.35,10.35,5000.0,51750.0,10.5,-0.15
2015-03-12,2.0,10.35,10.35,10.35,1500.0,15525.0,10.35,0.0
2015-03-15,1.0,10.3,10.3,10.3,2610.0,26883.0,10.35,-0.05
2015-03-16,4.0,10.09,10.01,10.03,12830.0,128906.6,10.3,-0.27
2015-03-17,6.0,10.15,10.1,10.15,12200.0,123680.0,10.03,0.12
2015-03-18,3.0,10.2,10.0,10.2,5000.0,50400.0,10.15,0.05
2015-03-19,5.0,10.2,10.1,10.1,21000.0,212750.0,10.2,-0.1
2015-03-22,5.0,10.07,10.06,10.07,11200.0,112694.0,10.1,-0.03
2015-03-23,2.0,10.1,10.1,10.1,2000.0,20200.0,10.07,0.03
2015-03-24,2.0,10.1,10.1,10.1,3000.0,30300.0,10.1,0.0
2015-03-25,2.0,10.05,10.05,10.05,10000.0,100500.0,10.1,-0.05
2015-03-26,3.0,10.01,10.0,10.0,15000.0,150050.0,10.05,-0.05
2015-03-29,4.0,10.1,10.0,10.1,4371.0,43997.1,10.0,0.1
2015-03-31,12.0,10.08,10.0,10.0,62100.0,622735.0,10.1,-0.1
2015-04-01,11.0,10.19,10.0,10.0,48650.0,486614.0,10.0,0.0
2015-04-02,1.0,9.9,9.9,9.9,500.0,4950.0,10.0,-0.1
