Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-07-15,1.0,10.0,10.0,10.0,100.0,1000.0,0.0,10.0
2020-07-21,7.0,9.81,9.7,9.7,8050.0,78200.5,10.0,-0.3
2020-07-22,11.0,9.51,9.22,9.22,101300.0,934774.0,9.7,-0.48
2020-07-23,15.0,9.4,9.12,9.3,54800.0,514385.0,9.22,0.08
2020-07-26,7.0,9.69,9.32,9.5,4350.0,41125.0,9.3,0.2
2020-07-27,7.0,9.35,9.33,9.35,1600.0,14940.0,9.5,-0.15
2020-07-28,5.0,9.4,9.3,9.36,800.0,7494.0,9.35,0.01
2020-07-29,4.0,9.54,9.4,9.54,980.0,9321.2,9.36,0.18
2020-07-30,7.0,9.91,9.35,9.91,5600.0,53746.0,9.54,0.37
2020-08-02,2.0,9.72,9.53,9.53,400.0,3850.0,9.91,-0.38
2020-08-03,5.0,9.36,9.35,9.36,2600.0,24325.0,9.53,-0.17
2020-08-05,8.0,9.38,9.18,9.26,16150.0,149223.0,9.36,-0.1
2020-08-06,2.0,9.2,9.18,9.2,2100.0,19318.0,9.26,-0.06
2020-08-09,9.0,9.75,9.2,9.75,6700.0,62749.0,9.2,0.55
2020-08-10,9.0,9.57,9.4,9.56,1300.0,12416.0,9.75,-0.19
2020-08-11,2.0,9.39,9.38,9.38,300.0,2816.0,9.56,-0.18
2020-08-12,2.0,9.3,9.3,9.3,1200.0,11160.0,9.38,-0.08
2020-08-13,8.0,9.31,9.31,9.31,2400.0,22344.0,9.3,0.01
2020-08-16,4.0,9.35,9.25,9.35,5850.0,54678.5,9.31,0.04
2020-08-18,9.0,9.4,9.35,9.35,6700.0,62690.0,9.35,0.0
2020-08-19,2.0,9.23,9.23,9.23,1400.0,12922.0,9.35,-0.12
2020-08-20,1.0,9.19,9.19,9.19,500.0,4595.0,9.23,-0.04
2020-08-23,4.0,9.14,9.1,9.14,800.0,7302.0,9.19,-0.05
2020-08-24,4.0,9.2,9.05,9.2,2250.0,20547.5,9.14,0.06
2020-08-25,3.0,9.18,9.16,9.18,2200.0,20192.0,9.2,-0.02
2020-08-26,8.0,9.22,9.18,9.22,2100.0,19300.0,9.18,0.04
2020-08-27,8.0,9.4,9.26,9.4,4500.0,41825.0,9.22,0.18
2020-08-30,2.0,9.32,9.32,9.32,200.0,1864.0,9.4,-0.08
2020-08-31,16.0,9.35,9.14,9.35,155150.0,1442658.0,9.32,0.03
2020-09-02,3.0,9.5,9.5,9.5,1700.0,16150.0,9.35,0.15
2020-09-03,6.0,9.5,9.31,9.36,3350.0,31261.0,9.5,-0.14
2020-09-06,7.0,9.34,9.28,9.34,1800.0,16760.0,9.36,-0.02
2020-09-07,7.0,9.36,9.16,9.3,7800.0,72673.0,9.34,-0.04
2020-09-08,4.0,9.35,9.3,9.3,5650.0,52795.0,9.3,0.0
2020-09-09,3.0,9.22,9.22,9.22,1100.0,10142.0,9.3,-0.08
2020-09-13,7.0,9.4,9.1,9.4,6200.0,56915.0,9.22,0.18
2020-09-14,9.0,9.41,9.31,9.41,3000.0,28046.0,9.4,0.01
2020-09-15,8.0,9.59,9.41,9.44,1950.0,18502.5,9.41,0.03
2020-09-16,2.0,9.5,9.44,9.5,6900.0,65490.0,9.44,0.06
2020-09-17,14.0,9.69,9.43,9.69,5200.0,49679.0,9.5,0.19
2020-09-20,8.0,9.68,9.5,9.68,3250.0,31262.5,9.69,-0.01
2020-09-21,2.0,9.51,9.49,9.51,1600.0,15204.0,9.68,-0.17
2020-09-22,3.0,9.32,9.25,9.25,700.0,6517.0,9.51,-0.26
