Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-10-27,1.0,1030.0,1030.0,1030.0,10.0,10300.0,0.0,0.0
2021-11-08,3.0,1020.0,1015.0,1020.0,177.0,179705.0,1030.0,-10.0
2021-11-09,1.0,1000.0,1000.0,1000.0,25.0,25000.0,1020.0,-20.0
2021-11-11,2.0,1010.0,1010.0,1010.0,50.0,50500.0,1000.0,10.0
2021-11-14,1.0,1001.0,1001.0,1001.0,25.0,25025.0,1010.0,-9.0
2021-11-16,1.0,999.0,999.0,999.0,25.0,24975.0,1001.0,-2.0
2021-11-18,4.0,1000.5,999.6,1000.5,100.0,100015.0,999.0,1.5
2021-11-21,1.0,996.7,996.7,996.7,25.0,24917.5,1000.5,-3.8
2021-11-23,2.0,1000.0,999.1,999.1,50.0,49971.2,996.7,2.4
2021-11-24,3.0,1018.0,1015.0,1018.0,75.0,76304.0,999.1,18.9
2021-12-15,2.0,1018.0,1010.0,1018.0,125.0,127050.0,1018.0,0.0
2021-12-21,2.0,1000.0,992.5,992.5,25.0,24887.5,1018.0,-25.5
2021-12-22,1.0,993.5,993.5,993.5,25.0,24837.5,992.5,1.0
2021-12-27,1.0,1000.0,1000.0,1000.0,200.0,200000.0,993.5,6.5
2022-01-02,1.0,1005.0,1005.0,1005.0,50.0,50250.0,1000.0,5.0
2022-01-03,2.0,1025.0,1020.0,1025.0,60.0,61250.0,1005.0,20.0
2022-01-05,1.0,1025.0,1025.0,1025.0,25.0,25625.0,1025.0,0.0
2022-01-10,1.0,1025.0,1025.0,1025.0,25.0,25625.0,1025.0,0.0
2022-01-11,3.0,1030.0,1025.0,1030.0,75.0,77000.0,1025.0,5.0
2022-01-17,2.0,1009.4,989.3,989.3,50.0,49967.5,1030.0,-40.7
2022-01-23,1.0,970.0,970.0,970.0,25.0,24250.0,989.3,-19.3
2022-01-26,1.0,985.0,985.0,985.0,300.0,295500.0,970.0,15.0
2022-02-01,1.0,990.0,990.0,990.0,200.0,198000.0,985.0,5.0
2022-06-28,4.0,970.2,950.8,950.8,202.0,194040.4,990.0,-39.2
2022-07-04,1.0,931.8,931.8,931.8,25.0,23295.0,950.8,-19.0
2022-07-05,1.0,931.0,931.0,931.0,25.0,23275.0,931.8,-0.8
