Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-01-24,8.0,10.81,10.0,10.81,31623.0,327072.09,0.0,10.81
2017-01-25,5.0,10.8,10.45,10.45,9825.0,103834.76,10.81,-0.36
2017-01-26,14.0,10.35,10.25,10.35,13729.0,140957.77,10.45,-0.1
2017-01-30,13.0,10.15,9.96,10.0,21978.0,220357.92,10.35,-0.35
2017-01-31,3.0,10.3,10.2,10.3,9983.0,102658.8,10.0,0.3
2017-02-01,7.0,10.45,10.2,10.35,27924.0,289143.65,10.3,0.05
2017-02-02,11.0,10.3,10.15,10.15,26449.0,270076.4,10.35,-0.2
2017-02-05,11.0,10.15,10.05,10.15,41610.0,421301.25,10.15,0.0
2017-02-06,12.0,10.41,10.2,10.3,28294.0,290483.45,10.15,0.15
2017-02-07,5.0,10.32,10.1,10.32,6599.0,67338.04,10.3,0.02
2017-02-08,5.0,10.2,10.01,10.01,39322.0,397593.81,10.32,-0.31
2017-02-09,2.0,10.01,10.0,10.0,6310.0,63110.0,10.01,-0.01
2017-02-12,8.0,10.0,10.0,10.0,34127.0,341270.0,10.0,0.0
2017-02-13,8.0,10.0,9.8,10.0,28644.0,285752.75,10.0,0.0
2017-02-14,7.0,10.0,10.0,10.0,29127.0,291270.0,10.0,0.0
2017-02-15,4.0,10.12,10.01,10.12,57073.0,577000.41,10.0,0.12
2017-02-16,18.0,10.12,10.05,10.05,42631.0,430242.84,10.12,-0.07
2017-02-19,6.0,10.1,10.0,10.1,103905.0,1048753.65,10.05,0.05
2017-02-20,3.0,10.11,10.06,10.06,114161.0,1153959.66,10.1,-0.04
2017-02-21,1.0,10.01,10.01,10.01,1664.0,16656.64,10.06,-0.05
2017-02-22,6.0,10.01,10.01,10.01,14979.0,149939.79,10.01,0.0
2017-02-23,11.0,10.05,9.81,9.84,30373.0,303010.27,10.01,-0.17
2017-02-26,2.0,9.84,9.65,9.84,1582.0,15424.38,9.84,0.0
2017-02-28,2.0,9.71,9.7,9.7,4161.0,40396.7,9.84,-0.14
2017-03-01,1.0,9.88,9.88,9.88,4161.0,41110.68,9.7,0.18
2017-03-02,5.0,10.08,10.01,10.08,15607.0,156766.96,9.88,0.2
2017-03-05,3.0,10.1,9.92,9.92,3696.0,36880.32,10.08,-0.16
2017-03-06,4.0,10.05,10.0,10.05,10450.0,104624.8,9.92,0.13
2017-03-07,5.0,10.05,10.0,10.05,4576.0,45884.8,10.05,0.0
2017-03-09,8.0,10.1,10.0,10.1,26300.0,263133.2,10.05,0.05
2017-03-14,3.0,10.3,10.1,10.1,7073.0,71782.58,10.1,0.0
2017-03-15,5.0,10.2,10.0,10.2,17059.0,171559.48,10.1,0.1
2017-03-16,1.0,10.2,10.2,10.2,4161.0,42442.2,10.2,0.0
2017-03-19,3.0,10.05,10.0,10.05,4993.0,49971.6,10.2,-0.15
2017-03-20,6.0,10.25,10.1,10.25,7576.0,76704.8,10.05,0.2
2017-03-21,2.0,10.2,10.2,10.2,1664.0,16972.8,10.25,-0.05
2017-03-22,6.0,10.3,10.2,10.3,16352.0,167593.4,10.2,0.1
2017-03-23,1.0,10.25,10.25,10.25,832.0,8528.0,10.3,-0.05
2017-03-26,8.0,10.3,10.23,10.3,26214.0,268901.55,10.25,0.05
2017-03-28,5.0,10.51,10.31,10.31,21501.0,224536.22,10.3,0.01
2017-03-29,7.0,10.3,9.9,10.12,25934.0,264577.33,10.31,-0.01
2017-03-30,9.0,10.1,10.04,10.1,14313.0,144188.69,10.12,-0.02
2017-04-02,6.0,10.3,10.1,10.2,13733.0,139743.8,10.1,0.1
2017-04-03,8.0,10.3,10.1,10.24,15769.0,160731.84,10.2,0.04
2017-04-04,11.0,10.2,9.8,10.2,15978.0,159929.96,10.24,-0.04
2017-04-06,16.0,10.28,10.15,10.25,130965.0,1340859.22,10.2,0.05
2017-04-09,5.0,10.25,10.04,10.04,13712.0,138692.08,10.25,-0.21
