Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-02-08,1.0,506.0,506.0,506.0,10.0,5060.0,0.0,506.0
2017-02-14,1.0,516.0,516.0,516.0,10.0,5160.0,506.0,10.0
2017-02-19,10.0,567.0,526.0,567.0,1000.0,565960.0,516.0,51.0
2017-02-23,4.0,600.0,578.0,600.0,40.0,23670.0,567.0,33.0
2017-03-14,1.0,612.0,612.0,612.0,10.0,6120.0,600.0,12.0
2017-03-20,1.0,624.0,624.0,624.0,10.0,6240.0,612.0,12.0
2017-03-21,4.0,648.0,636.0,648.0,30.0,19380.0,624.0,24.0
2017-04-09,3.0,0.0,0.0,0.0,19.0,12540.0,648.0,0.0
2017-04-11,3.0,680.0,680.0,680.0,29.0,19837.0,648.0,32.0
2017-04-13,1.0,693.0,693.0,693.0,10.0,6930.0,680.0,13.0
2017-05-02,1.0,706.0,706.0,706.0,10.0,7060.0,693.0,13.0
2017-05-18,2.0,741.0,741.0,741.0,20.0,14820.0,706.0,35.0
2017-05-22,7.0,815.0,755.0,815.0,70.0,55550.0,741.0,74.0
2017-05-24,3.0,863.0,831.0,863.0,30.0,25410.0,815.0,48.0
2017-05-30,3.0,914.0,880.0,914.0,30.0,26910.0,863.0,51.0
2017-06-06,8.0,0.0,0.0,0.0,40.0,37280.0,914.0,0.0
2017-06-08,1.0,932.0,932.0,932.0,10.0,9320.0,914.0,18.0
2017-06-12,2.0,997.0,978.0,997.0,29.0,28723.0,932.0,65.0
2017-06-13,2.0,1036.0,1016.0,1036.0,20.0,20520.0,997.0,39.0
2017-06-14,2.0,0.0,0.0,0.0,10.0,10560.0,1036.0,0.0
2017-06-15,4.0,1119.0,1056.0,1119.0,58.0,63453.0,1036.0,83.0
2017-06-20,3.0,1186.0,1141.0,1186.0,30.0,34900.0,1119.0,67.0
2017-06-21,4.0,1233.0,1209.0,1233.0,30.0,36510.0,1186.0,47.0
2017-06-27,1.0,1294.0,1294.0,1294.0,10.0,12940.0,1233.0,61.0
2017-07-03,3.0,1345.0,1319.0,1345.0,39.0,52195.0,1294.0,51.0
2017-07-04,5.0,1371.0,1371.0,1371.0,39.0,54009.0,1345.0,26.0
2017-07-05,2.0,1425.0,1398.0,1425.0,20.0,28230.0,1371.0,54.0
2017-07-06,1.0,1453.0,1453.0,1453.0,10.0,14530.0,1425.0,28.0
2017-07-10,2.0,1511.0,1482.0,1511.0,20.0,29930.0,1453.0,58.0
2017-07-12,3.0,1571.0,1541.0,1571.0,30.0,46830.0,1511.0,60.0
2017-07-13,5.0,1714.0,1649.0,1714.0,50.0,84423.0,1571.0,143.0
2017-07-16,2.0,1782.0,1748.0,1782.0,20.0,35300.0,1714.0,68.0
2017-07-17,5.0,1927.0,1817.0,1927.0,140.0,264240.0,1782.0,145.0
2017-07-19,1.0,1965.0,1965.0,1965.0,10.0,19650.0,1927.0,38.0
2017-07-20,2.0,2004.0,2004.0,2004.0,20.0,40080.0,1965.0,39.0
2017-07-25,2.0,2084.0,2044.0,2084.0,20.0,41280.0,2004.0,80.0
2017-07-26,3.0,2167.0,2125.0,2167.0,30.0,64590.0,2084.0,83.0
2017-07-27,3.0,2299.0,2210.0,2299.0,30.0,67630.0,2167.0,132.0
2017-07-30,10.0,2528.0,2344.0,2528.0,123.0,306384.0,2299.0,229.0
2017-07-31,8.0,2780.0,2578.0,2780.0,80.0,217420.0,2528.0,252.0
2017-08-01,12.0,3058.0,2919.0,3058.0,152.0,462396.0,2780.0,278.0
2017-08-02,89.0,3363.0,3119.0,3363.0,1369.0,4595567.0,3058.0,305.0
2017-08-03,581.0,3699.0,3430.0,3699.0,8523.0,31516170.0,3363.0,336.0
2017-08-06,804.0,3855.0,3650.0,3855.0,11155.0,41897149.0,3699.0,156.0
2017-08-07,331.0,3860.0,3761.0,3795.0,5405.0,20483051.0,3855.0,-60.0
2017-08-09,251.0,3805.0,3750.0,3761.0,3152.0,11897619.0,3795.0,-34.0
2017-08-10,170.0,3761.0,3723.0,3725.0,2559.0,9556008.0,3761.0,-36.0
2017-08-13,101.0,3798.0,3561.0,3580.0,1769.0,6378356.0,3725.0,-145.0
2017-08-15,146.0,3630.0,3500.0,3630.0,1928.0,6859059.0,3580.0,50.0
2017-08-16,141.0,3695.0,3562.0,3660.0,1838.0,6673308.0,3630.0,30.0
2017-08-17,80.0,3651.0,3600.0,3643.0,1551.0,5638969.0,3660.0,-17.0
2017-08-20,97.0,3635.0,3600.0,3601.0,2129.0,7705022.0,3643.0,-42.0
2017-08-21,56.0,3600.0,3550.0,3571.0,835.0,2990431.0,3601.0,-30.0
2017-08-22,73.0,3600.0,3510.0,3570.0,1476.0,5271060.0,3571.0,-1.0
2017-08-23,50.0,3570.0,3512.0,3565.0,542.0,1926495.0,3570.0,-5.0
2017-08-24,54.0,3595.0,3511.0,3580.0,1072.0,3821961.0,3565.0,15.0
2017-08-27,74.0,3650.0,3565.0,3582.0,1155.0,4139895.0,3580.0,2.0
2017-08-28,101.0,3635.0,3515.0,3635.0,1980.0,7144787.0,3582.0,53.0
2017-08-30,87.0,3683.0,3611.0,3650.0,2153.0,7818759.0,3635.0,15.0
2017-08-31,53.0,3650.0,3606.0,3619.0,658.0,2386493.0,3650.0,-31.0
2017-09-04,69.0,3630.0,3595.0,3612.0,1114.0,4017610.0,3619.0,-7.0
2017-09-06,56.0,3670.0,3555.0,3630.0,645.0,2334990.0,3612.0,18.0
2017-09-07,57.0,3710.0,3630.0,3644.0,758.0,2771924.0,3630.0,14.0
2017-09-10,89.0,3620.0,3581.0,3587.0,2231.0,8031892.0,3644.0,-57.0
2017-09-11,53.0,3660.0,3520.0,3660.0,1368.0,4963578.0,3587.0,73.0
2017-09-12,49.0,3660.0,3587.0,3650.0,1675.0,6090550.0,3660.0,-10.0
2017-09-13,47.0,3690.0,3582.0,3582.0,1415.0,5119200.0,3650.0,-68.0
2017-09-14,55.0,3560.0,3224.0,3224.0,1914.0,6231230.0,3582.0,-358.0
2017-09-17,153.0,3280.0,3097.0,3260.0,3981.0,12817065.0,3224.0,36.0
2017-09-18,57.0,3391.0,3261.0,3350.0,1253.0,4179895.0,3260.0,90.0
2017-09-20,20.0,3370.0,3235.0,3301.0,253.0,841006.0,3350.0,-49.0
2017-09-24,12.0,3320.0,3260.0,3320.0,256.0,840548.0,3301.0,19.0
2017-09-25,13.0,3350.0,3287.0,3350.0,233.0,774790.0,3320.0,30.0
2017-09-26,6.0,3350.0,3349.0,3350.0,62.0,207688.0,3350.0,0.0
2017-10-03,10.0,3350.0,3320.0,3350.0,259.0,867010.0,3350.0,0.0
2017-10-04,22.0,3360.0,3330.0,3345.0,317.0,1059830.0,3350.0,-5.0
2017-10-08,30.0,3305.0,3250.0,3255.0,551.0,1805919.0,3345.0,-90.0
2017-10-09,33.0,3275.0,3250.0,3255.0,644.0,2095072.0,3255.0,0.0
2017-10-10,7.0,3250.0,3220.0,3220.0,195.0,629395.0,3255.0,-35.0
2017-10-11,28.0,3264.0,3201.0,3222.0,580.0,1874835.0,3220.0,2.0
2017-10-12,30.0,3222.0,3191.0,3200.0,1176.0,3763718.0,3222.0,-22.0
2017-10-15,24.0,3250.0,3185.0,3200.0,339.0,1092800.0,3200.0,0.0
2017-10-16,14.0,3264.0,3200.0,3220.0,366.0,1176681.0,3200.0,20.0
2017-10-17,21.0,3240.0,3160.0,3166.0,768.0,2455739.0,3220.0,-54.0
2017-10-22,9.0,3210.0,3160.0,3205.0,805.0,2569751.0,3166.0,39.0
2017-10-23,4.0,3245.0,3200.0,3245.0,80.0,256750.0,3205.0,40.0
2017-10-24,7.0,3240.0,3182.0,3184.0,76.0,243020.0,3245.0,-61.0
2017-10-25,34.0,3184.0,3101.0,3149.0,1809.0,5668481.0,3184.0,-35.0
2017-10-29,20.0,3130.0,3115.0,3115.0,332.0,1037002.0,3149.0,-34.0
2017-10-30,57.0,3070.0,3040.0,3041.0,2646.0,8084657.0,3115.0,-74.0
2017-10-31,11.0,3110.0,3000.0,3110.0,141.0,427710.0,3041.0,69.0
2017-11-01,15.0,3049.0,3000.0,3020.0,186.0,563089.0,3110.0,-90.0
2017-11-02,41.0,3025.0,2960.0,2960.0,925.0,2764683.0,3020.0,-60.0
2017-11-05,23.0,2910.0,2890.0,2910.0,970.0,2818328.0,2960.0,-50.0
2017-11-06,17.0,2960.0,2852.0,2900.0,1621.0,4739791.0,2910.0,-10.0
2017-11-07,15.0,2900.0,2855.0,2855.0,379.0,1084200.0,2900.0,-45.0
2017-11-08,43.0,2890.0,2815.0,2890.0,726.0,2077929.0,2855.0,35.0
2017-11-09,28.0,2938.0,2875.0,2889.0,638.0,1851225.0,2890.0,-1.0
2017-11-12,8.0,2900.0,2880.0,2900.0,115.0,332879.0,2889.0,11.0
2017-11-13,9.0,2898.0,2854.0,2890.0,315.0,908224.0,2900.0,-10.0
2017-11-14,11.0,3000.0,2890.0,2980.0,230.0,684030.0,2890.0,90.0
2017-11-15,21.0,3000.0,2975.0,2975.0,441.0,1317480.0,2980.0,-5.0
2017-11-16,16.0,2943.0,2930.0,2942.0,379.0,1114720.0,2975.0,-33.0
2017-11-19,9.0,2941.0,2884.0,2941.0,272.0,786811.0,2942.0,-1.0
2017-11-20,12.0,2950.0,2870.0,2870.0,120.0,347320.0,2941.0,-71.0
2017-11-21,10.0,2900.0,2815.0,2837.0,117.0,333753.0,2870.0,-33.0
2017-11-22,12.0,2860.0,2830.0,2853.0,147.0,417390.0,2837.0,16.0
2017-11-23,15.0,2910.0,2801.0,2910.0,150.0,429180.0,2853.0,57.0
