Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-06-29,279.0,432.0,382.0,382.0,9779.0,3761368.0,424.0,-42.0
2020-06-30,551.0,363.0,344.0,344.0,20380.0,7016590.0,382.0,-38.0
2020-07-01,1102.0,378.0,315.0,378.0,41011.0,14761825.0,344.0,34.0
2020-07-02,3809.0,415.0,368.0,383.0,152449.0,60682125.0,378.0,5.0
2020-07-05,9713.0,415.0,370.0,400.0,384082.0,151241987.0,383.0,17.0
2020-07-06,7466.0,440.0,400.0,440.0,337293.0,145331380.0,400.0,40.0
2020-07-07,3594.0,484.0,453.0,484.0,189080.0,91267083.0,440.0,44.0
2020-07-08,9527.0,532.0,480.0,508.0,501457.0,255799681.0,484.0,24.0
2020-07-09,5322.0,516.0,486.0,504.0,302571.0,151845830.0,508.0,-4.0
2020-07-12,4823.0,535.0,501.0,509.0,279522.0,143448460.0,504.0,5.0
2020-07-13,3218.0,517.0,501.0,508.0,202660.0,102812349.0,509.0,-1.0
2020-07-14,3526.0,510.0,497.0,500.0,221004.0,111012243.0,508.0,-8.0
2020-07-15,3015.0,510.0,500.0,504.0,193037.0,97362529.0,500.0,4.0
2020-07-16,2955.0,529.0,503.0,521.0,182560.0,94172564.0,504.0,17.0
2020-07-19,131.0,573.0,547.0,570.0,44436.0,25371293.0,521.0,49.0
2020-07-20,2871.0,618.0,537.0,565.0,309752.0,176382799.0,570.0,-5.0
2020-07-21,3090.0,567.0,550.0,557.0,223552.0,124291832.0,565.0,-8.0
2020-07-22,4274.0,561.0,528.0,535.0,301663.0,162376267.0,557.0,-22.0
2020-07-23,4240.0,547.0,520.0,545.0,212889.0,113239679.0,535.0,10.0
2020-07-26,6174.0,552.0,520.0,549.0,373050.0,199452916.0,545.0,4.0
2020-07-27,3974.0,575.0,553.0,562.0,264209.0,148861194.0,549.0,13.0
2020-07-28,2840.0,569.0,555.0,566.0,183834.0,103576159.0,562.0,4.0
2020-07-29,3234.0,588.0,557.0,584.0,272601.0,157100105.0,566.0,18.0
2020-07-30,4087.0,615.0,576.0,599.0,382720.0,229155063.0,584.0,15.0
2020-08-02,3559.0,610.0,584.0,586.0,382259.0,226517075.0,599.0,-13.0
2020-08-03,2217.0,594.0,575.0,589.0,171630.0,100417639.0,586.0,3.0
2020-08-05,2619.0,590.0,576.0,576.0,234516.0,136119907.0,589.0,-13.0
2020-08-06,2377.0,585.0,565.0,575.0,206694.0,118115188.0,576.0,-1.0
2020-08-09,2114.0,580.0,563.0,572.0,156684.0,89114877.0,575.0,-3.0
2020-08-10,2510.0,597.0,566.0,591.0,210854.0,123153743.0,572.0,19.0
2020-08-11,2086.0,599.0,585.0,587.0,204932.0,121607806.0,591.0,-4.0
2020-08-12,1690.0,616.0,584.0,588.0,102692.0,60381444.0,587.0,1.0
2020-08-13,1781.0,588.0,580.0,580.0,123499.0,71937188.0,588.0,-8.0
2020-08-16,1733.0,584.0,571.0,575.0,133967.0,77110577.0,580.0,-5.0
2020-08-17,1580.0,590.0,570.0,588.0,112845.0,65830289.0,575.0,13.0
2020-08-18,1497.0,595.0,585.0,590.0,108326.0,63932746.0,588.0,2.0
2020-08-19,997.0,587.0,578.0,579.0,117221.0,68180359.0,590.0,-11.0
2020-08-20,479.0,585.0,575.0,583.0,39562.0,23017814.0,579.0,4.0
2020-08-23,1121.0,599.0,581.0,596.0,113089.0,66811330.0,583.0,13.0
2020-08-24,3310.0,624.0,596.0,624.0,351252.0,216040975.0,596.0,28.0
2020-08-25,3703.0,679.0,623.0,672.0,443243.0,287405898.0,624.0,48.0
2020-08-26,4232.0,726.0,671.0,712.0,492948.0,349254823.0,672.0,40.0
2020-08-27,2698.0,722.0,703.0,709.0,325117.0,231294329.0,712.0,-3.0
2020-08-30,2997.0,775.0,693.0,770.0,478389.0,344209990.0,709.0,61.0
2020-08-31,2941.0,847.0,775.0,847.0,346675.0,287457228.0,770.0,77.0
2020-09-02,5932.0,931.0,887.0,901.0,732871.0,674242254.0,847.0,54.0
2020-09-03,4786.0,920.0,856.0,889.0,466323.0,415707238.0,901.0,-12.0
2020-09-06,4294.0,933.0,860.0,871.0,455128.0,401301084.0,889.0,-18.0
2020-09-07,3646.0,880.0,854.0,856.0,329704.0,284037069.0,871.0,-15.0
2020-09-08,3373.0,870.0,837.0,859.0,324098.0,275539967.0,856.0,3.0
2020-09-09,2505.0,899.0,857.0,891.0,253259.0,223122288.0,859.0,32.0
2020-09-10,1810.0,918.0,891.0,895.0,193377.0,174234526.0,891.0,4.0
2020-09-13,2430.0,925.0,895.0,898.0,269175.0,243165058.0,895.0,3.0
2020-09-14,2104.0,942.0,882.0,882.0,229562.0,204308668.0,898.0,-16.0
2020-09-15,1702.0,908.0,874.0,881.0,148938.0,131382850.0,882.0,-1.0
2020-09-16,1385.0,890.0,873.0,884.0,109028.0,96196246.0,881.0,3.0
2020-09-17,1738.0,897.0,873.0,876.0,170721.0,149806832.0,884.0,-8.0
2020-09-20,1691.0,900.0,858.0,858.0,188349.0,162940197.0,876.0,-18.0
2020-09-21,2297.0,900.0,845.0,862.0,172562.0,149036929.0,858.0,4.0
2020-09-22,1737.0,870.0,855.0,862.0,144853.0,124476823.0,862.0,0.0
2020-09-23,1297.0,870.0,819.0,869.0,101235.0,87323701.0,862.0,7.0
2020-09-24,1179.0,870.0,861.0,864.0,108550.0,93824698.0,869.0,-5.0
2020-09-27,1166.0,875.0,860.0,860.0,104161.0,90001415.0,864.0,-4.0
2020-09-28,1053.0,867.0,850.0,856.0,74520.0,64033445.0,860.0,-4.0
2020-09-29,1229.0,856.0,851.0,853.0,91565.0,78161176.0,856.0,-3.0
2020-09-30,1369.0,860.0,846.0,851.0,132294.0,112435136.0,853.0,-2.0
2020-10-01,1439.0,870.0,850.0,863.0,97600.0,84173747.0,851.0,12.0
2020-10-04,2546.0,898.0,863.0,891.0,234510.0,208153684.0,863.0,28.0
2020-10-05,2077.0,908.0,885.0,887.0,166071.0,149100463.0,891.0,-4.0
2020-10-06,1008.0,895.0,875.0,877.0,71469.0,62902371.0,887.0,-10.0
2020-10-07,959.0,920.0,870.0,873.0,78553.0,68569172.0,877.0,-4.0
2020-10-08,936.0,887.0,865.0,868.0,72675.0,63332030.0,873.0,-5.0
2020-10-11,1057.0,877.0,856.0,861.0,66945.0,57928083.0,868.0,-7.0
2020-10-12,1029.0,865.0,857.0,860.0,61915.0,53276432.0,861.0,-1.0
2020-10-13,952.0,865.0,855.0,856.0,73770.0,63289400.0,860.0,-4.0
2020-10-14,863.0,858.0,851.0,852.0,62327.0,53181854.0,856.0,-4.0
2020-10-15,924.0,869.0,850.0,854.0,86805.0,74084223.0,852.0,2.0
2020-10-18,863.0,854.0,848.0,850.0,57070.0,48531217.0,854.0,-4.0
2020-10-19,528.0,858.0,848.0,854.0,33366.0,28453773.0,850.0,4.0
2020-10-20,403.0,896.0,850.0,856.0,25869.0,22074942.0,854.0,2.0
2020-10-21,429.0,863.0,852.0,857.0,29569.0,25405072.0,856.0,1.0
