Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-03-17,2.0,352.0,352.0,352.0,20.0,7040.0,0.0,352.0
2014-03-18,2.0,366.0,359.0,366.0,20.0,7250.0,352.0,14.0
2014-03-20,1.0,366.0,366.0,366.0,10.0,3660.0,366.0,0.0
2014-03-23,6.0,402.0,373.0,402.0,60.0,23370.0,366.0,36.0
2014-03-24,3.0,426.0,410.0,426.0,52.0,21736.0,402.0,24.0
2014-03-25,5.0,468.0,434.0,468.0,84.0,37558.0,426.0,42.0
2014-03-26,1.0,477.0,477.0,477.0,10.0,4770.0,468.0,9.0
2014-03-27,2.0,495.0,486.0,495.0,20.0,9810.0,477.0,18.0
2014-04-02,4.0,534.0,504.0,534.0,40.0,20760.0,495.0,39.0
2014-04-06,7.0,587.0,544.0,587.0,297.0,168998.0,534.0,53.0
2014-04-07,3.0,587.0,587.0,587.0,30.0,17610.0,587.0,0.0
2014-04-09,1.0,598.0,598.0,598.0,10.0,5980.0,587.0,11.0
2014-04-10,2.0,598.0,598.0,598.0,20.0,11960.0,598.0,0.0
2014-04-13,1.0,598.0,598.0,598.0,10.0,5980.0,598.0,0.0
2014-04-15,3.0,633.0,609.0,633.0,30.0,18630.0,598.0,35.0
2014-04-16,6.0,696.0,645.0,696.0,415.0,278391.0,633.0,63.0
2014-04-17,16.0,765.0,709.0,765.0,231.0,174755.0,696.0,69.0
2014-04-20,56.0,841.0,780.0,841.0,560.0,469280.0,765.0,76.0
2014-04-21,285.0,908.0,779.0,891.0,4173.0,3397960.0,841.0,50.0
2014-04-22,101.0,900.0,835.0,870.0,1792.0,1570982.0,891.0,-21.0
2014-04-23,107.0,887.0,840.0,880.0,2109.0,1794245.0,870.0,10.0
2014-04-27,37.0,877.0,846.0,848.0,479.0,413497.0,880.0,-32.0
2014-04-28,51.0,850.0,840.0,840.0,636.0,535940.0,848.0,-8.0
2014-04-29,32.0,870.0,831.0,845.0,340.0,289253.0,840.0,5.0
2014-04-30,59.0,869.0,840.0,840.0,732.0,623495.0,845.0,-5.0
2014-05-04,28.0,870.0,832.0,870.0,1114.0,952565.0,840.0,30.0
2014-05-05,40.0,904.0,880.0,880.0,560.0,499320.0,870.0,10.0
2014-05-06,40.0,950.0,897.0,915.0,1550.0,1453448.0,880.0,35.0
2014-05-07,31.0,966.0,922.0,966.0,1541.0,1443225.0,915.0,51.0
2014-05-08,41.0,985.0,915.0,960.0,1349.0,1290718.0,966.0,-6.0
2014-05-11,4.0,941.0,923.0,923.0,130.0,122130.0,960.0,-37.0
2014-05-12,16.0,920.0,873.0,890.0,238.0,212337.0,923.0,-33.0
2014-05-13,21.0,946.0,874.0,940.0,422.0,384015.0,890.0,50.0
2014-05-15,3.0,922.0,922.0,922.0,30.0,27660.0,940.0,-18.0
2014-05-18,10.0,922.0,870.0,870.0,250.0,219110.0,922.0,-52.0
2014-05-19,32.0,932.0,855.0,879.0,552.0,483519.0,870.0,9.0
2014-05-20,31.0,918.0,896.0,918.0,500.0,452880.0,879.0,39.0
2014-05-21,6.0,900.0,870.0,885.0,151.0,132980.0,918.0,-33.0
2014-05-22,13.0,885.0,869.0,885.0,201.0,176289.0,885.0,0.0
2014-05-25,1.0,902.0,902.0,902.0,10.0,9020.0,885.0,17.0
2014-05-26,5.0,884.0,875.0,875.0,121.0,106235.0,902.0,-27.0
2014-05-27,5.0,875.0,861.0,861.0,192.0,165786.0,875.0,-14.0
2014-05-28,15.0,878.0,860.0,878.0,221.0,192858.0,861.0,17.0
2014-06-01,7.0,890.0,861.0,890.0,70.0,60750.0,878.0,12.0
2014-06-02,6.0,900.0,873.0,890.0,190.0,170430.0,890.0,0.0
2014-06-03,1.0,907.0,907.0,907.0,10.0,9070.0,890.0,17.0
2014-06-04,20.0,905.0,836.0,855.0,260.0,226370.0,907.0,-52.0
2014-06-05,22.0,856.0,822.0,835.0,242.0,201246.0,855.0,-20.0
2014-06-08,2.0,821.0,820.0,821.0,20.0,16410.0,835.0,-14.0
2014-06-09,6.0,851.0,834.0,835.0,60.0,50230.0,821.0,14.0
2014-06-10,10.0,855.0,819.0,855.0,100.0,83830.0,835.0,20.0
2014-06-11,4.0,924.0,872.0,924.0,40.0,35910.0,855.0,69.0
2014-06-12,1.0,925.0,925.0,925.0,10.0,9250.0,924.0,1.0
2014-06-15,10.0,907.0,907.0,907.0,100.0,90700.0,925.0,-18.0
2014-06-19,3.0,889.0,889.0,889.0,60.0,53340.0,907.0,-18.0
2014-06-24,7.0,884.0,867.0,884.0,70.0,61590.0,889.0,-5.0
2014-06-29,1.0,901.0,901.0,901.0,49.0,44149.0,884.0,17.0
2014-06-30,2.0,884.0,884.0,884.0,162.0,143208.0,901.0,-17.0
2014-07-01,3.0,867.0,867.0,867.0,30.0,26010.0,884.0,-17.0
2014-07-02,6.0,850.0,850.0,850.0,280.0,238000.0,867.0,-17.0
2014-07-03,2.0,845.0,845.0,845.0,91.0,76895.0,850.0,-5.0
2014-07-06,5.0,898.0,860.0,898.0,109.0,94459.0,845.0,53.0
2014-07-07,2.0,933.0,915.0,933.0,20.0,18480.0,898.0,35.0
2014-07-09,1.0,915.0,915.0,915.0,81.0,74115.0,933.0,-18.0
2014-07-20,61.0,1006.0,897.0,1000.0,3040.0,2880839.0,915.0,85.0
2014-07-21,47.0,1100.0,1000.0,1036.0,3155.0,3393307.0,1000.0,36.0
2014-07-22,38.0,1020.0,962.0,999.0,1605.0,1580355.0,1036.0,-37.0
2014-07-23,5.0,1005.0,985.0,985.0,943.0,929055.0,999.0,-14.0
2014-07-24,12.0,966.0,932.0,935.0,447.0,424569.0,985.0,-50.0
2014-07-30,16.0,920.0,900.0,900.0,241.0,219320.0,935.0,-35.0
2014-07-31,6.0,882.0,850.0,852.0,84.0,73148.0,900.0,-48.0
2014-08-03,1.0,835.0,835.0,835.0,10.0,8350.0,852.0,-17.0
2014-08-04,7.0,820.0,820.0,820.0,70.0,57400.0,835.0,-15.0
