Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,9.0,496.0,460.0,488.0,1240.0,576930.0,451.0,37.0
2012-06-04,16.0,479.0,461.0,472.0,1900.0,895660.0,488.0,-16.0
2012-06-05,7.0,470.0,460.0,465.0,805.0,372300.0,472.0,-7.0
2012-06-06,14.0,462.0,456.0,457.0,2320.0,1063090.0,465.0,-8.0
2012-06-07,6.0,474.0,463.0,463.0,785.0,365415.0,457.0,6.0
2012-06-10,7.0,465.0,458.0,461.0,1100.0,507200.0,463.0,-2.0
2012-06-11,9.0,467.0,460.0,465.0,1450.0,671160.0,461.0,4.0
2012-06-12,5.0,474.0,465.0,468.0,450.0,210800.0,465.0,3.0
2012-06-13,9.0,467.0,459.0,464.0,1885.0,871675.0,468.0,-4.0
2012-06-14,1.0,465.0,465.0,465.0,855.0,397575.0,464.0,1.0
2012-06-17,11.0,465.0,458.0,460.0,2395.0,1104510.0,465.0,-5.0
2012-06-18,12.0,465.0,452.0,464.0,2060.0,953220.0,460.0,4.0
2012-06-19,32.0,464.0,455.0,463.0,5635.0,2588295.0,464.0,-1.0
2012-06-20,5.0,469.0,458.0,462.0,1000.0,463200.0,463.0,-1.0
2012-06-21,7.0,463.0,454.0,460.0,1810.0,831820.0,462.0,-2.0
2012-06-25,18.0,474.0,455.0,472.0,4710.0,2196940.0,460.0,12.0
2012-06-26,11.0,470.0,465.0,465.0,1870.0,871770.0,472.0,-7.0
2012-06-27,17.0,470.0,452.0,470.0,2460.0,1146140.0,465.0,5.0
2012-06-28,17.0,480.0,466.0,480.0,2970.0,1416280.0,470.0,10.0
2012-07-01,7.0,475.0,470.0,470.0,1630.0,769530.0,480.0,-10.0
2012-07-02,8.0,472.0,470.0,472.0,1245.0,585850.0,470.0,2.0
2012-07-03,7.0,475.0,465.0,471.0,1300.0,613230.0,472.0,-1.0
2012-07-04,18.0,489.0,470.0,475.0,3155.0,1507440.0,471.0,4.0
2012-07-05,2.0,481.0,475.0,475.0,345.0,163935.0,475.0,0.0
2012-07-08,24.0,486.0,475.0,480.0,6960.0,3338880.0,475.0,5.0
2012-07-09,28.0,497.0,480.0,490.0,5285.0,2564890.0,480.0,10.0
2012-07-10,42.0,501.0,491.0,498.0,6815.0,3387435.0,490.0,8.0
2012-07-11,4.0,491.0,489.0,490.0,1700.0,832000.0,498.0,-8.0
2012-07-12,15.0,490.0,481.0,490.0,4260.0,2079180.0,490.0,0.0
2012-07-15,12.0,503.0,489.0,503.0,1190.0,585640.0,490.0,13.0
2012-07-16,7.0,493.0,489.0,490.0,730.0,357600.0,503.0,-13.0
2012-07-17,13.0,492.0,473.0,490.0,1180.0,576340.0,490.0,0.0
2012-07-18,30.0,501.0,490.0,500.0,6145.0,3060460.0,490.0,10.0
2012-07-19,23.0,511.0,503.0,505.0,4340.0,2198030.0,500.0,5.0
2012-07-22,29.0,528.0,510.0,525.0,5625.0,2937265.0,505.0,20.0
2012-07-23,33.0,540.0,525.0,526.0,5950.0,3188980.0,525.0,1.0
2012-07-24,19.0,530.0,511.0,530.0,3320.0,1713490.0,526.0,4.0
2012-07-25,11.0,540.0,524.0,524.0,1810.0,950990.0,530.0,-6.0
2012-07-26,11.0,523.0,519.0,520.0,1540.0,801480.0,524.0,-4.0
2012-07-29,6.0,520.0,510.0,510.0,1170.0,597800.0,520.0,-10.0
2012-07-30,11.0,525.0,511.0,525.0,2430.0,1260020.0,510.0,15.0
2012-07-31,17.0,521.0,518.0,521.0,7925.0,4120880.0,525.0,-4.0
2012-08-01,20.0,525.0,515.0,525.0,3835.0,2002725.0,521.0,4.0
2012-08-05,15.0,530.0,515.0,525.0,2380.0,1250850.0,525.0,0.0
2012-08-06,16.0,525.0,520.0,523.0,3440.0,1802475.0,525.0,-2.0
2012-08-07,8.0,528.0,525.0,528.0,2070.0,1087840.0,523.0,5.0
2012-08-08,17.0,530.0,525.0,530.0,2470.0,1304240.0,528.0,2.0
2012-08-12,35.0,532.0,525.0,531.0,5735.0,3031795.0,530.0,1.0
2012-08-13,39.0,535.0,527.0,535.0,8300.0,4407000.0,531.0,4.0
2012-08-14,32.0,537.0,533.0,537.0,4970.0,2659900.0,535.0,2.0
2012-08-15,36.0,535.0,530.0,534.0,7080.0,3778420.0,537.0,-3.0
2012-08-16,19.0,535.0,530.0,534.0,2710.0,1447700.0,534.0,0.0
2012-08-19,17.0,538.0,530.0,530.0,3770.0,1999600.0,534.0,-4.0
2012-08-21,24.0,540.0,530.0,537.0,3845.0,2055395.0,530.0,7.0
2012-08-22,25.0,541.0,535.0,541.0,7745.0,4164820.0,537.0,4.0
2012-08-23,15.0,545.0,541.0,545.0,2790.0,1517820.0,541.0,4.0
2012-08-26,30.0,559.0,540.0,559.0,6420.0,3528690.0,545.0,14.0
2012-08-27,70.0,594.0,559.0,594.0,31065.0,18211105.0,559.0,35.0
2012-08-28,66.0,612.0,588.0,593.0,28455.0,16906050.0,594.0,-1.0
2012-08-29,19.0,590.0,580.0,587.0,4810.0,2807770.0,593.0,-6.0
2012-08-30,11.0,596.0,581.0,586.0,1305.0,762005.0,587.0,-1.0
2012-09-02,25.0,590.0,578.0,590.0,5355.0,3136610.0,586.0,4.0
2012-09-03,17.0,600.0,581.0,588.0,2770.0,1631170.0,590.0,-2.0
2012-09-04,25.0,590.0,579.0,581.0,3680.0,2139550.0,588.0,-7.0
2012-09-05,13.0,579.0,575.0,577.0,1920.0,1106980.0,581.0,-4.0
2012-09-06,26.0,585.0,569.0,575.0,4340.0,2485040.0,577.0,-2.0
2012-09-09,10.0,573.0,564.0,573.0,2320.0,1325810.0,575.0,-2.0
2012-09-10,22.0,573.0,562.0,570.0,9945.0,5628685.0,573.0,-3.0
2012-09-11,17.0,579.0,570.0,575.0,2660.0,1525760.0,570.0,5.0
2012-09-12,16.0,584.0,572.0,584.0,3340.0,1919460.0,575.0,9.0
2012-09-13,15.0,595.0,575.0,595.0,2630.0,1529920.0,584.0,11.0
2012-09-16,27.0,601.0,585.0,589.0,5280.0,3117900.0,595.0,-6.0
2012-09-17,9.0,595.0,587.0,592.0,6100.0,3619480.0,589.0,3.0
