Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-06,1.0,175.0,175.0,175.0,47.0,8225.0,178.0,-3.0
2012-06-14,7.0,178.0,169.0,169.0,579.0,99651.0,175.0,-6.0
2012-06-17,1.0,169.0,169.0,169.0,29.0,4901.0,169.0,0.0
2012-06-19,1.0,167.0,167.0,167.0,13.0,2171.0,169.0,-2.0
2012-07-02,1.0,164.0,164.0,164.0,21.0,3444.0,167.0,-3.0
2012-07-17,3.0,161.0,158.0,161.0,114.0,18186.0,164.0,-3.0
2012-07-22,2.0,160.0,160.0,160.0,212.0,33920.0,161.0,-1.0
2012-07-26,2.0,160.0,160.0,160.0,83.0,13280.0,160.0,0.0
2012-07-30,1.0,157.0,157.0,157.0,14.0,2198.0,160.0,-3.0
2012-08-12,1.0,154.0,154.0,154.0,392.0,60368.0,157.0,-3.0
2012-08-26,6.0,154.0,151.0,151.0,642.0,97263.0,154.0,-3.0
2012-08-27,3.0,152.0,152.0,152.0,207.0,31464.0,151.0,1.0
2012-08-28,5.0,166.0,155.0,166.0,537.0,86798.0,152.0,14.0
2012-08-29,1.0,169.0,169.0,169.0,50.0,8450.0,166.0,3.0
2012-08-30,1.0,172.0,172.0,172.0,40.0,6880.0,169.0,3.0
2012-09-02,3.0,181.0,175.0,181.0,451.0,79168.0,172.0,9.0
2012-09-03,3.0,190.0,184.0,190.0,480.0,89970.0,181.0,9.0
2012-09-04,1.0,193.0,193.0,193.0,29.0,5597.0,190.0,3.0
2012-10-10,1.0,190.0,190.0,190.0,199.0,37810.0,193.0,-3.0
2012-10-11,3.0,187.0,181.0,181.0,743.0,135029.0,190.0,-9.0
2012-10-15,2.0,178.0,178.0,178.0,207.0,36846.0,181.0,-3.0
2012-10-18,1.0,176.0,176.0,176.0,31.0,5456.0,178.0,-2.0
2012-11-06,2.0,178.0,175.0,175.0,189.0,33549.0,176.0,-1.0
2012-11-11,1.0,175.0,175.0,175.0,107.0,18725.0,175.0,0.0
2012-11-26,1.0,178.0,178.0,178.0,107.0,19046.0,175.0,3.0
2012-11-28,1.0,176.0,176.0,176.0,31.0,5456.0,178.0,-2.0
2012-12-12,12.0,189.0,171.0,189.0,1155.0,205432.0,176.0,13.0
2012-12-13,8.0,207.0,192.0,207.0,535.0,109627.0,189.0,18.0
2012-12-16,1.0,200.0,200.0,200.0,500.0,100000.0,207.0,-7.0
2012-12-18,1.0,200.0,200.0,200.0,168.0,33600.0,200.0,0.0
2012-12-19,1.0,201.0,201.0,201.0,1851.0,372051.0,200.0,1.0
2012-12-20,1.0,200.0,200.0,200.0,76.0,15200.0,201.0,-1.0
2013-01-10,4.0,204.0,204.0,204.0,502.0,102408.0,208.0,-4.0
2013-01-13,2.0,212.0,208.0,212.0,20.0,4200.0,204.0,8.0
2013-01-15,3.0,220.0,216.0,220.0,1158.0,251548.0,212.0,8.0
2013-01-16,2.0,224.0,224.0,224.0,510.0,114240.0,220.0,4.0
2013-01-17,1.0,228.0,228.0,228.0,50.0,11400.0,224.0,4.0
2013-01-21,4.0,235.0,232.0,235.0,411.0,95773.0,228.0,7.0
2013-01-22,5.0,235.0,225.0,225.0,443.0,101469.0,235.0,-10.0
2013-01-23,2.0,225.0,225.0,225.0,153.0,34425.0,225.0,0.0
2013-01-24,2.0,225.0,225.0,225.0,2130.0,479250.0,225.0,0.0
2013-01-27,1.0,226.0,226.0,226.0,111.0,25086.0,225.0,1.0
2013-01-28,1.0,230.0,230.0,230.0,30.0,6900.0,226.0,4.0
2013-02-04,1.0,226.0,226.0,226.0,47.0,10622.0,230.0,-4.0
2013-02-05,32.0,222.0,216.0,216.0,715.0,155925.0,226.0,-10.0
2013-02-06,22.0,219.0,207.0,214.0,404.0,86179.0,216.0,-2.0
2013-02-07,3.0,220.0,216.0,220.0,181.0,39390.0,214.0,6.0
2013-02-10,8.0,232.0,224.0,230.0,2465.0,555242.0,220.0,10.0
2013-02-12,2.0,233.0,232.0,233.0,136.0,31637.0,230.0,3.0
2013-02-13,2.0,236.0,232.0,232.0,272.0,63856.0,233.0,-1.0
2013-02-14,1.0,230.0,230.0,230.0,159.0,36570.0,232.0,-2.0
2013-02-17,1.0,234.0,234.0,234.0,124.0,29016.0,230.0,4.0
2013-02-19,4.0,245.0,238.0,245.0,484.0,117347.0,234.0,11.0
2013-02-20,2.0,241.0,237.0,237.0,224.0,53148.0,245.0,-8.0
2013-02-21,1.0,233.0,233.0,233.0,17.0,3961.0,237.0,-4.0
2013-02-24,2.0,229.0,225.0,225.0,32.0,7260.0,233.0,-8.0
2013-02-25,1.0,225.0,225.0,225.0,102.0,22950.0,225.0,0.0
2013-03-07,1.0,226.0,226.0,226.0,227.0,51302.0,225.0,1.0
2013-03-11,2.0,225.0,225.0,225.0,238.0,53550.0,226.0,-1.0
2013-03-13,3.0,225.0,224.0,225.0,552.0,124040.0,225.0,0.0
2013-03-14,1.0,229.0,229.0,229.0,10.0,2290.0,225.0,4.0
2013-03-18,1.0,226.0,226.0,226.0,77.0,17402.0,229.0,-3.0
2013-03-19,1.0,222.0,222.0,222.0,61.0,13542.0,226.0,-4.0
2013-03-21,2.0,226.0,226.0,226.0,49.0,11074.0,222.0,4.0
2013-04-03,1.0,220.0,220.0,220.0,402.0,88440.0,217.0,3.0
2013-04-11,1.0,221.0,221.0,221.0,70.0,15470.0,220.0,1.0
2013-04-17,5.0,229.0,221.0,221.0,388.0,86944.0,221.0,0.0
2013-04-18,3.0,220.0,218.0,218.0,361.0,79135.0,221.0,-3.0
2013-04-21,1.0,222.0,222.0,222.0,11.0,2442.0,218.0,4.0
2013-04-22,1.0,218.0,218.0,218.0,319.0,69542.0,222.0,-4.0
2013-04-28,2.0,215.0,214.0,214.0,115.0,24680.0,218.0,-4.0
2013-05-07,1.0,218.0,218.0,218.0,111.0,24198.0,214.0,4.0
2013-05-08,1.0,222.0,222.0,222.0,276.0,61272.0,218.0,4.0
2013-05-09,6.0,244.0,226.0,244.0,130.0,31200.0,222.0,22.0
2013-05-12,11.0,268.0,248.0,268.0,678.0,173960.0,244.0,24.0
2013-05-13,11.0,277.0,265.0,266.0,3021.0,807484.0,268.0,-2.0
2013-05-16,6.0,271.0,266.0,270.0,441.0,118834.0,266.0,4.0
2013-05-19,3.0,270.0,270.0,270.0,386.0,104220.0,270.0,0.0
2013-05-20,3.0,271.0,269.0,271.0,455.0,122865.0,270.0,1.0
2013-05-22,1.0,271.0,271.0,271.0,74.0,20054.0,271.0,0.0
2013-05-23,4.0,281.0,273.0,281.0,656.0,182168.0,271.0,10.0
2013-05-27,1.0,286.0,286.0,286.0,99.0,28314.0,281.0,5.0
2013-06-10,1.0,285.0,285.0,285.0,500.0,142500.0,286.0,-1.0
2013-06-18,1.0,280.0,280.0,280.0,2239.0,626920.0,285.0,-5.0
2013-06-30,1.0,275.0,275.0,275.0,35.0,9625.0,280.0,-5.0
2013-07-01,1.0,270.0,270.0,270.0,118.0,31860.0,275.0,-5.0
2013-07-02,4.0,270.0,265.0,265.0,880.0,236790.0,270.0,-5.0
2013-07-03,6.0,270.0,265.0,270.0,767.0,206395.0,265.0,5.0
2013-07-07,7.0,276.0,271.0,276.0,485.0,133003.0,270.0,6.0
2013-07-08,1.0,271.0,271.0,271.0,77.0,20867.0,276.0,-5.0
2013-07-11,2.0,275.0,275.0,275.0,134.0,36850.0,271.0,4.0
2013-07-15,2.0,280.0,280.0,280.0,280.0,78400.0,275.0,5.0
2013-07-24,2.0,285.0,280.0,285.0,187.0,53150.0,280.0,5.0
2013-07-31,1.0,286.0,286.0,286.0,85.0,24310.0,285.0,1.0
2013-08-04,4.0,295.0,291.0,295.0,816.0,239904.0,286.0,9.0
2013-08-05,1.0,300.0,300.0,300.0,173.0,51900.0,295.0,5.0
2013-08-06,2.0,306.0,300.0,306.0,981.0,294546.0,300.0,6.0
2013-08-08,7.0,336.0,312.0,336.0,780.0,254277.0,306.0,30.0
2013-08-11,6.0,369.0,342.0,369.0,933.0,338028.0,336.0,33.0
