Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-11-29,29.0,310.5,282.3,310.5,194.0,57717.7,0.0,28.2
2021-11-30,26.0,341.5,316.7,341.5,171.0,57762.7,310.5,31.0
2021-12-01,17.0,375.6,348.3,375.6,150.0,55348.0,341.5,34.1
2021-12-02,41.0,413.1,375.6,413.1,390.0,159850.0,375.6,37.5
2021-12-05,157.0,454.4,421.3,454.4,1533.0,695114.2,413.1,41.3
2021-12-06,4466.0,499.8,409.0,433.0,81212.0,35157169.3,454.4,-21.4
2021-12-07,1644.0,459.0,414.0,416.0,30287.0,13054412.0,433.0,-17.0
2021-12-08,985.0,410.0,400.0,408.0,10795.0,4365534.0,416.0,-8.0
2021-12-09,611.0,404.0,385.0,393.0,12424.0,4881113.0,408.0,-15.0
2021-12-12,468.0,392.0,364.0,365.0,17386.0,6665237.8,393.0,-28.0
2021-12-13,462.0,386.0,332.0,347.0,10591.0,3666838.1,365.0,-18.0
2021-12-14,203.0,381.7,350.0,381.7,4849.0,1786201.5,347.0,34.7
2021-12-15,527.0,412.0,363.0,372.0,17495.0,6820720.5,381.7,-9.7
2021-12-16,253.0,385.5,360.0,363.0,5854.0,2139034.1,372.0,-9.0
2021-12-20,290.0,362.0,343.0,347.0,4850.0,1693137.5,363.0,-16.0
2021-12-21,255.0,356.9,344.0,356.9,5216.0,1819310.0,347.0,9.9
2021-12-22,327.0,378.0,357.0,378.0,7385.0,2739578.5,356.9,21.1
2021-12-23,321.0,380.0,365.1,371.0,8049.0,2996923.7,378.0,-7.0
2021-12-26,352.0,377.0,362.6,375.0,8054.0,2981678.1,371.0,4.0
2021-12-27,277.0,375.0,358.0,360.0,11881.0,4337568.6,375.0,-15.0
2021-12-28,178.0,362.4,351.0,358.0,4065.0,1445544.0,360.0,-2.0
2021-12-29,243.0,372.0,351.2,364.0,4050.0,1453923.0,358.0,6.0
2022-01-02,370.0,386.1,353.0,383.0,11390.0,4225588.0,364.0,19.0
2022-01-03,335.0,390.0,362.0,379.0,13813.0,5284335.0,383.0,-4.0
2022-01-04,308.0,388.0,367.1,384.0,7729.0,2930709.5,379.0,5.0
2022-01-05,446.0,397.8,371.0,382.0,14924.0,5784544.6,384.0,-2.0
2022-01-06,374.0,393.0,369.1,393.0,11525.0,4478146.2,382.0,11.0
2022-01-09,831.0,432.3,390.1,430.0,24892.0,10257910.6,393.0,37.0
2022-01-10,687.0,439.9,420.0,439.0,20907.0,8944679.0,430.0,9.0
2022-01-11,791.0,482.0,431.0,482.0,31728.0,14442356.7,439.0,43.0
2022-01-12,756.0,486.0,460.0,482.0,25627.0,12149344.5,482.0,0.0
2022-01-13,691.0,485.0,463.0,481.0,20163.0,9595904.3,482.0,-1.0
2022-01-16,740.0,489.6,469.0,470.1,32274.0,15373548.6,481.0,-10.9
2022-01-17,1177.0,492.0,460.0,492.0,28599.0,13648695.9,470.1,21.9
2022-01-18,1685.0,505.0,490.0,499.0,30733.0,15266600.0,492.0,7.0
2022-01-19,781.0,499.0,481.0,484.1,13433.0,6529765.1,499.0,-14.9
2022-01-20,1375.0,529.0,474.6,527.0,34689.0,17495226.5,484.1,42.9
2022-01-23,1080.0,545.0,510.0,517.0,31446.0,16434622.2,527.0,-10.0
2022-01-24,743.0,520.0,480.0,492.0,37075.0,18122049.1,517.0,-25.0
2022-01-25,478.0,503.0,472.0,485.1,18223.0,8991627.2,492.0,-6.9
2022-01-26,386.0,485.0,463.0,473.0,11451.0,5413079.9,485.1,-12.1
2022-01-27,388.0,481.0,465.0,475.0,9620.0,4552178.8,473.0,2.0
2022-01-30,896.0,510.0,484.5,505.0,25004.0,12395030.3,475.0,30.0
2022-01-31,487.0,505.0,488.0,489.0,9895.0,4891869.5,505.0,-16.0
2022-02-01,901.0,524.0,481.0,509.0,21831.0,10987045.0,489.0,20.0
2022-02-03,1690.0,530.2,503.0,530.0,56373.0,29323342.0,509.0,21.0
2022-02-06,816.0,527.0,503.0,515.0,34028.0,17348044.0,530.0,-15.0
2022-02-07,645.0,515.0,499.1,509.0,11704.0,5959093.0,515.0,-6.0
2022-02-08,498.0,529.2,495.1,498.0,18203.0,9254004.0,509.0,-11.0
2022-02-09,325.0,500.0,480.2,489.9,13550.0,6609771.0,498.0,-8.1
2022-02-10,389.0,499.8,475.0,478.0,13357.0,6438595.2,489.9,-11.9
2022-02-13,429.0,469.0,448.0,451.0,21099.0,9566710.2,478.0,-27.0
2022-02-14,228.0,459.0,444.0,445.0,7201.0,3241223.0,451.0,-6.0
2022-02-15,312.0,489.5,437.0,489.5,11328.0,5316850.0,445.0,44.5
2022-02-16,324.0,490.0,457.7,475.0,17166.0,8091256.5,489.5,-14.5
2022-02-17,289.0,483.0,460.0,483.0,7677.0,3643993.2,475.0,8.0
2022-02-20,537.0,507.0,464.0,491.6,30263.0,14808496.4,483.0,8.6
2022-02-21,620.0,516.0,482.0,511.0,28319.0,14233938.0,491.6,19.4
2022-02-22,1276.0,555.0,512.0,535.0,68842.0,36891538.0,511.0,24.0
2022-02-23,1047.0,566.0,530.0,550.0,44722.0,24521558.5,535.0,15.0
2022-02-24,697.0,550.8,518.0,520.0,37596.0,19839208.7,550.0,-30.0
2022-02-27,538.0,535.0,510.0,525.0,30184.0,15864900.0,520.0,5.0
2022-02-28,374.0,545.0,490.0,490.0,25258.0,12905808.4,525.0,-35.0
2022-03-02,304.0,490.0,472.6,475.0,11964.0,5720681.4,490.0,-15.0
2022-03-06,311.0,488.0,470.0,488.0,16335.0,7788239.0,475.0,13.0
2022-03-07,217.0,497.5,478.3,486.0,8970.0,4355912.5,488.0,-2.0
2022-03-09,216.0,494.7,464.0,470.0,10317.0,4842919.2,486.0,-16.0
2022-03-10,266.0,517.0,447.0,503.0,16084.0,7795460.6,470.0,33.0
2022-03-13,461.0,517.0,491.1,505.0,27030.0,13561290.2,503.0,2.0
2022-03-14,105.0,504.9,486.1,490.4,6148.0,3048396.5,505.0,-14.6
2022-03-15,316.0,499.7,467.0,476.0,19314.0,9256266.0,490.4,-14.4
2022-03-16,238.0,489.2,470.5,483.5,8788.0,4211278.9,476.0,7.5
2022-03-20,235.0,493.1,475.0,484.0,6100.0,2919718.1,483.5,0.5
2022-03-21,279.0,496.0,475.1,489.0,9304.0,4522389.2,484.0,5.0
2022-03-22,194.0,498.6,478.0,484.0,7378.0,3577886.7,489.0,-5.0
2022-03-23,219.0,483.0,470.0,471.0,12633.0,5978453.6,484.0,-13.0
2022-03-24,218.0,475.0,467.0,469.0,7182.0,3370278.0,471.0,-2.0
2022-03-27,330.0,470.0,447.0,453.0,13798.0,6270172.1,469.0,-16.0
2022-03-28,200.0,469.1,442.0,444.0,5974.0,2678260.2,453.0,-9.0
2022-03-29,161.0,459.0,436.0,449.7,9089.0,4031648.6,444.0,5.7
2022-03-30,179.0,464.2,440.8,463.0,7335.0,3318402.0,449.7,13.3
2022-03-31,207.0,470.0,451.1,451.1,8375.0,3847562.4,463.0,-11.9
2022-04-03,225.0,454.9,442.0,454.9,4216.0,1879252.0,451.1,3.8
2022-04-04,164.0,450.0,439.0,450.0,4533.0,2016615.6,454.9,-4.9
2022-04-05,240.0,441.0,425.0,438.0,10520.0,4555948.7,450.0,-12.0
2022-04-06,198.0,441.0,419.9,436.0,6185.0,2640722.0,438.0,-2.0
2022-04-07,223.0,444.0,425.0,0.0,10979.0,4747367.0,436.0,-6.9
2022-04-11,237.0,443.7,421.5,427.0,11615.0,4996935.2,429.1,-2.1
2022-04-12,178.0,422.0,397.1,401.1,9734.0,3942640.0,427.0,-25.9
2022-04-13,153.0,411.9,394.0,410.0,5670.0,2303697.3,401.1,8.9
2022-04-17,123.0,417.0,397.0,400.0,4681.0,1882193.0,410.0,-10.0
2022-04-18,129.0,400.0,381.0,381.0,4772.0,1864591.7,400.0,-19.0
2022-04-19,127.0,390.0,361.2,387.0,7350.0,2769282.4,381.0,6.0
2022-04-20,154.0,401.0,368.0,375.0,5304.0,2024717.5,387.0,-12.0
2022-04-21,156.0,399.8,360.0,390.0,5538.0,2035572.2,375.0,15.0
