Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-04-30,24.0,1900.0,1900.0,1900.0,2400.0,4560000.0,1900.0,0.0
2017-08-16,2.0,1865.0,1865.0,1865.0,8000.0,14920000.0,1900.0,-35.0
2017-08-22,3.0,1865.0,1865.0,1865.0,6100.0,11376500.0,1865.0,0.0
2017-08-31,2.0,1865.0,1865.0,1865.0,3000.0,5595000.0,1865.0,0.0
2017-10-11,3.0,1865.0,1865.0,1865.0,9620.0,17941300.0,1865.0,0.0
2017-10-17,3.0,1865.0,1865.0,1865.0,5000.0,9325000.0,1865.0,0.0
2017-10-23,1.0,1865.0,1865.0,1865.0,7000.0,13055000.0,1865.0,0.0
2017-10-31,1.0,1830.0,1830.0,1830.0,1000.0,1830000.0,1865.0,-35.0
2017-11-16,1.0,1800.0,1800.0,1800.0,1700.0,3060000.0,1830.0,-30.0
2017-11-21,5.0,1800.0,1800.0,1800.0,23700.0,42660000.0,1800.0,0.0
2017-11-22,2.0,1800.0,1800.0,1800.0,2000.0,3600000.0,1800.0,0.0
2017-11-23,1.0,1800.0,1800.0,1800.0,914.0,1645200.0,1800.0,0.0
2017-11-28,2.0,1800.0,1800.0,1800.0,5000.0,9000000.0,1800.0,0.0
2018-01-02,2.0,1300.0,1300.0,1300.0,6344.0,8247200.0,1300.0,0.0
2018-01-07,4.0,1300.0,1300.0,1300.0,10000.0,13000000.0,1300.0,0.0
2018-03-06,1.0,1300.0,1300.0,1300.0,100.0,130000.0,1300.0,0.0
2018-03-28,2.0,1300.0,1300.0,1300.0,3148.0,4092400.0,1300.0,0.0
2018-05-31,1.0,1300.0,1300.0,1300.0,3020.0,3926000.0,1300.0,0.0
2018-06-07,4.0,1300.0,1300.0,1300.0,8198.0,10657400.0,1300.0,0.0
2018-06-19,5.0,1300.0,1300.0,1300.0,4660.0,6058000.0,1300.0,0.0
2018-06-28,2.0,1300.0,1300.0,1300.0,200.0,260000.0,1300.0,0.0
2018-07-04,1.0,1300.0,1300.0,1300.0,290.0,377000.0,1300.0,0.0
2018-07-11,1.0,750.0,750.0,750.0,6000.0,4500000.0,750.0,0.0
2019-01-08,2.0,750.0,750.0,750.0,3000.0,2250000.0,750.0,0.0
2019-01-13,1.0,750.0,750.0,750.0,5000.0,3750000.0,750.0,0.0
2019-03-11,2.0,370.0,360.0,370.0,3000.0,1104000.0,360.0,10.0
2019-03-12,1.0,370.0,370.0,370.0,500.0,185000.0,370.0,0.0
