Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-04-30,2.0,449.0,441.0,449.0,22.0,9790.0,0.0,449.0
2014-05-15,1.0,457.0,457.0,457.0,10.0,4570.0,449.0,8.0
2014-05-18,1.0,466.0,466.0,466.0,10.0,4660.0,457.0,9.0
2014-05-19,3.0,493.0,475.0,493.0,33.0,15972.0,466.0,27.0
2014-05-20,1.0,502.0,502.0,502.0,11.0,5522.0,493.0,9.0
2014-06-04,1.0,512.0,512.0,512.0,10.0,5120.0,502.0,10.0
2014-06-05,4.0,552.0,522.0,552.0,44.0,23628.0,512.0,40.0
2014-06-18,1.0,563.0,563.0,552.0,10.0,5630.0,552.0,11.0
2014-06-23,1.0,574.0,574.0,574.0,11.0,6314.0,563.0,11.0
2014-06-30,2.0,596.0,585.0,596.0,21.0,12406.0,574.0,22.0
2014-07-02,1.0,625.0,625.0,625.0,10.0,6250.0,596.0,29.0
2014-07-07,2.0,649.0,637.0,649.0,20.0,12860.0,625.0,24.0
2014-07-22,1.0,661.0,661.0,661.0,11.0,7271.0,649.0,12.0
2014-07-24,1.0,674.0,674.0,674.0,10.0,6740.0,661.0,13.0
2014-08-04,1.0,687.0,687.0,687.0,10.0,6870.0,674.0,13.0
2014-08-12,11.0,755.0,700.0,755.0,112.0,83187.0,687.0,68.0
2014-08-14,1.0,770.0,770.0,770.0,10.0,7700.0,755.0,15.0
2014-08-20,1.0,785.0,785.0,785.0,10.0,7850.0,770.0,15.0
2014-08-21,4.0,848.0,800.0,848.0,40.0,32960.0,785.0,63.0
2014-08-24,7.0,932.0,864.0,932.0,71.0,64472.0,848.0,84.0
2014-08-25,36.0,1025.0,952.0,1025.0,384.0,391036.0,932.0,93.0
2014-08-26,77.0,1127.0,1045.0,1127.0,812.0,903862.0,1025.0,102.0
2014-08-27,41.0,1239.0,1149.0,1239.0,441.0,543144.0,1127.0,112.0
2014-08-28,90.0,1362.0,1263.0,1362.0,3036.0,4006321.0,1239.0,123.0
2014-08-31,119.0,1416.0,1300.0,1300.0,1497.0,1985015.0,1362.0,-62.0
2014-09-01,32.0,1280.0,1235.0,1270.0,355.0,445716.0,1300.0,-30.0
2014-09-03,31.0,1295.0,1250.0,1281.0,369.0,467537.0,1270.0,11.0
