Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-07,1.0,280.0,280.0,280.0,163.0,45640.0,0.0,280.0
2013-10-08,12.0,275.0,252.0,252.0,594.0,155890.0,280.0,-28.0
2013-10-09,5.0,247.0,231.0,231.0,265.0,62943.0,252.0,-21.0
2013-10-22,3.0,227.0,219.0,219.0,30.0,6690.0,231.0,-12.0
2013-10-23,5.0,215.0,199.0,199.0,50.0,10350.0,219.0,-20.0
2013-10-24,13.0,196.0,181.0,186.0,844.0,156181.0,199.0,-13.0
2013-10-27,19.0,187.0,185.0,185.0,770.0,143554.0,186.0,-1.0
2013-10-28,12.0,192.0,181.0,192.0,1745.0,324390.0,185.0,7.0
2013-10-29,6.0,195.0,189.0,189.0,363.0,70635.0,192.0,-3.0
2013-10-30,10.0,198.0,192.0,194.0,1087.0,212544.0,189.0,5.0
2013-10-31,1.0,197.0,197.0,197.0,163.0,32111.0,194.0,3.0
2013-11-07,1.0,200.0,200.0,200.0,20.0,4000.0,197.0,3.0
2013-11-10,2.0,203.0,203.0,203.0,228.0,46284.0,200.0,3.0
2013-11-12,1.0,199.0,199.0,199.0,90.0,17910.0,203.0,-4.0
2013-11-13,7.0,202.0,198.0,201.0,1614.0,322995.0,199.0,2.0
2013-11-14,1.0,197.0,197.0,197.0,163.0,32111.0,201.0,-4.0
2013-11-24,4.0,203.0,200.0,200.0,505.0,101489.0,197.0,3.0
2013-11-25,11.0,208.0,200.0,204.0,1613.0,326344.0,200.0,4.0
2013-11-26,8.0,216.0,208.0,212.0,432.0,92109.0,204.0,8.0
2013-11-27,1.0,216.0,216.0,216.0,98.0,21168.0,212.0,4.0
2013-11-28,18.0,237.0,220.0,237.0,1288.0,293955.0,216.0,21.0
2013-12-02,1.0,241.0,241.0,241.0,130.0,31330.0,237.0,4.0
2013-12-03,13.0,265.0,245.0,265.0,743.0,191533.0,241.0,24.0
2013-12-08,1.0,216.0,216.0,216.0,114.0,24624.0,265.0,-49.0
2014-01-29,1.0,220.0,220.0,220.0,98.0,21560.0,216.0,4.0
2014-02-02,4.0,228.0,220.0,220.0,911.0,203416.0,220.0,0.0
2014-02-04,1.0,224.0,224.0,224.0,108.0,24192.0,220.0,4.0
2014-02-06,1.0,225.0,225.0,225.0,163.0,36675.0,224.0,1.0
2014-02-09,5.0,233.0,225.0,233.0,750.0,171000.0,225.0,8.0
2014-02-12,6.0,241.0,233.0,240.0,588.0,140174.0,233.0,7.0
2014-02-16,1.0,244.0,244.0,244.0,325.0,79300.0,240.0,4.0
2014-02-17,4.0,262.0,248.0,262.0,499.0,127957.0,244.0,18.0
2014-02-18,3.0,277.0,267.0,277.0,423.0,114891.0,262.0,15.0
2014-02-25,1.0,282.0,282.0,282.0,166.0,46812.0,277.0,5.0
2014-02-26,2.0,292.0,287.0,292.0,326.0,94377.0,282.0,10.0
2014-03-04,1.0,287.0,287.0,287.0,98.0,28126.0,292.0,-5.0
2014-03-05,9.0,300.0,292.0,300.0,1630.0,485903.0,287.0,13.0
2014-03-06,4.0,316.0,306.0,316.0,652.0,202772.0,300.0,16.0
2014-03-09,5.0,334.0,322.0,330.0,1161.0,384986.0,316.0,14.0
2014-03-10,5.0,340.0,334.0,340.0,716.0,240155.0,330.0,10.0
2014-03-11,4.0,359.0,346.0,359.0,634.0,223295.0,340.0,19.0
2014-03-12,15.0,372.0,357.0,357.0,1336.0,492350.0,359.0,-2.0
2014-03-17,1.0,350.0,350.0,350.0,163.0,57050.0,357.0,-7.0
2014-03-24,1.0,344.0,344.0,344.0,114.0,39216.0,350.0,-6.0
2014-04-01,2.0,338.0,332.0,332.0,110.0,37120.0,344.0,-12.0
2014-04-02,1.0,326.0,326.0,326.0,163.0,53138.0,332.0,-6.0
2014-04-03,6.0,320.0,304.0,304.0,659.0,205245.0,326.0,-22.0
2014-04-07,3.0,301.0,295.0,295.0,815.0,243120.0,304.0,-9.0
2014-04-27,1.0,290.0,290.0,290.0,325.0,94250.0,295.0,-5.0
2014-05-06,1.0,285.0,285.0,285.0,228.0,64980.0,290.0,-5.0
2014-05-07,5.0,290.0,280.0,280.0,286.0,81187.0,285.0,-5.0
2014-05-11,2.0,275.0,275.0,275.0,118.0,32450.0,280.0,-5.0
2014-05-13,2.0,271.0,270.0,271.0,375.0,101299.0,275.0,-4.0
2014-05-21,5.0,290.0,270.0,290.0,535.0,151225.0,271.0,19.0
2014-05-22,2.0,285.0,280.0,280.0,144.0,40970.0,290.0,-10.0
2014-05-25,7.0,295.0,280.0,295.0,191.0,55435.0,280.0,15.0
2014-05-26,1.0,300.0,300.0,300.0,20.0,6000.0,295.0,5.0
2014-06-01,1.0,296.0,296.0,296.0,98.0,29008.0,300.0,-4.0
2014-06-17,5.0,291.0,280.0,0.0,215.0,61172.0,296.0,-16.0
2014-06-18,2.0,278.0,275.0,280.0,366.0,101628.0,280.0,-2.0
2014-06-26,2.0,273.0,268.0,268.0,207.0,55536.0,278.0,-10.0
