Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,10.0,126.0,117.0,126.0,683.0,83947.0,115.0,11.0
2012-06-05,9.0,136.0,128.0,136.0,934.0,121954.0,126.0,10.0
2012-06-06,1.0,134.0,134.0,134.0,100.0,13400.0,136.0,-2.0
2012-06-10,3.0,140.0,136.0,140.0,30.0,4140.0,134.0,6.0
2012-06-12,2.0,144.0,142.0,144.0,70.0,10040.0,140.0,4.0
2012-06-17,2.0,142.0,140.0,140.0,20.0,2820.0,144.0,-4.0
2012-06-19,1.0,138.0,138.0,138.0,150.0,20700.0,140.0,-2.0
2012-06-21,3.0,136.0,136.0,136.0,575.0,78200.0,138.0,-2.0
2012-07-15,2.0,134.0,132.0,132.0,343.0,45424.0,136.0,-4.0
2012-07-16,4.0,130.0,124.0,124.0,479.0,59710.0,132.0,-8.0
2012-07-17,1.0,124.0,124.0,124.0,50.0,6200.0,124.0,0.0
2012-07-18,1.0,122.0,122.0,122.0,119.0,14518.0,124.0,-2.0
2012-07-19,1.0,122.0,122.0,122.0,75.0,9150.0,122.0,0.0
2012-07-22,1.0,124.0,124.0,124.0,118.0,14632.0,122.0,2.0
2012-07-26,1.0,126.0,126.0,126.0,200.0,25200.0,124.0,2.0
2012-08-07,2.0,130.0,128.0,130.0,235.0,30350.0,126.0,4.0
2012-08-08,4.0,136.0,132.0,136.0,657.0,88507.0,130.0,6.0
2012-08-13,2.0,138.0,136.0,136.0,299.0,40864.0,136.0,0.0
2012-08-16,2.0,134.0,132.0,132.0,300.0,39800.0,136.0,-4.0
2012-08-21,1.0,134.0,134.0,134.0,2091.0,280194.0,132.0,2.0
2012-08-23,1.0,136.0,136.0,136.0,10.0,1360.0,134.0,2.0
2012-08-27,12.0,148.0,138.0,148.0,1711.0,243217.0,136.0,12.0
2012-08-28,4.0,146.0,144.0,144.0,657.0,95665.0,148.0,-4.0
2012-08-29,3.0,147.0,146.0,147.0,385.0,56410.0,144.0,3.0
2012-09-03,3.0,145.0,145.0,145.0,416.0,60320.0,147.0,-2.0
2012-09-04,1.0,143.0,143.0,143.0,300.0,42900.0,145.0,-2.0
2012-09-05,1.0,141.0,141.0,141.0,200.0,28200.0,143.0,-2.0
2012-09-06,2.0,142.0,142.0,142.0,5191.0,737122.0,141.0,1.0
2012-09-10,8.0,144.0,142.0,144.0,3318.0,476147.0,142.0,2.0
2012-09-11,2.0,144.0,142.0,142.0,285.0,40740.0,144.0,-2.0
2012-09-12,1.0,140.0,140.0,140.0,51.0,7140.0,142.0,-2.0
2012-09-18,5.0,142.0,139.0,139.0,2903.0,407356.0,140.0,-1.0
2012-09-19,2.0,141.0,140.0,141.0,435.0,61085.0,139.0,2.0
2012-09-23,1.0,141.0,141.0,141.0,19.0,2679.0,141.0,0.0
2012-10-17,3.0,140.0,140.0,140.0,1924.0,269360.0,141.0,-1.0
2012-10-30,3.0,140.0,140.0,140.0,2536.0,355040.0,140.0,0.0
2012-11-05,1.0,142.0,142.0,142.0,202.0,28684.0,140.0,2.0
2012-11-06,1.0,144.0,144.0,144.0,382.0,55008.0,142.0,2.0
2012-11-25,1.0,146.0,146.0,146.0,100.0,14600.0,144.0,2.0
2012-11-26,4.0,156.0,148.0,156.0,382.0,59152.0,146.0,10.0
2012-11-27,5.0,153.0,151.0,151.0,1447.0,220591.0,156.0,-5.0
2012-12-24,1.0,148.0,148.0,148.0,120.0,17760.0,151.0,-3.0
2013-01-01,3.0,146.0,144.0,146.0,748.0,108808.0,148.0,-2.0
2013-01-02,1.0,146.0,146.0,146.0,691.0,100886.0,146.0,0.0
2013-01-07,1.0,144.0,144.0,144.0,269.0,38736.0,146.0,-2.0
2013-01-17,1.0,142.0,142.0,142.0,108.0,15336.0,144.0,-2.0
2013-01-20,1.0,140.0,140.0,140.0,108.0,15120.0,142.0,-2.0
2013-01-21,4.0,141.0,139.0,139.0,828.0,115284.0,140.0,-1.0
2013-01-22,1.0,139.0,139.0,139.0,210.0,29190.0,139.0,0.0
2013-01-24,1.0,137.0,137.0,137.0,183.0,25071.0,139.0,-2.0
2013-01-27,1.0,139.0,139.0,139.0,184.0,25576.0,137.0,2.0
2013-01-31,1.0,137.0,137.0,137.0,1000.0,137000.0,139.0,-2.0
2013-02-04,1.0,138.0,138.0,138.0,273.0,37674.0,137.0,1.0
2013-02-07,3.0,139.0,136.0,136.0,950.0,131256.0,138.0,-2.0
2013-02-10,1.0,136.0,136.0,136.0,105.0,14280.0,136.0,0.0
2013-02-14,1.0,136.0,136.0,136.0,415.0,56440.0,136.0,0.0
2013-02-27,1.0,138.0,138.0,138.0,366.0,50508.0,136.0,2.0
2013-03-17,2.0,142.0,140.0,142.0,653.0,91880.0,138.0,4.0
2013-03-24,2.0,146.0,144.0,146.0,653.0,94492.0,142.0,4.0
2013-03-25,4.0,145.0,142.0,142.0,1154.0,164336.0,146.0,-4.0
