Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-05-22,4.0,0.0,0.0,260.0,694331.0,180526060.0,220.0,0.0
2015-11-03,1.0,0.0,0.0,0.0,67121.0,6712100.0,220.0,0.0
2017-03-29,14.0,400.0,360.0,360.0,1046867.0,380609807.0,400.0,-40.0
2019-03-26,2.0,120.0,120.0,120.0,131929.0,15831480.0,120.0,0.0
2019-09-03,2.0,118.0,118.0,118.0,485000.0,57230000.0,120.0,-2.0
2019-10-01,2.0,118.0,118.0,118.0,561000.0,70125000.0,118.0,0.0
2019-12-11,3.0,116.0,114.0,114.0,561428.0,64161648.0,118.0,-4.0
2020-07-27,1.0,116.0,116.0,116.0,105118.0,12193688.0,118.0,-2.0
2020-07-28,1.0,116.0,116.0,116.0,105118.0,12193688.0,116.0,0.0
2020-07-29,1.0,116.0,116.0,116.0,105018.0,12182088.0,116.0,0.0
