Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-09-24,1.0,200.0,200.0,200.0,15772.0,3154400.0,200.0,0.0
2018-01-01,13.0,106.0,106.0,106.0,38041.0,4032346.0,105.0,1.0
2018-01-02,8.0,106.0,106.0,106.0,20321.0,2154026.0,106.0,0.0
2018-01-03,2.0,106.0,106.0,106.0,2302.0,244012.0,106.0,0.0
2018-09-18,8.0,106.0,106.0,106.0,58228.0,6172168.0,106.0,0.0
2018-09-23,1.0,106.0,106.0,106.0,5264.0,557984.0,106.0,0.0
2018-10-11,2.0,106.0,106.0,106.0,4785.0,507210.0,106.0,0.0
2018-12-27,4.0,106.0,106.0,106.0,13864.0,1469584.0,106.0,0.0
2018-12-30,7.0,106.0,105.0,105.0,36687.0,3852135.0,106.0,-1.0
2018-12-31,1.0,105.0,105.0,105.0,5000.0,525000.0,105.0,0.0
2019-01-03,1.0,105.0,103.96,105.0,5000.0,525000.0,103.96,1.04
2019-01-23,1.0,105.0,105.0,105.0,5000.0,525000.0,105.0,0.0
2019-02-05,1.0,105.0,105.0,105.0,2100.0,220500.0,105.0,0.0
2019-04-18,1.0,104.0,104.0,104.0,2000.0,208000.0,104.0,0.0
2019-05-16,1.0,104.0,104.0,104.0,5002.0,520208.0,104.0,0.0
