Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-11-11,1.0,175.0,175.0,175.0,50.0,8750.0,0.0,175.0
2012-12-19,1.0,172.0,172.0,172.0,100.0,17200.0,175.0,-3.0
2012-12-20,4.0,169.0,160.0,160.0,40.0,6580.0,172.0,-12.0
2012-12-23,4.0,152.0,145.0,145.0,40.0,5930.0,160.0,-15.0
2012-12-24,5.0,138.0,131.0,131.0,50.0,6710.0,145.0,-14.0
2012-12-26,5.0,125.0,118.0,118.0,50.0,6060.0,131.0,-13.0
2012-12-27,7.0,113.0,107.0,107.0,180.0,19380.0,118.0,-11.0
2013-01-17,2.0,105.0,103.0,103.0,650.0,67050.0,107.0,-4.0
2013-05-27,25.0,101.0,93.0,93.0,4000.0,383050.0,103.0,-10.0
2013-05-28,9.0,100.0,94.0,100.0,1310.0,127440.0,93.0,7.0
2013-05-30,26.0,110.0,100.0,110.0,8800.0,932730.0,100.0,10.0
2013-06-02,11.0,112.0,104.0,104.0,3550.0,392180.0,110.0,-6.0
2013-06-03,2.0,103.0,102.0,102.0,120.0,12260.0,104.0,-2.0
2013-06-04,6.0,100.0,97.0,97.0,540.0,53020.0,102.0,-5.0
2013-06-17,11.0,97.0,93.0,93.0,1110.0,105590.0,97.0,-4.0
2013-06-18,1.0,92.0,92.0,92.0,180.0,16560.0,93.0,-1.0
2013-06-26,1.0,91.0,91.0,91.0,50.0,4550.0,92.0,-1.0
2013-06-27,1.0,90.0,90.0,90.0,50.0,4500.0,91.0,-1.0
2013-09-05,1.0,89.0,89.0,89.0,50.0,4450.0,90.0,-1.0
2013-09-19,2.0,88.0,88.0,88.0,110.0,9680.0,89.0,-1.0
