Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-03-27,1.0,198.0,198.0,198.0,29140.0,5769720.0,195.0,3.0
2013-10-29,1.0,198.0,198.0,198.0,1457.0,288486.0,198.0,0.0
2014-12-22,1.0,283.0,283.0,283.0,3825.0,1082475.0,284.0,-1.0
2015-03-01,3.0,283.0,283.0,283.0,600.0,169800.0,283.0,0.0
2015-04-06,1.0,283.0,283.0,283.0,165.0,46695.0,283.0,0.0
2015-06-28,1.0,278.0,278.0,278.0,25000.0,6950000.0,283.0,-5.0
2015-06-30,3.0,278.0,278.0,278.0,600.0,166800.0,278.0,0.0
2017-07-03,1.0,196.0,196.0,196.0,19808.0,3882368.0,200.0,-4.0
2017-07-11,4.0,199.0,199.0,199.0,200770.0,39953230.0,196.0,3.0
2017-07-20,2.0,199.0,199.0,199.0,43753.0,8706847.0,199.0,0.0
2017-07-25,1.0,199.0,199.0,199.0,3759.0,748041.0,199.0,0.0
2017-07-26,1.0,202.0,202.0,202.0,109849.0,22189498.0,199.0,3.0
2017-08-03,2.0,202.0,202.0,202.0,9309.0,1880418.0,202.0,0.0
2017-08-13,1.0,202.0,202.0,202.0,14876.0,3004952.0,202.0,0.0
2017-08-16,4.0,202.0,202.0,202.0,11207.0,2263814.0,202.0,0.0
2017-08-17,1.0,202.0,202.0,202.0,6406.0,1294012.0,202.0,0.0
2017-08-21,1.0,202.0,202.0,202.0,3680.0,743360.0,202.0,0.0
2017-08-31,4.0,202.0,202.0,202.0,70769.0,14295338.0,202.0,0.0
2017-09-10,1.0,202.0,202.0,202.0,3203.0,647006.0,202.0,0.0
2017-09-24,3.0,202.0,202.0,202.0,110000.0,22220000.0,202.0,0.0
2017-10-12,3.0,200.0,200.0,200.0,38437.0,7687400.0,202.0,-2.0
2017-11-06,1.0,200.0,200.0,200.0,1472.0,294400.0,200.0,0.0
2017-11-08,1.0,200.0,200.0,200.0,11800.0,2360000.0,200.0,0.0
2017-11-12,1.0,200.0,200.0,200.0,21740.0,4348000.0,200.0,0.0
2017-11-23,2.0,200.0,200.0,200.0,29976.0,5995200.0,200.0,0.0
2017-12-31,5.0,200.0,200.0,200.0,484808.0,96961600.0,200.0,0.0
2018-01-14,1.0,200.0,200.0,200.0,1000.0,200000.0,200.0,0.0
2018-01-16,1.0,196.0,196.0,196.0,19250.0,3773000.0,200.0,-4.0
2018-01-22,1.0,195.0,195.0,195.0,18480.0,3603600.0,196.0,-1.0
2018-01-25,26.0,0.0,0.0,0.0,11480.0,2198050.0,195.0,0.0
2018-02-04,5.0,195.0,195.0,195.0,28825.0,5620875.0,195.0,0.0
2018-02-26,3.0,195.0,195.0,195.0,279500.0,54502500.0,195.0,0.0
2018-03-06,1.0,195.0,195.0,195.0,80000.0,15600000.0,195.0,0.0
2018-03-20,2.0,195.0,195.0,195.0,1000.0,195000.0,195.0,0.0
2018-03-29,1.0,0.0,0.0,0.0,100.0,20000.0,195.0,0.0
2018-04-04,1.0,195.0,195.0,195.0,13964.0,2722980.0,195.0,0.0
2018-04-18,10.0,0.0,0.0,0.0,2600.0,466300.0,195.0,0.0
2018-06-14,1.0,195.0,195.0,195.0,368.0,71760.0,195.0,0.0
2018-06-17,1.0,0.0,0.0,0.0,1000.0,176000.0,195.0,0.0
2018-07-15,1.0,195.0,195.0,195.0,24068.0,4693260.0,195.0,0.0
2018-07-17,1.0,0.0,0.0,0.0,100.0,19300.0,195.0,0.0
2018-07-24,1.0,0.0,0.0,0.0,600.0,102000.0,195.0,0.0
2018-07-25,1.0,195.0,195.0,195.0,6406.0,1249170.0,195.0,0.0
2018-07-30,5.0,192.0,192.0,192.0,24318.0,4669056.0,195.0,-3.0
2018-08-12,1.0,192.0,192.0,192.0,1840.0,353280.0,192.0,0.0
2018-08-19,1.0,192.0,192.0,192.0,16149.0,3100608.0,192.0,0.0
2018-10-02,1.0,192.0,192.0,192.0,2255.0,432960.0,192.0,0.0
2018-10-03,1.0,192.0,192.0,192.0,3202.0,614784.0,192.0,0.0
2018-12-12,3.0,130.0,130.0,130.0,4500.0,585000.0,130.0,0.0
2018-12-30,1.0,130.0,130.0,130.0,32000.0,4160000.0,130.0,0.0
2019-03-03,1.0,130.0,130.0,130.0,3202.0,416260.0,130.0,0.0
2019-05-05,1.0,130.0,130.0,130.0,16305.0,2119650.0,130.0,0.0
2019-05-20,2.0,130.0,130.0,130.0,24669.0,3206970.0,130.0,0.0
2019-06-04,1.0,130.0,130.0,130.0,5425.0,705250.0,130.0,0.0
2019-06-11,1.0,130.0,130.0,130.0,4658.0,605540.0,130.0,0.0
2019-06-12,1.0,130.0,130.0,130.0,17876.0,2323880.0,130.0,0.0
2019-06-19,1.0,130.0,130.0,130.0,16015.0,2081950.0,130.0,0.0
2019-07-03,1.0,130.0,130.0,130.0,6406.0,832780.0,130.0,0.0
2019-07-11,1.0,130.0,130.0,130.0,3203.0,416390.0,130.0,0.0
2019-07-25,2.0,130.0,130.0,130.0,100000.0,13000000.0,130.0,0.0
2019-08-04,1.0,126.0,126.0,126.0,100000.0,12600000.0,130.0,-4.0
