Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-11-21,6.0,215.0,198.0,198.0,217.0,44955.0,219.0,-21.0
2013-04-08,3.0,195.0,192.0,192.0,61.0,11796.0,198.0,-6.0
2013-11-28,1.0,186.0,186.0,186.0,28031.0,5213766.0,189.0,-3.0
2013-12-08,1.0,183.0,183.0,183.0,50.0,9150.0,186.0,-3.0
2014-01-26,2.0,180.0,177.0,177.0,489.0,87120.0,183.0,-6.0
2014-01-27,1.0,175.0,175.0,175.0,282.0,49350.0,177.0,-2.0
2014-02-11,1.0,172.0,172.0,172.0,45.0,7740.0,175.0,-3.0
2014-02-12,2.0,169.0,166.0,166.0,90.0,15075.0,172.0,-6.0
2014-02-13,1.0,163.0,163.0,163.0,113.0,18419.0,166.0,-3.0
2014-02-17,2.0,160.0,157.0,157.0,104.0,16370.0,163.0,-6.0
2014-02-24,1.0,154.0,154.0,154.0,327.0,50358.0,157.0,-3.0
2014-03-04,2.0,151.0,151.0,151.0,30.0,4530.0,154.0,-3.0
2014-03-09,1.0,148.0,148.0,148.0,117.0,17316.0,151.0,-3.0
2014-03-11,2.0,146.0,146.0,146.0,227.0,33142.0,148.0,-2.0
2014-03-13,3.0,144.0,144.0,144.0,119.0,17136.0,146.0,-2.0
2014-03-23,5.0,142.0,138.0,138.0,981.0,138256.0,144.0,-6.0
2014-03-24,2.0,136.0,135.0,135.0,323.0,43915.0,138.0,-3.0
2014-03-25,7.0,133.0,128.0,128.0,2124.0,278416.0,135.0,-7.0
2014-04-01,1.0,130.0,130.0,130.0,163.0,21190.0,128.0,2.0
2014-04-02,1.0,132.0,132.0,132.0,893.0,117876.0,130.0,2.0
2014-04-03,3.0,132.0,132.0,132.0,27731.0,3660492.0,132.0,0.0
2014-04-07,1.0,134.0,134.0,134.0,333.0,44622.0,132.0,2.0
2014-04-10,2.0,138.0,136.0,138.0,146.0,20128.0,134.0,4.0
2014-04-13,1.0,140.0,140.0,140.0,672.0,94080.0,138.0,2.0
2014-04-20,1.0,142.0,142.0,142.0,50.0,7100.0,140.0,2.0
2014-04-29,6.0,156.0,144.0,156.0,60.0,8970.0,142.0,14.0
2014-04-30,5.0,171.0,159.0,171.0,267.0,44055.0,156.0,15.0
2014-05-04,6.0,188.0,174.0,188.0,60.0,10880.0,171.0,17.0
2014-05-05,16.0,206.0,191.0,192.0,4031.0,829576.0,188.0,4.0
2014-05-06,25.0,211.0,186.0,186.0,8573.0,1707630.0,192.0,-6.0
2014-05-07,1.0,184.0,184.0,184.0,3402.0,625968.0,186.0,-2.0
2014-05-11,16.0,193.0,185.0,193.0,4910.0,927237.0,184.0,9.0
2014-05-12,4.0,206.0,196.0,206.0,450.0,91507.0,193.0,13.0
2014-05-13,7.0,209.0,198.0,198.0,1972.0,400054.0,206.0,-8.0
