Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-01-13,1.0,410.0,410.0,410.0,100.0,41000.0,171.0,239.0
2014-09-24,393.0,0.0,0.0,530.0,788840.0,421311864.6,100.0,0.0
2014-09-28,171.0,0.0,0.0,540.0,389468.0,207089611.6,100.0,0.0
2014-09-29,6.0,0.0,0.0,533.0,6220.0,3537960.0,100.0,0.0
2014-12-01,2.0,411.0,411.0,411.0,3718.0,1528098.0,418.0,-7.0
2014-12-07,1.0,419.0,419.0,419.0,50.0,20950.0,411.0,8.0
2014-12-10,6.0,430.0,423.0,423.0,1000.0,425500.0,419.0,4.0
2014-12-11,3.0,439.0,431.0,439.0,2200.0,957000.0,423.0,16.0
2014-12-14,3.0,432.0,432.0,432.0,400.0,172800.0,439.0,-7.0
2014-12-17,2.0,448.0,440.0,448.0,300.0,133600.0,432.0,16.0
2014-12-21,1.0,456.0,456.0,456.0,100.0,45600.0,448.0,8.0
2014-12-22,1.0,465.0,465.0,465.0,200.0,93000.0,456.0,9.0
2014-12-24,5.0,483.0,474.0,480.0,900.0,429500.0,465.0,15.0
2014-12-28,5.0,489.0,475.0,481.0,800.0,385100.0,480.0,1.0
2014-12-31,2.0,472.0,470.0,470.0,950.0,446900.0,481.0,-11.0
2015-01-04,5.0,475.0,470.0,475.0,2500.0,1185000.0,470.0,5.0
2015-01-06,8.0,499.0,478.0,490.0,2880.0,1395800.0,475.0,15.0
2015-01-07,1.0,481.0,481.0,481.0,800.0,384800.0,490.0,-9.0
2015-01-11,7.0,472.0,468.0,468.0,5200.0,2445000.0,481.0,-13.0
2015-01-12,3.0,462.0,460.0,460.0,3000.0,1382000.0,468.0,-8.0
2015-01-13,3.0,466.0,460.0,460.0,1800.0,829800.0,460.0,0.0
2015-01-14,1.0,468.0,468.0,468.0,500.0,234000.0,460.0,8.0
2015-01-19,9.0,504.0,477.0,490.0,2700.0,1321600.0,468.0,22.0
2015-01-25,213.0,495.0,495.0,401.0,2024231.0,820124080.1,490.0,5.0
2015-01-26,264.0,0.0,0.0,405.05,1602173.0,655439737.0,401.0,94.0
2015-01-27,8.0,505.0,481.0,504.0,7450.0,3708400.0,495.0,9.0
2015-01-28,124.0,505.0,500.0,406.0,137606.0,56631342.3,504.0,-4.0
2015-01-29,22.0,507.0,498.0,405.0,726816.0,295406395.0,500.0,7.0
2015-02-01,18.0,517.0,505.0,505.0,57179.0,23666379.0,507.0,-2.0
2015-02-02,204.0,510.0,500.0,402.0,324037.0,132607498.7,505.0,5.0
2015-02-03,24.0,515.0,505.0,505.0,52798.0,22035692.0,510.0,-5.0
2015-02-04,34.0,510.0,495.0,411.0,60242.0,27574892.0,505.0,-10.0
2015-02-08,5.0,500.0,491.0,491.0,1300.0,645400.0,495.0,-4.0
2015-02-09,10.0,490.0,480.0,485.0,4350.0,2095300.0,491.0,-6.0
2015-02-10,4.0,485.0,476.0,485.0,1800.0,867400.0,485.0,0.0
2015-02-11,2.0,490.0,485.0,490.0,2000.0,975000.0,485.0,5.0
2015-02-12,1.0,492.0,492.0,492.0,434.0,213528.0,490.0,2.0
2015-02-15,61.0,491.0,490.0,401.0,79205.0,33336475.3,492.0,-2.0
2015-02-16,13.0,491.0,490.0,491.0,4235.0,1810745.0,490.0,1.0
2015-02-18,34.0,498.0,492.0,411.0,32609.0,13638867.5,491.0,1.0
2015-02-22,13.0,502.0,492.0,492.0,16730.0,8281600.0,492.0,0.0
2015-02-23,17.0,490.0,485.0,485.0,6642.0,3235210.0,492.0,-7.0
2015-02-24,12.0,488.0,479.0,401.0,765878.0,307606178.0,485.0,-5.0
2015-02-25,3.0,480.0,480.0,480.0,1200.0,576000.0,480.0,0.0
2015-02-26,4.0,480.0,479.0,480.0,1700.0,815500.0,480.0,0.0
2015-03-01,3.0,485.0,482.0,482.0,600.0,290200.0,480.0,2.0
2015-03-02,9.0,499.0,480.0,490.0,6854.0,3351382.0,482.0,8.0
2015-03-03,26.0,492.0,485.0,490.0,25459.0,10958256.4,490.0,0.0
2015-03-04,2.0,495.0,491.0,491.0,894.0,440954.0,490.0,1.0
2015-03-09,15.0,498.0,495.0,495.0,7037.0,3488215.0,491.0,4.0
2015-03-10,2.0,495.0,490.0,490.0,11000.0,5395000.0,495.0,-5.0
2015-03-11,1.0,494.0,494.0,494.0,500.0,247000.0,490.0,4.0
2015-03-12,5.0,496.0,490.0,490.0,8100.0,3989200.0,494.0,-4.0
2015-03-15,2.0,489.0,489.0,489.0,500.0,244500.0,490.0,-1.0
2015-03-16,4.0,490.0,487.0,487.0,5200.0,2536000.0,489.0,-2.0
2015-03-17,7.0,492.0,487.0,492.0,5383.0,2634550.0,487.0,5.0
2015-03-18,7.0,492.0,490.0,490.0,2140.0,1050040.0,492.0,-2.0
2015-03-19,10.0,492.0,487.0,492.0,6743.0,3307370.0,490.0,2.0
2015-03-22,8.0,494.0,490.0,490.0,8600.0,4222000.0,492.0,-2.0
2015-03-23,16.0,492.0,490.0,490.0,16225.0,7957400.0,490.0,0.0
2015-03-24,18.0,494.0,490.0,490.0,11363.0,5574970.0,490.0,0.0
2015-03-25,17.0,492.0,488.0,491.0,12894.0,6317660.0,490.0,1.0
