Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-01-05,1.0,1725.0,1725.0,1725.0,1875.0,3234375.0,0.0,1725.0
2014-01-16,2.0,1691.0,1658.0,1658.0,5000.0,8356000.0,1725.0,-67.0
2014-03-05,3.0,1625.0,1562.0,1562.0,10000.0,15870000.0,1658.0,-96.0
2014-03-06,2.0,1593.0,1562.0,1593.0,27850.0,43811700.0,1562.0,31.0
2014-03-11,1.0,1624.0,1624.0,1624.0,5000.0,8120000.0,1593.0,31.0
2014-04-30,17.0,1626.0,1564.0,1626.0,37775.0,59920975.0,1624.0,2.0
2014-06-24,2.0,1626.0,1626.0,1626.0,10020.0,16292520.0,1626.0,0.0
2014-08-14,2.0,1626.0,1626.0,1626.0,2550.0,4146300.0,1626.0,0.0
2014-08-18,2.0,1626.0,1626.0,1626.0,13900.0,22601400.0,1626.0,0.0
2014-08-19,7.0,1691.0,1626.0,1691.0,19380.0,32134080.0,1626.0,65.0
2014-09-21,1.0,1700.0,1700.0,1700.0,1785.0,3034500.0,1691.0,9.0
2014-11-23,1.0,1666.0,1666.0,1666.0,1000.0,1666000.0,1700.0,-34.0
2014-12-28,3.0,1670.0,1650.0,1650.0,36675.0,61047250.0,1666.0,-16.0
2015-02-05,1.0,1650.0,1650.0,1650.0,4340.0,7161000.0,1650.0,0.0
2015-03-04,1.0,1683.0,1683.0,1683.0,1000.0,1683000.0,1650.0,33.0
2015-03-12,1.0,1716.0,1716.0,1716.0,1000.0,1716000.0,1683.0,33.0
2015-03-19,5.0,1750.0,1716.0,1750.0,7000.0,12046000.0,1716.0,34.0
2015-03-23,5.0,1925.0,1785.0,1925.0,5350.0,9579750.0,1750.0,175.0
2015-03-24,5.0,2117.0,1963.0,2117.0,500.0,1020600.0,1925.0,192.0
2015-03-25,9.0,2328.0,2075.0,2328.0,5035.0,11035275.0,2117.0,211.0
2015-03-26,2.0,2420.0,2374.0,2420.0,7500.0,17943000.0,2328.0,92.0
2015-04-21,1.0,2468.0,2468.0,2468.0,4200.0,10365600.0,2420.0,48.0
2015-05-24,11.0,2475.0,2222.0,2222.0,15921.0,36393962.0,2468.0,-246.0
2015-06-29,2.0,2222.0,2222.0,2222.0,3850.0,8554700.0,2222.0,0.0
2015-07-07,1.0,2200.0,2200.0,2200.0,2000.0,4400000.0,2222.0,-22.0
2015-08-04,5.0,2156.0,1990.0,1990.0,2500.0,5180000.0,2200.0,-210.0
2015-08-05,5.0,1951.0,1801.0,1801.0,2500.0,4687500.0,1990.0,-189.0
2015-09-02,3.0,1765.0,1765.0,1765.0,30000.0,52950000.0,1801.0,-36.0
2015-09-03,3.0,1765.0,1765.0,1765.0,20000.0,35300000.0,1765.0,0.0
2015-09-09,2.0,1765.0,1765.0,1765.0,6000.0,10590000.0,1765.0,0.0
2015-10-01,1.0,1765.0,1765.0,1765.0,3000.0,5295000.0,1765.0,0.0
2015-10-18,2.0,1730.0,1730.0,1730.0,2500.0,4325000.0,1765.0,-35.0
2015-11-15,6.0,1800.0,1764.0,1800.0,13000.0,23396300.0,1730.0,70.0
2015-11-30,3.0,1800.0,1800.0,1800.0,5000.0,9000000.0,1800.0,0.0
2015-12-07,1.0,1836.0,1836.0,1836.0,2000.0,3672000.0,1800.0,36.0
2015-12-16,2.0,1800.0,1800.0,1800.0,9000.0,16200000.0,1836.0,-36.0
2015-12-28,2.0,1800.0,1800.0,1800.0,2000.0,3600000.0,1800.0,0.0
2015-12-31,2.0,1825.0,1825.0,1825.0,2000.0,3650000.0,1800.0,25.0
2016-02-17,1.0,1800.0,1800.0,1800.0,5000.0,9000000.0,1825.0,-25.0
2016-02-29,3.0,1825.0,1800.0,1825.0,15000.0,27250000.0,1800.0,25.0
2016-03-16,1.0,1800.0,1800.0,1800.0,10000.0,18000000.0,1825.0,-25.0
2016-03-24,2.0,1800.0,1800.0,1800.0,5000.0,9000000.0,1800.0,0.0
2016-03-27,2.0,1775.0,1775.0,1775.0,5000.0,8875000.0,1800.0,-25.0
2016-04-27,3.0,1850.0,1810.0,1850.0,13000.0,24045600.0,1775.0,75.0
2016-07-03,5.0,2035.0,1887.0,2035.0,500.0,980900.0,1850.0,185.0
2016-07-04,4.0,2200.0,2075.0,2200.0,9500.0,20874900.0,2035.0,165.0
2016-07-10,3.0,2200.0,2200.0,2200.0,1000.0,2200000.0,2200.0,0.0
2016-08-01,3.0,2157.0,2157.0,2157.0,9000.0,19413000.0,2200.0,-43.0
2016-08-04,3.0,2114.0,2050.0,2050.0,13872.0,28480600.0,2157.0,-107.0
2016-09-07,3.0,2009.0,1930.0,1930.0,1500.0,2954000.0,2050.0,-120.0
2016-09-08,4.0,1892.0,1850.0,1850.0,13500.0,24998500.0,1930.0,-80.0
2016-09-21,2.0,1813.0,1800.0,1800.0,13000.0,23406500.0,1850.0,-50.0
2016-09-22,1.0,1800.0,1800.0,1800.0,100.0,180000.0,1800.0,0.0
2016-10-27,1.0,1836.0,1836.0,1836.0,5000.0,9180000.0,1800.0,36.0
2016-11-08,1.0,1800.0,1800.0,1800.0,3250.0,5850000.0,1836.0,-36.0
2016-12-18,1.0,1764.0,1764.0,1764.0,17340.0,30587760.0,1800.0,-36.0
2017-02-19,2.0,1729.0,1695.0,1695.0,3750.0,6415750.0,1764.0,-69.0
2017-03-05,1.0,1662.0,1662.0,1662.0,4340.0,7213080.0,1695.0,-33.0
2017-03-07,1.0,1629.0,1629.0,1629.0,4000.0,6516000.0,1662.0,-33.0
2017-03-09,1.0,1597.0,1597.0,1597.0,24083.0,38460551.0,1629.0,-32.0
2017-04-06,1.0,1597.0,1597.0,1597.0,1094.0,1747118.0,1597.0,0.0
2017-04-25,1.0,1566.0,1566.0,1566.0,2000.0,3132000.0,1597.0,-31.0
2017-05-15,4.0,1535.0,1446.0,1446.0,4000.0,5961000.0,1566.0,-120.0
2017-06-01,1.0,1418.0,1418.0,1418.0,500.0,709000.0,1446.0,-28.0
2017-06-08,1.0,1390.0,1390.0,1390.0,100.0,139000.0,1418.0,-28.0
2017-06-27,1.0,1390.0,1390.0,1390.0,4000.0,5560000.0,1390.0,0.0
2017-06-28,1.0,1390.0,1390.0,1390.0,3500.0,4865000.0,1390.0,0.0
2017-07-02,1.0,1390.0,1390.0,1390.0,3750.0,5212500.0,1390.0,0.0
2017-07-09,1.0,1363.0,1363.0,1363.0,7812.0,10647756.0,1390.0,-27.0
2017-07-11,1.0,1340.0,1340.0,1340.0,5000.0,6700000.0,1363.0,-23.0
2017-07-26,1.0,1314.0,1314.0,1314.0,10000.0,13140000.0,1340.0,-26.0
2017-08-09,2.0,1288.0,1263.0,1263.0,10000.0,12755000.0,1314.0,-51.0
2017-08-15,5.0,1238.0,1150.0,1150.0,17000.0,19570900.0,1263.0,-113.0
2017-08-31,2.0,1150.0,1150.0,1150.0,15000.0,17250000.0,1150.0,0.0
2017-09-17,9.0,1150.0,1100.0,1100.0,162000.0,178542000.0,1150.0,-50.0
2017-09-18,2.0,1100.0,1100.0,1100.0,500.0,550000.0,1100.0,0.0
2017-09-20,1.0,1100.0,1100.0,1100.0,100000.0,110000000.0,1100.0,0.0
2017-09-24,2.0,1100.0,1100.0,1100.0,3000.0,3300000.0,1100.0,0.0
2017-11-05,2.0,1080.0,1080.0,1080.0,6400.0,6912000.0,1100.0,-20.0
2017-11-19,1.0,1059.0,1059.0,1059.0,5000.0,5295000.0,1080.0,-21.0
2017-12-06,1.0,1050.0,1050.0,1050.0,3000.0,3150000.0,1059.0,-9.0
2017-12-27,8.0,1100.0,1071.0,1100.0,100000.0,109998150.0,1050.0,50.0
2018-01-21,1.0,1100.0,1100.0,1100.0,3612.0,3973200.0,1100.0,0.0
2018-02-11,1.0,1100.0,1100.0,1100.0,5000.0,5500000.0,1100.0,0.0
2018-02-14,1.0,1100.0,1100.0,1100.0,50000.0,55000000.0,1100.0,0.0
2018-02-20,2.0,1100.0,1100.0,1100.0,51875.0,57062500.0,1100.0,0.0
2018-02-22,1.0,1100.0,1100.0,1100.0,50000.0,55000000.0,1100.0,0.0
2018-02-27,1.0,1100.0,1100.0,1100.0,50000.0,55000000.0,1100.0,0.0
2018-02-28,2.0,1100.0,1100.0,1100.0,31675.0,34842500.0,1100.0,0.0
2018-03-11,1.0,1078.0,1078.0,1078.0,1000.0,1078000.0,1100.0,-22.0
2018-04-12,6.0,1057.0,971.0,971.0,1500.0,1479200.0,1078.0,-107.0
2018-04-15,6.0,952.0,874.0,874.0,1500.0,1331700.0,971.0,-97.0
2018-04-16,6.0,857.0,787.0,787.0,1500.0,1199100.0,874.0,-87.0
2018-04-26,1.0,787.0,787.0,787.0,22593.0,17780691.0,787.0,0.0
2018-06-04,2.0,772.0,757.0,757.0,6000.0,4587000.0,787.0,-30.0
2018-06-18,1.0,757.0,757.0,757.0,10000.0,7570000.0,757.0,0.0
2018-06-19,1.0,757.0,757.0,757.0,4000.0,3028000.0,757.0,0.0
2018-11-14,1.0,757.0,532.0,532.0,2400.0,1276800.0,757.0,-225.0
2018-11-18,2.0,532.0,532.0,532.0,4150.0,2207800.0,532.0,0.0
2019-01-03,1.0,532.0,532.0,532.0,23810.0,12666920.0,532.0,0.0
2019-01-10,1.0,532.0,532.0,532.0,3297.0,1754004.0,532.0,0.0
2019-01-22,1.0,532.0,532.0,532.0,15000.0,7980000.0,532.0,0.0
2019-04-30,2.0,693.0,693.0,693.0,24024.0,16648632.0,693.0,0.0
2019-07-01,1.0,504.0,504.0,504.0,25000.0,12600000.0,495.0,9.0
2019-07-07,3.0,526.0,514.0,526.0,20000.0,10400000.0,504.0,22.0
2019-07-15,1.0,526.0,526.0,526.0,48343.0,25428418.0,526.0,0.0
2019-07-16,1.0,530.0,530.0,530.0,65000.0,34450000.0,526.0,4.0
2019-08-01,3.0,530.0,530.0,530.0,32500.0,17225000.0,530.0,0.0
2019-08-07,2.0,524.0,524.0,524.0,12500.0,6550000.0,530.0,-6.0
2019-09-01,1.0,515.0,515.0,515.0,20000.0,10300000.0,524.0,-9.0
