Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,1.0,127.0,127.0,127.0,10.0,1270.0,127.0,0.0
2012-06-05,4.0,125.0,125.0,125.0,80.0,10000.0,127.0,-2.0
2012-06-06,9.0,123.0,121.0,121.0,200.0,24380.0,125.0,-4.0
2012-06-07,2.0,121.0,121.0,121.0,60.0,7260.0,121.0,0.0
2012-06-11,9.0,123.0,121.0,121.0,170.0,20810.0,121.0,0.0
2012-06-12,1.0,122.0,122.0,122.0,30.0,3660.0,121.0,1.0
2012-06-13,6.0,122.0,121.0,122.0,60.0,7310.0,122.0,0.0
2012-06-14,12.0,124.0,121.0,121.0,260.0,31960.0,122.0,-1.0
2012-06-17,5.0,120.0,119.0,120.0,110.0,13150.0,121.0,-1.0
2012-06-18,8.0,118.0,116.0,116.0,140.0,16460.0,120.0,-4.0
2012-06-19,9.0,118.0,118.0,118.0,90.0,10620.0,116.0,2.0
2012-06-20,1.0,118.0,118.0,118.0,10.0,1180.0,118.0,0.0
2012-06-21,7.0,119.0,118.0,119.0,90.0,10680.0,118.0,1.0
2012-06-26,3.0,123.0,121.0,123.0,120.0,14600.0,119.0,4.0
2012-06-27,1.0,121.0,121.0,121.0,30.0,3630.0,123.0,-2.0
2012-06-28,2.0,121.0,119.0,121.0,40.0,4780.0,121.0,0.0
2012-07-01,6.0,119.0,119.0,119.0,60.0,7140.0,121.0,-2.0
2012-07-04,1.0,118.0,118.0,118.0,20.0,2360.0,119.0,-1.0
2012-07-05,1.0,120.0,120.0,120.0,10.0,1200.0,118.0,2.0
2012-07-09,1.0,122.0,122.0,122.0,10.0,1220.0,120.0,2.0
2012-07-10,3.0,121.0,120.0,121.0,50.0,6020.0,122.0,-1.0
2012-07-11,6.0,123.0,122.0,123.0,70.0,8560.0,121.0,2.0
2012-07-12,3.0,121.0,121.0,121.0,60.0,7260.0,123.0,-2.0
2012-07-16,1.0,119.0,119.0,119.0,30.0,3570.0,121.0,-2.0
2012-07-18,2.0,118.0,118.0,118.0,80.0,9440.0,119.0,-1.0
2012-07-22,2.0,122.0,120.0,122.0,50.0,6080.0,118.0,4.0
2012-07-24,2.0,123.0,123.0,123.0,20.0,2460.0,122.0,1.0
2012-07-25,4.0,129.0,125.0,129.0,90.0,11450.0,123.0,6.0
2012-07-26,4.0,137.0,131.0,137.0,70.0,9350.0,129.0,8.0
2012-07-29,5.0,135.0,132.0,132.0,120.0,16100.0,137.0,-5.0
2012-07-30,12.0,135.0,130.0,135.0,340.0,45070.0,132.0,3.0
2012-07-31,5.0,133.0,129.0,129.0,50.0,6550.0,135.0,-6.0
2012-08-01,1.0,127.0,127.0,127.0,100.0,12700.0,129.0,-2.0
2012-08-05,4.0,127.0,125.0,126.0,90.0,11280.0,127.0,-1.0
2012-08-06,4.0,132.0,128.0,132.0,90.0,11600.0,126.0,6.0
2012-08-07,3.0,134.0,132.0,132.0,70.0,9300.0,132.0,0.0
2012-08-08,1.0,131.0,131.0,131.0,30.0,3930.0,132.0,-1.0
2012-08-12,3.0,130.0,129.0,130.0,100.0,12960.0,131.0,-1.0
2012-08-13,3.0,131.0,129.0,131.0,50.0,6470.0,130.0,1.0
2012-08-15,2.0,133.0,133.0,133.0,20.0,2660.0,131.0,2.0
2012-08-21,1.0,131.0,131.0,131.0,10.0,1310.0,133.0,-2.0
2012-08-23,9.0,137.0,129.0,133.0,380.0,50600.0,131.0,2.0
2012-08-26,4.0,134.0,133.0,134.0,40.0,5330.0,133.0,1.0
2012-08-27,9.0,142.0,136.0,142.0,270.0,37780.0,134.0,8.0
2012-08-28,5.0,143.0,139.0,139.0,230.0,32700.0,142.0,-3.0
2012-08-29,5.0,141.0,137.0,141.0,120.0,16580.0,139.0,2.0
2012-08-30,3.0,140.0,139.0,140.0,30.0,4190.0,141.0,-1.0
2012-09-02,7.0,141.0,140.0,141.0,70.0,9850.0,140.0,1.0
