Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,2.0,92.0,92.0,92.0,890.0,81880.0,93.0,-1.0
2012-06-04,11.0,92.0,90.0,92.0,1380.0,125090.0,92.0,0.0
2012-06-05,9.0,93.0,92.0,92.0,730.0,67570.0,92.0,0.0
2012-06-06,9.0,94.0,92.0,93.0,1060.0,99130.0,92.0,1.0
2012-06-07,8.0,94.0,93.0,93.0,1610.0,150430.0,93.0,0.0
2012-06-10,15.0,94.0,92.0,93.0,3160.0,295830.0,93.0,0.0
2012-06-11,3.0,93.0,92.0,93.0,100.0,9280.0,93.0,0.0
2012-06-12,6.0,94.0,93.0,93.0,1140.0,107090.0,93.0,0.0
2012-06-13,6.0,93.0,92.0,93.0,340.0,31480.0,93.0,0.0
2012-06-14,12.0,93.0,93.0,93.0,760.0,70680.0,93.0,0.0
2012-06-17,4.0,94.0,93.0,93.0,1080.0,101450.0,93.0,0.0
2012-06-18,3.0,92.0,92.0,92.0,490.0,45080.0,93.0,-1.0
2012-06-19,2.0,92.0,92.0,92.0,80.0,7360.0,92.0,0.0
2012-06-21,2.0,91.0,91.0,91.0,80.0,7280.0,92.0,-1.0
2012-06-26,2.0,90.0,89.0,89.0,760.0,68230.0,91.0,-2.0
2012-06-27,1.0,90.0,90.0,90.0,150.0,13500.0,89.0,1.0
2012-06-28,1.0,89.0,89.0,89.0,70.0,6230.0,90.0,-1.0
2012-07-01,2.0,88.0,88.0,88.0,140.0,12320.0,89.0,-1.0
2012-07-04,1.0,87.0,87.0,87.0,1180.0,102660.0,88.0,-1.0
2012-07-05,2.0,86.0,86.0,86.0,80.0,6880.0,87.0,-1.0
2012-07-08,6.0,85.0,84.0,84.0,720.0,61160.0,86.0,-2.0
2012-07-09,2.0,83.0,83.0,83.0,40.0,3320.0,84.0,-1.0
2012-07-11,8.0,82.0,80.0,80.0,790.0,63690.0,83.0,-3.0
2012-07-12,7.0,79.0,79.0,79.0,680.0,53720.0,80.0,-1.0
2012-07-17,3.0,80.0,80.0,80.0,130.0,10400.0,79.0,1.0
2012-07-18,5.0,80.0,80.0,80.0,60.0,4800.0,80.0,0.0
2012-07-22,4.0,80.0,80.0,80.0,90.0,7200.0,80.0,0.0
2012-07-24,2.0,80.0,79.0,80.0,410.0,32430.0,80.0,0.0
2012-07-30,1.0,79.0,79.0,79.0,40.0,3160.0,80.0,-1.0
2012-08-01,3.0,79.0,78.0,78.0,260.0,20350.0,79.0,-1.0
2012-08-05,2.0,77.0,77.0,77.0,90.0,6930.0,78.0,-1.0
2012-08-07,1.0,76.0,76.0,76.0,10.0,760.0,77.0,-1.0
2012-08-08,1.0,77.0,77.0,77.0,70.0,5390.0,76.0,1.0
2012-08-12,3.0,76.0,76.0,76.0,30.0,2280.0,77.0,-1.0
2012-08-13,11.0,76.0,76.0,76.0,240.0,18240.0,76.0,0.0
2012-08-14,1.0,77.0,77.0,77.0,40.0,3080.0,76.0,1.0
2012-08-15,3.0,78.0,78.0,78.0,60.0,4680.0,77.0,1.0
2012-08-22,2.0,77.0,77.0,77.0,140.0,10780.0,78.0,-1.0
2012-08-23,3.0,78.0,77.0,78.0,1240.0,96660.0,77.0,1.0
2012-08-26,1.0,79.0,79.0,79.0,10.0,790.0,78.0,1.0
2012-08-27,3.0,80.0,79.0,80.0,170.0,13590.0,79.0,1.0
2012-08-28,4.0,81.0,80.0,81.0,550.0,44540.0,80.0,1.0
