Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-03,6.0,130.0,130.0,130.0,60720.0,7893600.0,0.0,130.0
2014-03-11,2.0,130.0,130.0,130.0,30536.0,3969680.0,130.0,0.0
2014-03-26,1.0,130.0,130.0,130.0,3070.0,399100.0,130.0,0.0
2014-04-27,3.0,130.0,130.0,130.0,34846.0,4529980.0,130.0,0.0
2014-06-17,2.0,132.0,132.0,0.0,22335.0,2948220.0,130.0,2.0
2014-09-29,1.0,132.0,132.0,132.0,15355.0,2026860.0,132.0,0.0
2015-06-16,1.0,170.0,170.0,170.0,10000.0,1700000.0,170.0,0.0
2015-06-21,3.0,170.0,170.0,170.0,30558.0,5194860.0,170.0,0.0
2015-06-22,2.0,170.0,170.0,170.0,44332.0,7536440.0,170.0,0.0
2015-06-23,1.0,170.0,170.0,170.0,13267.0,2255390.0,170.0,0.0
2017-08-24,1.0,235.0,235.0,235.0,23403.0,5499705.0,235.0,0.0
2017-09-11,1.0,239.0,239.0,239.0,30000.0,7170000.0,235.0,4.0
2017-09-12,1.0,239.0,239.0,239.0,6649.0,1589111.0,239.0,0.0
2017-10-15,1.0,240.0,240.0,240.0,45329.0,10878960.0,239.0,1.0
2017-10-25,1.0,240.0,240.0,240.0,50397.0,12095280.0,240.0,0.0
2017-12-19,3.0,240.0,240.0,240.0,75000.0,18000000.0,240.0,0.0
2018-02-11,1.0,240.0,240.0,240.0,72750.0,17460000.0,240.0,0.0
2018-02-20,1.0,240.0,240.0,240.0,89634.0,21512160.0,240.0,0.0
2018-08-12,2.0,114.0,112.0,114.0,6800.0,773600.0,112.0,2.0
2018-08-19,1.0,114.0,114.0,114.0,45704.0,5210256.0,114.0,0.0
