Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-11-10,10.0,1026.0,1000.0,1026.0,195.0,199625.0,0.0,1026.0
2020-11-11,6.0,1025.0,1006.0,1025.0,175.0,177450.0,1026.0,-1.0
2020-11-12,8.0,1030.0,1020.0,1026.0,400.0,409475.0,1025.0,1.0
2020-11-18,10.0,1050.0,1029.0,1050.0,395.0,412120.0,1026.0,24.0
2020-11-19,5.0,1030.0,1026.0,1026.0,175.0,179925.0,1050.0,-24.0
2020-11-22,4.0,1046.0,1025.0,1046.0,125.0,129700.0,1026.0,20.0
2020-11-23,5.0,1046.0,1031.0,1031.0,170.0,176545.0,1046.0,-15.0
2020-11-24,2.0,1034.0,1031.0,1034.0,625.0,646175.0,1031.0,3.0
2020-11-25,3.0,1036.0,1034.0,1036.0,170.0,175870.0,1034.0,2.0
2020-11-26,7.0,1040.0,1022.0,1040.0,320.0,329900.0,1036.0,4.0
2020-11-29,2.0,1030.0,1020.0,1030.0,20.0,20500.0,1040.0,-10.0
2020-11-30,5.0,1026.0,1025.0,1026.0,145.0,148660.0,1030.0,-4.0
2020-12-01,1.0,1020.0,1020.0,1020.0,25.0,25500.0,1026.0,-6.0
2020-12-02,4.0,1025.0,1015.0,1025.0,160.0,163525.0,1020.0,5.0
2020-12-03,1.0,1025.0,1025.0,1025.0,15.0,15375.0,1025.0,0.0
2020-12-06,6.0,1035.0,1025.0,1035.0,370.0,380750.0,1025.0,10.0
2020-12-07,2.0,1035.0,1023.0,1035.0,55.0,56625.0,1035.0,0.0
2020-12-08,2.0,1035.0,1035.0,1035.0,75.0,77625.0,1035.0,0.0
2020-12-09,4.0,1038.0,1035.0,1035.0,93.0,96364.0,1035.0,0.0
2020-12-10,5.0,1040.0,1030.0,1031.0,196.0,203109.0,1035.0,-4.0
2020-12-13,1.0,1031.0,1031.0,1031.0,25.0,25775.0,1031.0,0.0
2020-12-14,4.0,1031.0,1018.0,1031.0,120.0,123200.0,1031.0,0.0
2020-12-15,2.0,1031.0,1030.0,1030.0,553.0,569643.0,1031.0,-1.0
2020-12-16,1.0,1030.0,1030.0,1030.0,28.0,28840.0,1030.0,0.0
2020-12-20,2.0,1045.0,1029.0,1045.0,50.0,51850.0,1030.0,15.0
2020-12-21,1.0,1040.0,1040.0,1040.0,150.0,156000.0,1045.0,-5.0
2020-12-22,4.0,1050.0,1040.0,1041.0,121.0,126125.0,1040.0,1.0
2020-12-23,3.0,1040.0,1040.0,1040.0,100.0,104000.0,1041.0,-1.0
2020-12-24,6.0,1058.0,1040.0,1058.0,230.0,240550.0,1040.0,18.0
2020-12-27,4.0,1070.0,1050.0,1050.0,478.0,502710.0,1058.0,-8.0
2020-12-28,4.0,1070.0,1050.0,1070.0,1025.0,1091250.0,1050.0,20.0
2020-12-30,3.0,1060.0,1060.0,1060.0,500.0,530000.0,1070.0,-10.0
2020-12-31,5.0,1056.0,1051.0,1051.0,575.0,606735.0,1060.0,-9.0
2021-01-03,2.0,1050.0,1036.0,1050.0,75.0,78050.0,1051.0,-1.0
2021-01-05,4.0,1055.0,1050.0,1055.0,125.0,131500.0,1050.0,5.0
2021-01-06,2.0,1055.0,1055.0,1055.0,55.0,58025.0,1055.0,0.0
2021-01-07,2.0,1060.0,1057.0,1057.0,100.0,105850.0,1055.0,2.0
2021-01-10,3.0,1054.0,1053.0,1054.0,100.0,105350.0,1057.0,-3.0
2021-01-11,3.0,1070.0,1070.0,1070.0,125.0,133750.0,1054.0,16.0
2021-01-13,3.0,1065.0,1049.0,1049.0,215.0,228735.0,1070.0,-21.0
2021-01-17,5.0,1045.0,1040.0,1040.0,210.0,218875.0,1049.0,-9.0
2021-01-19,4.0,1031.0,1030.0,1030.0,250.0,257700.0,1040.0,-10.0
2021-01-20,2.0,1035.0,1035.0,1035.0,175.0,181125.0,1030.0,5.0
2021-01-21,1.0,1035.0,1035.0,1035.0,25.0,25875.0,1035.0,0.0
2021-01-24,2.0,1050.0,1050.0,1050.0,75.0,78750.0,1035.0,15.0
2021-01-25,4.0,1050.0,1045.0,1050.0,405.0,423475.0,1050.0,0.0
2021-01-26,2.0,1040.0,1040.0,1040.0,55.0,57200.0,1050.0,-10.0
2021-01-27,4.0,1055.0,1040.0,1055.0,175.0,184000.0,1040.0,15.0
2021-01-28,9.0,1067.0,1050.0,1067.0,2200.0,2344580.0,1055.0,12.0
2021-01-31,2.0,1060.0,1060.0,1060.0,52.0,55120.0,1067.0,-7.0
2021-02-01,2.0,1060.0,1050.0,1060.0,225.0,238250.0,1060.0,0.0
2021-02-02,4.0,1060.0,1060.0,1060.0,330.0,349800.0,1060.0,0.0
2021-02-03,4.0,1060.0,1060.0,1060.0,175.0,185500.0,1060.0,0.0
2021-02-04,2.0,1050.0,1050.0,1050.0,530.0,556500.0,1060.0,-10.0
2021-02-07,5.0,1046.0,1045.0,1045.0,695.0,726300.0,1050.0,-5.0
2021-02-08,2.0,1045.0,1045.0,1045.0,50.0,52250.0,1045.0,0.0
2021-02-09,6.0,1065.0,1065.0,1060.0,725.0,770250.0,1045.0,15.0
2021-02-11,5.0,1050.0,1045.0,1045.0,300.0,313750.0,1060.0,-15.0
2021-02-15,3.0,1050.0,1031.0,1050.0,90.0,93945.0,1045.0,5.0
2021-02-16,6.0,1050.0,1040.0,1050.0,150.0,156260.0,1050.0,0.0
2021-02-17,8.0,1065.0,1041.0,1065.0,780.0,819210.0,1050.0,15.0
2021-02-21,5.0,1065.0,1050.0,1065.0,175.0,184675.0,1065.0,0.0
2021-02-22,6.0,1065.0,1045.0,1065.0,240.0,254660.0,1065.0,0.0
2021-02-23,4.0,1060.0,1045.0,1060.0,225.0,235275.0,1065.0,-5.0
2021-02-24,2.0,1060.0,1040.0,1060.0,80.0,84200.0,1060.0,0.0
2021-02-25,3.0,1055.0,1050.0,1055.0,70.0,73725.0,1060.0,-5.0
2021-02-28,5.0,1065.0,1040.0,1065.0,190.0,201350.0,1055.0,10.0
2021-03-01,2.0,1065.0,1046.0,1065.0,50.0,52775.0,1065.0,0.0
2021-03-02,4.0,1056.0,1040.0,1040.0,515.0,541900.0,1065.0,-25.0
2021-03-03,2.0,1041.0,1040.0,1040.0,200.0,208100.0,1040.0,0.0
2021-03-04,2.0,1045.0,1045.0,1045.0,22608.0,23625360.0,1040.0,5.0
2021-03-09,1.0,1046.0,1046.0,1046.0,25.0,26150.0,1045.0,1.0
2021-03-10,3.0,1060.0,1050.0,1050.0,125.0,131750.0,1046.0,4.0
2021-03-14,3.0,1045.0,1045.0,1045.0,100.0,104500.0,1050.0,-5.0
2021-03-15,4.0,1046.0,1045.0,1045.0,275.0,287575.0,1045.0,0.0
2021-03-16,2.0,1050.0,1045.0,1050.0,50.0,52375.0,1045.0,5.0
2021-03-17,2.0,1046.0,1045.0,1045.0,75.0,78425.0,1050.0,-5.0
2021-03-18,6.0,1067.0,1046.0,1067.0,116.0,122482.0,1045.0,22.0
2021-03-21,6.0,1100.0,1088.0,1100.0,249.0,272832.0,1067.0,33.0
2021-03-22,2.0,1089.0,1089.0,1089.0,171.0,186219.0,1100.0,-11.0
