Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-10,2.0,140.0,140.0,140.0,136.0,19040.0,139.0,1.0
2012-06-14,1.0,138.0,138.0,138.0,624.0,86112.0,140.0,-2.0
2012-08-21,2.0,138.0,138.0,138.0,68.0,9384.0,138.0,0.0
2012-08-22,1.0,137.0,137.0,137.0,34.0,4658.0,138.0,-1.0
2012-08-23,1.0,139.0,139.0,139.0,100.0,13900.0,137.0,2.0
2012-08-26,1.0,138.0,138.0,138.0,40.0,5520.0,139.0,-1.0
2012-08-27,4.0,138.0,138.0,138.0,238.0,32844.0,138.0,0.0
2012-08-28,4.0,144.0,140.0,144.0,209.0,29518.0,138.0,6.0
2012-08-29,2.0,144.0,142.0,144.0,3532.0,502224.0,144.0,0.0
2012-08-30,6.0,144.0,142.0,144.0,2740.0,389290.0,144.0,0.0
2012-09-02,1.0,142.0,142.0,142.0,68.0,9656.0,144.0,-2.0
2012-09-03,4.0,143.0,140.0,143.0,847.0,118924.0,142.0,1.0
2012-09-04,1.0,145.0,145.0,145.0,34.0,4930.0,143.0,2.0
2012-09-09,2.0,143.0,142.0,142.0,68.0,9690.0,145.0,-3.0
2012-09-10,2.0,146.0,144.0,146.0,50.0,7240.0,142.0,4.0
2012-09-11,1.0,144.0,144.0,144.0,68.0,9792.0,146.0,-2.0
2012-09-12,5.0,145.0,143.0,143.0,268.0,38542.0,144.0,-1.0
2012-09-13,3.0,145.0,143.0,143.0,16309.0,2332255.0,143.0,0.0
2012-09-25,3.0,145.0,144.0,145.0,189.0,27316.0,143.0,2.0
2012-09-27,3.0,147.0,145.0,145.0,168.0,24462.0,145.0,0.0
2012-10-01,2.0,147.0,147.0,147.0,58.0,8526.0,145.0,2.0
2012-10-02,1.0,149.0,149.0,149.0,68.0,10132.0,147.0,2.0
2012-10-04,1.0,149.0,149.0,149.0,34.0,5066.0,149.0,0.0
2012-10-11,1.0,147.0,147.0,147.0,68.0,9996.0,149.0,-2.0
2012-10-14,1.0,149.0,149.0,149.0,34.0,5066.0,147.0,2.0
2012-10-15,11.0,163.0,151.0,163.0,1316.0,212292.0,149.0,14.0
2012-10-17,2.0,163.0,163.0,163.0,200.0,32600.0,163.0,0.0
2012-11-05,2.0,163.0,160.0,163.0,134.0,21542.0,163.0,0.0
2012-11-06,6.0,172.0,166.0,170.0,186.0,31544.0,163.0,7.0
2012-11-07,1.0,167.0,167.0,167.0,42.0,7014.0,170.0,-3.0
2012-11-22,1.0,170.0,170.0,170.0,34.0,5780.0,167.0,3.0
2012-11-26,1.0,173.0,173.0,173.0,68.0,11764.0,170.0,3.0
2012-11-28,1.0,170.0,170.0,170.0,5000.0,850000.0,173.0,-3.0
2012-12-06,1.0,167.0,167.0,167.0,5000.0,835000.0,170.0,-3.0
2012-12-09,1.0,167.0,167.0,167.0,5000.0,835000.0,167.0,0.0
2012-12-13,1.0,164.0,164.0,164.0,4000.0,656000.0,167.0,-3.0
