Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-08-23,1.0,187.0,187.0,187.0,1500.0,280500.0,190.0,-3.0
2012-08-28,1.0,184.0,184.0,184.0,1000.0,184000.0,187.0,-3.0
2012-08-30,4.0,181.0,175.0,175.0,6090.0,1098750.0,184.0,-9.0
2012-09-03,1.0,172.0,172.0,172.0,20.0,3440.0,175.0,-3.0
2012-09-06,4.0,169.0,160.0,160.0,3840.0,628440.0,172.0,-12.0
2012-09-09,14.0,158.0,150.0,158.0,14540.0,2211920.0,160.0,-2.0
2012-09-18,1.0,155.0,155.0,155.0,10.0,1550.0,158.0,-3.0
2012-10-03,1.0,152.0,152.0,152.0,330.0,50160.0,155.0,-3.0
2012-10-08,2.0,149.0,149.0,149.0,1000.0,149000.0,152.0,-3.0
2012-10-09,1.0,151.0,151.0,151.0,40.0,6040.0,149.0,2.0
2012-10-10,1.0,150.0,150.0,150.0,250.0,37500.0,151.0,-1.0
2012-10-11,1.0,150.0,150.0,150.0,200.0,30000.0,150.0,0.0
2012-10-14,3.0,159.0,153.0,159.0,110.0,17130.0,150.0,9.0
2012-11-01,12.0,174.0,162.0,174.0,160.0,27360.0,159.0,15.0
2012-11-06,2.0,178.0,175.0,178.0,40.0,7060.0,174.0,4.0
2012-11-26,1.0,175.0,175.0,175.0,500.0,87500.0,178.0,-3.0
2013-01-01,49.0,192.0,178.0,184.0,7410.0,1391580.0,175.0,9.0
2013-01-02,20.0,190.0,168.0,168.0,2160.0,392960.0,184.0,-16.0
2013-01-03,6.0,169.0,165.0,168.0,1250.0,207240.0,168.0,0.0
2013-01-07,1.0,159.0,159.0,159.0,100.0,15900.0,162.0,-3.0
2013-01-09,3.0,162.0,160.0,160.0,400.0,64200.0,159.0,1.0
2013-01-10,7.0,170.0,163.0,168.0,730.0,121140.0,160.0,8.0
2013-01-13,8.0,171.0,168.0,170.0,900.0,153100.0,168.0,2.0
2013-01-15,4.0,170.0,164.0,164.0,600.0,100200.0,170.0,-6.0
2013-01-20,3.0,168.0,165.0,168.0,500.0,82800.0,164.0,4.0
2013-01-21,3.0,170.0,167.0,169.0,300.0,50360.0,168.0,1.0
2013-01-22,3.0,169.0,166.0,169.0,470.0,79190.0,169.0,0.0
2013-01-23,5.0,172.0,164.0,164.0,420.0,70140.0,169.0,-5.0
2013-01-24,2.0,160.0,160.0,160.0,7700.0,1232000.0,164.0,-4.0
2013-01-31,1.0,157.0,157.0,157.0,200.0,31400.0,160.0,-3.0
2013-02-05,2.0,160.0,160.0,160.0,230.0,36800.0,157.0,3.0
2013-02-07,1.0,160.0,160.0,160.0,100.0,16000.0,160.0,0.0
2013-02-20,2.0,166.0,163.0,166.0,30.0,4950.0,160.0,6.0
2013-02-24,1.0,169.0,169.0,169.0,100.0,16900.0,166.0,3.0
2013-03-07,4.0,172.0,166.0,172.0,240.0,40560.0,169.0,3.0
2013-03-13,6.0,178.0,172.0,178.0,1570.0,272340.0,172.0,6.0
2013-03-14,39.0,193.0,181.0,187.0,11270.0,2081600.0,178.0,9.0
2013-03-17,40.0,200.0,190.0,194.0,7410.0,1435860.0,187.0,7.0
2013-03-18,11.0,197.0,179.0,179.0,1820.0,338420.0,194.0,-15.0
2013-03-19,13.0,189.0,182.0,185.0,7770.0,1440440.0,179.0,6.0
2013-03-21,16.0,187.0,183.0,184.0,3660.0,676200.0,182.0,2.0
2013-04-25,8.0,153.0,149.0,150.0,20550.0,3082660.0,184.0,-34.0
2013-05-21,5.0,147.0,143.0,145.0,1210.0,176310.0,150.0,-5.0
2013-05-28,1.0,147.0,147.0,147.0,1000.0,147000.0,145.0,2.0
2013-06-03,2.0,151.0,149.0,151.0,40.0,6000.0,147.0,4.0
2013-06-04,1.0,154.0,154.0,154.0,5000.0,770000.0,151.0,3.0
2013-06-05,1.0,157.0,157.0,157.0,500.0,78500.0,154.0,3.0
2013-06-12,7.0,163.0,154.0,163.0,1372.0,217316.0,157.0,6.0
2013-06-13,2.0,169.0,166.0,169.0,40.0,6700.0,163.0,6.0
2013-06-17,1.0,172.0,172.0,172.0,20.0,3440.0,169.0,3.0
2013-07-01,16.0,169.0,155.0,158.0,41460.0,6427040.0,172.0,-14.0
2013-07-03,1.0,160.0,160.0,160.0,430.0,68800.0,158.0,2.0
2013-07-23,2.0,157.0,154.0,154.0,480.0,74400.0,160.0,-6.0
2013-07-24,1.0,157.0,157.0,157.0,500.0,78500.0,154.0,3.0
2013-07-25,5.0,164.0,160.0,164.0,760.0,123860.0,157.0,7.0
2013-07-28,2.0,170.0,167.0,170.0,100.0,16880.0,164.0,6.0
2013-07-29,7.0,187.0,173.0,187.0,1830.0,334300.0,170.0,17.0
2013-07-30,8.0,193.0,187.0,188.0,1915.0,362080.0,187.0,1.0
2013-07-31,7.0,188.0,185.0,185.0,2270.0,420310.0,188.0,-3.0
2013-08-01,7.0,182.0,179.0,180.0,2695.0,485340.0,185.0,-5.0
2013-08-04,4.0,178.0,177.0,178.0,500.0,88700.0,180.0,-2.0
2013-08-05,2.0,175.0,172.0,172.0,100.0,17350.0,178.0,-6.0
2013-08-06,7.0,172.0,167.0,170.0,1420.0,240650.0,172.0,-2.0
2013-08-07,2.0,176.0,173.0,176.0,567.0,98841.0,170.0,6.0
2013-08-08,4.0,176.0,173.0,173.0,515.0,89455.0,176.0,-3.0
2013-08-11,1.0,170.0,170.0,170.0,40.0,6800.0,173.0,-3.0
2013-08-12,1.0,167.0,167.0,167.0,75.0,12525.0,170.0,-3.0
2013-08-13,7.0,181.0,170.0,181.0,650.0,114900.0,167.0,14.0
2013-08-14,4.0,187.0,184.0,187.0,300.0,55450.0,181.0,6.0
2013-08-15,5.0,190.0,184.0,184.0,1247.0,231779.0,187.0,-3.0
2013-08-18,10.0,202.0,187.0,202.0,1975.0,391675.0,184.0,18.0
2013-08-19,5.0,217.0,206.0,217.0,1475.0,313680.0,202.0,15.0
2013-08-20,10.0,238.0,221.0,238.0,2350.0,542470.0,217.0,21.0
2013-08-25,18.0,261.0,242.0,261.0,5060.0,1307050.0,238.0,23.0
2013-08-26,25.0,287.0,266.0,281.0,4565.0,1308360.0,261.0,20.0
2013-08-27,4.0,286.0,273.0,273.0,550.0,154550.0,281.0,-8.0
2013-08-29,16.0,273.0,250.0,252.0,2992.0,790690.0,273.0,-21.0
2013-09-01,12.0,270.0,257.0,270.0,11025.0,2929892.0,252.0,18.0
2013-09-02,2.0,265.0,265.0,265.0,250.0,66250.0,270.0,-5.0
2013-09-03,1.0,260.0,260.0,260.0,10.0,2600.0,265.0,-5.0
2013-09-10,3.0,255.0,255.0,255.0,10100.0,2575500.0,260.0,-5.0
2013-09-12,1.0,260.0,260.0,260.0,12.0,3120.0,255.0,5.0
2013-09-22,1.0,255.0,255.0,255.0,200.0,51000.0,260.0,-5.0
2013-10-01,2.0,250.0,248.0,248.0,1512.0,375000.0,255.0,-7.0
2013-10-02,1.0,245.0,245.0,245.0,1645.0,403025.0,248.0,-3.0
2013-10-06,3.0,241.0,241.0,241.0,1720.0,414520.0,245.0,-4.0
2013-10-07,1.0,241.0,241.0,241.0,1512.0,364392.0,241.0,0.0
2013-10-08,3.0,237.0,233.0,233.0,575.0,135675.0,241.0,-8.0
2013-10-09,1.0,229.0,229.0,229.0,107.0,24503.0,233.0,-4.0
2013-10-17,1.0,225.0,225.0,225.0,37.0,8325.0,229.0,-4.0
2013-10-20,2.0,222.0,218.0,218.0,87.0,19114.0,225.0,-7.0
2013-10-22,6.0,225.0,221.0,221.0,1045.0,231545.0,218.0,3.0
2013-10-23,2.0,221.0,218.0,221.0,250.0,54875.0,221.0,0.0
2013-10-24,2.0,217.0,215.0,215.0,252.0,54484.0,221.0,-6.0
2013-10-28,1.0,211.0,211.0,211.0,100.0,21100.0,215.0,-4.0
2013-10-30,1.0,207.0,207.0,207.0,125.0,25875.0,211.0,-4.0
2013-10-31,1.0,203.0,203.0,203.0,3507.0,711921.0,207.0,-4.0
2013-11-11,2.0,201.0,201.0,201.0,1900.0,381900.0,203.0,-2.0
2013-11-12,1.0,200.0,200.0,200.0,18000.0,3600000.0,201.0,-1.0
2013-11-21,2.0,204.0,204.0,204.0,1025.0,209100.0,200.0,4.0
2013-11-25,1.0,208.0,208.0,208.0,10.0,2080.0,204.0,4.0
2013-11-26,1.0,212.0,212.0,212.0,20.0,4240.0,208.0,4.0
2013-12-01,1.0,216.0,216.0,216.0,20.0,4320.0,212.0,4.0
2013-12-02,5.0,236.0,220.0,236.0,50.0,11400.0,216.0,20.0
2013-12-03,4.0,259.0,247.0,259.0,40.0,10130.0,236.0,23.0
2013-12-04,4.0,279.0,264.0,279.0,40.0,10860.0,259.0,20.0
2013-12-05,5.0,304.0,284.0,304.0,2250.0,664850.0,279.0,25.0
2013-12-08,9.0,334.0,310.0,334.0,3090.0,1021440.0,304.0,30.0
2013-12-09,9.0,367.0,340.0,367.0,1657.0,594132.0,334.0,33.0
2013-12-10,16.0,370.0,350.0,350.0,2472.0,875435.0,367.0,-17.0
2013-12-11,5.0,357.0,350.0,357.0,592.0,209244.0,350.0,7.0
2013-12-12,4.0,350.0,350.0,350.0,737.0,257950.0,357.0,-7.0
2013-12-15,8.0,385.0,357.0,385.0,735.0,272955.0,350.0,35.0
2013-12-16,1.0,392.0,392.0,392.0,250.0,98000.0,385.0,7.0
2013-12-18,2.0,406.0,399.0,406.0,1000.0,399700.0,392.0,14.0
