Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-01-03,12.0,141.0,137.0,141.0,120.0,16560.0,137.0,4.0
2021-01-04,7.0,145.0,143.0,145.0,62.0,8968.0,141.0,4.0
2021-01-05,3.0,158.0,152.0,158.0,30.0,4650.0,145.0,13.0
2021-01-06,24.0,173.0,161.0,173.0,222.0,38094.0,158.0,15.0
2021-01-07,6.0,190.0,176.0,190.0,60.0,11000.0,173.0,17.0
2021-01-10,13.0,209.0,193.0,209.0,120.0,24476.0,190.0,19.0
2021-01-11,16.0,225.0,213.0,225.0,96.0,20951.0,209.0,16.0
2021-01-12,17.0,247.0,229.0,247.0,165.0,40245.0,225.0,22.0
2021-01-13,6.0,271.0,259.0,271.0,60.0,16050.0,247.0,24.0
2021-01-17,16.0,298.0,276.0,298.0,160.0,47080.0,271.0,27.0
2021-01-18,18.0,327.0,286.0,327.0,180.0,57560.0,298.0,29.0
2021-01-19,16.0,359.0,333.0,359.0,160.0,56750.0,327.0,32.0
2021-01-20,21.0,394.0,366.0,394.0,210.0,82040.0,359.0,35.0
2021-01-21,38.0,433.0,380.0,0.0,380.0,162820.0,394.0,-394.0
2021-01-24,43.0,476.0,450.0,476.0,420.0,199410.0,433.0,43.0
2021-01-25,99.0,523.0,499.0,523.0,990.0,517090.0,476.0,47.0
2021-01-26,156.0,575.0,549.0,575.0,1521.0,873815.0,523.0,52.0
2021-01-27,1036.0,632.0,603.0,632.0,10341.0,6533252.0,575.0,57.0
2021-01-28,7171.0,695.0,663.0,695.0,74071.0,51434755.0,632.0,63.0
2021-01-31,27086.0,764.0,690.0,764.0,426505.0,318200267.0,695.0,69.0
2021-02-01,9166.0,840.0,737.0,840.0,142477.0,118696232.0,764.0,76.0
2021-02-02,6387.0,924.0,882.0,924.0,108208.0,99884902.0,840.0,84.0
2021-02-03,11026.0,1016.0,871.0,925.0,212805.0,202640488.0,924.0,1.0
2021-02-04,6391.0,950.0,860.0,893.0,154064.0,137881808.0,925.0,-32.0
2021-02-07,6022.0,892.0,830.0,877.0,133101.0,115823723.0,893.0,-16.0
2021-02-08,3702.0,894.0,855.0,856.0,98429.0,85132819.0,877.0,-21.0
2021-02-09,2765.0,860.0,832.0,850.0,60981.0,51543133.0,856.0,-6.0
2021-02-10,1949.0,854.0,837.0,841.0,40438.0,34136111.0,850.0,-9.0
2021-02-11,2132.0,842.0,822.0,828.0,58676.0,48849504.0,841.0,-13.0
2021-02-14,1941.0,910.0,840.0,860.0,48436.0,41917198.0,828.0,32.0
2021-02-15,1667.0,903.0,860.0,871.0,45459.0,39468343.0,860.0,11.0
2021-02-16,1338.0,914.0,860.0,869.0,33621.0,29250746.0,871.0,-2.0
2021-02-17,1587.0,870.0,838.0,852.0,44080.0,37327208.0,869.0,-17.0
2021-02-18,1761.0,860.0,835.0,841.0,35463.0,29812572.0,852.0,-11.0
2021-02-21,2174.0,841.0,799.0,829.0,38718.0,32170478.0,841.0,-12.0
2021-02-22,1661.0,832.0,820.0,823.0,25110.0,20647532.0,829.0,-6.0
