Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,2.0,176.0,173.0,176.0,82.0,14402.0,170.0,6.0
2012-06-04,32.0,182.0,176.0,176.0,3130.0,560116.0,176.0,0.0
2012-06-05,10.0,177.0,170.0,177.0,498.0,86460.0,176.0,1.0
2012-06-06,18.0,178.0,172.0,174.0,790.0,137454.0,177.0,-3.0
2012-06-07,33.0,185.0,173.0,183.0,5042.0,914952.0,174.0,9.0
2012-06-10,12.0,181.0,180.0,180.0,858.0,154572.0,183.0,-3.0
2012-06-11,4.0,183.0,177.0,180.0,156.0,27924.0,180.0,0.0
2012-06-12,4.0,177.0,174.0,174.0,132.0,23256.0,180.0,-6.0
2012-06-13,33.0,176.0,170.0,174.0,758.0,131286.0,174.0,0.0
2012-06-14,13.0,177.0,173.0,173.0,852.0,148362.0,174.0,-1.0
2012-06-17,23.0,175.0,171.0,175.0,720.0,124512.0,173.0,2.0
2012-06-18,7.0,172.0,167.0,172.0,778.0,132892.0,175.0,-3.0
2012-06-19,13.0,175.0,170.0,175.0,456.0,78696.0,172.0,3.0
2012-06-20,12.0,178.0,172.0,172.0,694.0,121178.0,175.0,-3.0
2012-06-21,18.0,175.0,170.0,173.0,332.0,57556.0,172.0,1.0
2012-06-25,2.0,173.0,173.0,173.0,68.0,11764.0,173.0,0.0
2012-06-26,5.0,174.0,171.0,174.0,318.0,54648.0,173.0,1.0
2012-06-28,8.0,174.0,168.0,174.0,504.0,85032.0,174.0,0.0
2012-07-01,19.0,177.0,171.0,175.0,600.0,104008.0,174.0,1.0
2012-07-02,12.0,180.0,175.0,180.0,702.0,125120.0,175.0,5.0
2012-07-03,3.0,182.0,180.0,180.0,272.0,49234.0,180.0,0.0
2012-07-04,17.0,189.0,177.0,186.0,914.0,165426.0,180.0,6.0
2012-07-05,7.0,189.0,186.0,187.0,688.0,129144.0,186.0,1.0
2012-07-08,4.0,189.0,185.0,185.0,506.0,94050.0,187.0,-2.0
