Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-17,1.0,125.0,125.0,125.0,200.0,25000.0,125.0,0.0
2014-04-21,1.0,125.0,125.0,125.0,120.0,15000.0,125.0,0.0
2014-04-22,1.0,123.0,123.0,123.0,140.0,17220.0,125.0,-2.0
2014-04-23,1.0,121.0,121.0,121.0,120.0,14520.0,123.0,-2.0
2014-05-28,2.0,119.0,117.0,117.0,140.0,16420.0,121.0,-4.0
2014-06-01,1.0,115.0,115.0,115.0,20.0,2300.0,117.0,-2.0
2014-06-03,1.0,113.0,113.0,113.0,120.0,13560.0,115.0,-2.0
2014-06-05,1.0,111.0,111.0,111.0,560.0,62160.0,113.0,-2.0
2014-06-18,1.0,113.0,113.0,111.0,120.0,13560.0,111.0,2.0
2014-07-06,5.0,111.0,111.0,111.0,480.0,53280.0,113.0,-2.0
2014-07-15,2.0,109.0,109.0,109.0,200.0,21800.0,111.0,-2.0
2014-07-16,3.0,111.0,110.0,110.0,240.0,26560.0,109.0,1.0
2014-07-17,4.0,115.0,112.0,115.0,400.0,45400.0,110.0,5.0
2014-07-30,18.0,119.0,104.0,112.0,115560.0,12353780.0,115.0,-3.0
2014-08-03,6.0,116.0,112.0,116.0,14280.0,1628320.0,112.0,4.0
2014-08-04,2.0,116.0,116.0,116.0,160.0,18560.0,116.0,0.0
2014-08-14,5.0,126.0,118.0,126.0,50.0,6100.0,116.0,10.0
2014-08-18,7.0,136.0,128.0,136.0,590.0,79420.0,126.0,10.0
2014-08-19,2.0,140.0,138.0,140.0,620.0,85840.0,136.0,4.0
2014-08-21,10.0,144.0,138.0,144.0,10360.0,1456660.0,140.0,4.0
2014-08-28,6.0,148.0,146.0,146.0,360.0,52640.0,144.0,2.0
2014-09-21,1.0,147.0,147.0,147.0,80.0,11760.0,146.0,1.0
2014-09-22,2.0,145.0,145.0,145.0,510.0,73950.0,147.0,-2.0
2014-11-20,6.0,145.0,145.0,145.0,520.0,75400.0,145.0,0.0
2014-11-23,3.0,146.0,146.0,146.0,100.0,14600.0,145.0,1.0
2015-01-01,2.0,144.0,144.0,144.0,140.0,20160.0,146.0,-2.0
2015-01-18,1.0,142.0,142.0,142.0,120.0,17040.0,144.0,-2.0
2015-01-19,7.0,156.0,144.0,156.0,330.0,49620.0,142.0,14.0
2015-01-20,1.0,157.0,157.0,157.0,120.0,18840.0,156.0,1.0
