Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-03,6.0,129.0,121.0,129.0,730.0,93050.0,119.0,10.0
2012-06-04,13.0,127.0,120.0,124.0,4240.0,516210.0,129.0,-5.0
2012-06-05,14.0,123.0,118.0,121.0,5140.0,619180.0,124.0,-3.0
2012-06-06,11.0,122.0,119.0,119.0,1687.0,202420.0,121.0,-2.0
2012-06-07,14.0,127.0,120.0,127.0,2170.0,268520.0,119.0,8.0
2012-06-11,15.0,125.0,121.0,123.0,3220.0,397660.0,127.0,-4.0
2012-06-12,9.0,122.0,119.0,119.0,2550.0,306600.0,123.0,-4.0
2012-06-13,3.0,119.0,117.0,119.0,1400.0,164600.0,119.0,0.0
2012-06-14,2.0,123.0,121.0,123.0,300.0,36800.0,119.0,4.0
2012-06-17,5.0,121.0,116.0,116.0,900.0,105600.0,123.0,-7.0
2012-06-18,4.0,117.0,114.0,117.0,1975.0,228475.0,116.0,1.0
2012-06-19,3.0,118.0,117.0,118.0,250.0,29400.0,117.0,1.0
2012-06-20,6.0,122.0,119.0,119.0,1850.0,222500.0,118.0,1.0
2012-06-21,10.0,119.0,115.0,115.0,2125.0,247625.0,119.0,-4.0
2012-06-25,4.0,123.0,117.0,123.0,3660.0,435760.0,115.0,8.0
2012-06-26,17.0,121.0,115.0,120.0,6750.0,788250.0,123.0,-3.0
2012-06-27,5.0,121.0,116.0,121.0,1620.0,195140.0,120.0,1.0
2012-06-28,13.0,125.0,117.0,120.0,4950.0,589450.0,121.0,-1.0
2012-07-01,2.0,117.0,115.0,117.0,300.0,34700.0,120.0,-3.0
2012-07-02,8.0,117.0,115.0,117.0,2400.0,276800.0,117.0,0.0
2012-07-03,12.0,118.0,115.0,116.0,9040.0,1042680.0,117.0,-1.0
2012-07-04,30.0,119.0,115.0,119.0,16800.0,1940000.0,116.0,3.0
2012-07-05,20.0,118.0,115.0,118.0,16200.0,1876100.0,119.0,-1.0
2012-07-08,9.0,119.0,115.0,115.0,86500.0,10031500.0,118.0,-3.0
2012-07-09,3.0,117.0,115.0,117.0,7340.0,853780.0,115.0,2.0
2012-07-10,6.0,125.0,119.0,125.0,1220.0,148820.0,117.0,8.0
2012-07-11,12.0,124.0,122.0,123.0,4095.0,501410.0,125.0,-2.0
2012-07-12,6.0,122.0,120.0,121.0,2750.0,331450.0,123.0,-2.0
2012-07-15,4.0,121.0,119.0,121.0,120200.0,14305800.0,121.0,0.0
2012-07-16,11.0,119.0,117.0,117.0,3820.0,452380.0,121.0,-4.0
2012-07-17,36.0,120.0,114.0,116.0,15525.0,1791720.0,117.0,-1.0
2012-07-18,26.0,122.0,114.0,122.0,11730.0,1354720.0,116.0,6.0
2012-07-19,83.0,127.0,114.0,127.0,36032.0,4168117.0,122.0,5.0
2012-07-22,51.0,125.0,115.0,118.0,24350.0,2837750.0,127.0,-9.0
2012-07-23,26.0,120.0,112.0,118.0,24900.0,2858900.0,118.0,0.0
2012-07-24,50.0,119.0,112.0,117.0,81080.0,9233020.0,118.0,-1.0
2012-07-25,81.0,118.0,112.0,113.0,92165.0,10516940.0,117.0,-4.0
2012-07-26,103.0,120.0,112.0,115.0,105120.0,11915590.0,113.0,2.0
2012-07-29,7.0,115.0,114.0,115.0,1430.0,163810.0,115.0,0.0
2012-07-30,10.0,116.0,114.0,116.0,3725.0,428675.0,115.0,1.0
2012-07-31,16.0,118.0,114.0,116.0,7870.0,904840.0,116.0,0.0
2012-08-01,48.0,118.0,105.0,115.0,126155.0,13725045.0,116.0,-1.0
2012-08-05,9.0,116.0,115.0,115.0,7420.0,853920.0,115.0,0.0
2012-08-06,26.0,120.0,115.0,115.0,16520.0,1916190.0,115.0,0.0
2012-08-07,14.0,123.0,115.0,121.0,162790.0,19652830.0,115.0,6.0
2012-08-08,10.0,123.0,119.0,121.0,97650.0,11815110.0,121.0,0.0
2012-08-12,12.0,121.0,114.0,115.0,144650.0,17112050.0,121.0,-6.0
2012-08-13,19.0,117.0,113.0,114.0,25220.0,2876980.0,115.0,-1.0
2012-08-14,7.0,115.0,113.0,115.0,131970.0,14914950.0,114.0,1.0
2012-08-15,15.0,115.0,113.0,115.0,219800.0,24848000.0,115.0,0.0
2012-08-16,10.0,117.0,116.0,117.0,5560.0,645060.0,115.0,2.0
2012-08-19,6.0,115.0,114.0,114.0,4070.0,466050.0,117.0,-3.0
2012-08-21,9.0,116.0,114.0,114.0,4880.0,557480.0,114.0,0.0
2012-08-22,6.0,116.0,113.0,114.0,3050.0,347400.0,114.0,0.0
2012-08-23,8.0,116.0,113.0,113.0,5080.0,579040.0,114.0,-1.0
2012-08-26,14.0,117.0,113.0,115.0,4140.0,474140.0,113.0,2.0
2012-08-27,10.0,115.0,113.0,113.0,16900.0,1911500.0,115.0,-2.0
2012-08-28,13.0,115.0,113.0,114.0,8160.0,927530.0,113.0,1.0
2012-08-29,3.0,115.0,114.0,115.0,3200.0,365000.0,114.0,1.0
2012-08-30,16.0,116.0,113.0,115.0,16140.0,1833150.0,115.0,0.0
2012-09-02,17.0,120.0,116.0,120.0,8050.0,939300.0,115.0,5.0
2012-09-03,14.0,121.0,113.0,119.0,9770.0,1153790.0,120.0,-1.0
2012-09-04,3.0,117.0,116.0,116.0,970.0,112720.0,119.0,-3.0
2012-09-05,7.0,116.0,115.0,115.0,5030.0,579180.0,116.0,-1.0
2012-09-06,3.0,115.0,115.0,115.0,1600.0,184000.0,115.0,0.0
2012-09-09,6.0,117.0,115.0,115.0,3480.0,400400.0,115.0,0.0
2012-09-10,22.0,115.0,112.0,114.0,10560.0,1196990.0,115.0,-1.0
2012-09-11,12.0,115.0,113.0,113.0,3095.0,353245.0,114.0,-1.0
2012-09-12,8.0,116.0,114.0,116.0,3830.0,438180.0,113.0,3.0
2012-09-13,4.0,115.0,114.0,115.0,700.0,80250.0,116.0,-1.0
2012-09-16,8.0,115.0,112.0,114.0,2900.0,328400.0,115.0,-1.0
2012-09-17,5.0,120.0,114.0,120.0,1060.0,120960.0,114.0,6.0
2012-09-18,3.0,118.0,116.0,116.0,865.0,100590.0,120.0,-4.0
2012-09-19,31.0,117.0,113.0,115.0,19779.0,2273085.0,116.0,-1.0
2012-09-20,49.0,116.0,113.0,116.0,319500.0,36430300.0,115.0,1.0
2012-09-23,16.0,116.0,114.0,115.0,74423.0,8529145.0,116.0,-1.0
2012-09-24,19.0,115.0,113.0,114.0,68770.0,7836030.0,115.0,-1.0
2012-09-25,10.0,116.0,114.0,115.0,62620.0,7199750.0,114.0,1.0
2012-09-26,8.0,115.0,113.0,114.0,33200.0,3775000.0,115.0,-1.0
2012-09-27,5.0,114.0,112.0,114.0,4800.0,542350.0,114.0,0.0
2012-09-30,6.0,114.0,114.0,114.0,5100.0,581400.0,114.0,0.0
2012-10-01,9.0,115.0,112.0,114.0,15700.0,1768350.0,114.0,0.0
2012-10-02,1.0,113.0,113.0,113.0,1000.0,113000.0,114.0,-1.0
2012-10-03,8.0,115.0,113.0,115.0,6250.0,707150.0,113.0,2.0
2012-10-04,3.0,113.0,112.0,113.0,2060.0,232720.0,115.0,-2.0
2012-10-07,14.0,120.0,112.0,120.0,21630.0,2427520.0,113.0,7.0
2012-10-08,24.0,118.0,111.0,113.0,40350.0,4580770.0,120.0,-7.0
2012-10-09,9.0,114.0,112.0,114.0,28330.0,3209370.0,113.0,1.0
2012-10-10,5.0,114.0,112.0,114.0,13840.0,1551960.0,114.0,0.0
2012-10-11,6.0,114.0,112.0,114.0,2025.0,230400.0,114.0,0.0
