Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-06-22,112.0,10.71,10.0,10.57,104690.0,1089062.05,0.0,0.57
2021-06-23,46.0,10.6,10.23,10.35,45880.0,476926.0,10.57,-0.22
2021-06-24,42.0,10.5,10.15,10.32,44400.0,461505.0,10.35,-0.03
2021-06-27,48.0,10.5,10.05,10.29,28320.0,289006.5,10.32,-0.03
2021-06-28,73.0,10.31,10.15,10.18,38239.0,390086.83,10.29,-0.11
2021-06-29,39.0,10.2,10.06,10.2,37080.0,374985.4,10.18,0.02
2021-06-30,43.0,10.25,10.0,10.25,36220.0,366139.6,10.2,0.05
2021-07-01,67.0,10.2,10.0,10.0,56550.0,568722.0,10.25,-0.25
2021-07-04,54.0,10.2,10.0,10.06,47850.0,482733.0,10.0,0.06
2021-07-05,35.0,10.06,9.98,10.03,58900.0,590309.0,10.06,-0.03
2021-07-06,41.0,10.3,9.99,10.3,24250.0,246251.7,10.03,0.27
2021-07-07,47.0,10.2,9.9,10.05,58060.0,581558.5,10.3,-0.25
2021-07-08,26.0,10.25,9.9,10.0,9490.0,95007.0,10.05,-0.05
2021-07-11,42.0,10.3,9.9,10.25,44550.0,453725.0,10.0,0.25
2021-07-12,36.0,10.45,9.85,10.1,17050.0,172264.5,10.25,-0.15
2021-07-13,28.0,10.19,10.0,10.05,78820.0,791133.3,10.1,-0.05
2021-07-14,43.0,10.2,9.85,10.14,59000.0,598155.0,10.05,0.09
2021-07-15,37.0,10.3,10.1,10.14,23600.0,238782.0,10.14,0.0
2021-07-18,59.0,10.22,9.99,10.06,66410.0,670485.4,10.14,-0.08
2021-07-19,51.0,10.24,10.0,10.1,35350.0,358988.0,10.06,0.04
2021-07-20,218.0,10.82,10.05,10.5,326961.0,3431508.7,10.1,0.4
2021-07-22,405.0,11.22,10.5,10.97,1311461.0,14420617.71,10.5,0.47
2021-07-25,180.0,11.18,10.6,10.67,251190.0,2760296.0,10.97,-0.3
2021-07-26,85.0,10.9,10.48,10.75,112900.0,1210609.5,10.67,0.08
2021-07-27,75.0,10.91,10.55,10.65,68820.0,731362.76,10.75,-0.1
2021-07-28,56.0,10.7,10.57,10.61,45150.0,479090.0,10.65,-0.04
2021-07-29,88.0,10.7,10.4,10.58,249100.0,2619381.5,10.61,-0.03
2021-08-01,112.0,10.72,10.37,10.38,206894.0,2165130.38,10.58,-0.2
2021-08-02,77.0,10.59,10.35,10.36,63500.0,662862.8,10.38,-0.02
2021-08-03,66.0,10.56,10.36,10.49,51580.0,541764.4,10.36,0.13
2021-08-04,87.0,10.55,10.4,10.4,83400.0,870857.1,10.49,-0.09
2021-08-05,76.0,10.58,10.3,10.41,74690.0,779468.1,10.4,0.01
2021-08-08,70.0,10.4,10.25,10.3,171700.0,1773533.5,10.41,-0.11
2021-08-09,73.0,10.45,10.2,10.35,66700.0,690241.5,10.3,0.05
2021-08-10,101.0,10.6,10.22,10.6,170670.0,1776053.1,10.35,0.25
2021-08-11,57.0,10.7,10.3,10.3,38625.0,404617.5,10.6,-0.3
2021-08-12,80.0,10.5,10.24,10.3,56440.0,583451.0,10.3,0.0
2021-08-15,62.0,10.35,10.15,10.25,36490.0,374443.8,10.3,-0.05
2021-08-16,115.0,10.25,9.98,10.15,160966.0,1630884.08,10.25,-0.1
2021-08-17,59.0,10.17,10.05,10.1,44990.0,454479.8,10.15,-0.05
2021-08-18,79.0,10.32,10.05,10.18,89270.0,913221.2,10.1,0.08
2021-08-19,70.0,10.25,9.99,10.13,63900.0,647473.5,10.18,-0.05
2021-08-24,80.0,10.15,10.0,10.15,73405.0,739747.05,10.13,0.02
2021-08-25,81.0,10.35,10.0,10.35,88300.0,898685.0,10.15,0.2
2021-08-26,56.0,10.29,10.1,10.2,32450.0,329675.5,10.35,-0.15
2021-08-29,89.0,10.4,10.0,10.03,122855.0,1237824.8,10.2,-0.17
2021-08-31,66.0,10.13,9.95,10.13,51870.0,519673.0,10.03,0.1
2021-09-01,37.0,10.15,10.05,10.05,36543.0,368157.79,10.13,-0.08
2021-09-02,69.0,10.12,9.98,10.0,144740.0,1453207.6,10.05,-0.05
2021-09-05,50.0,10.0,9.7,9.9,87200.0,860624.0,10.0,-0.1
2021-09-06,48.0,10.1,9.85,10.1,40510.0,404619.4,9.9,0.2
2021-09-07,22.0,10.01,9.95,9.99,6950.0,69488.0,10.1,-0.11
2021-09-08,33.0,10.0,9.9,10.0,32588.0,325045.2,9.99,0.01
2021-09-09,24.0,10.05,9.9,9.97,9240.0,92312.1,10.0,-0.03
2021-09-12,96.0,10.0,9.83,9.9,170990.0,1694450.2,9.97,-0.07
2021-09-13,19.0,10.05,9.85,9.89,7630.0,75387.7,9.9,-0.01
2021-09-14,23.0,10.08,9.91,9.95,4820.0,48020.4,9.89,0.06
2021-09-15,29.0,10.0,9.82,9.93,34350.0,341779.5,9.95,-0.02
2021-09-16,43.0,9.9,9.73,9.88,73364.0,721273.55,9.93,-0.05
2021-09-20,61.0,9.8,9.4,9.4,86090.0,826787.3,9.88,-0.48
2021-09-21,59.0,9.64,9.1,9.48,74560.0,697599.5,9.4,0.08
2021-09-22,37.0,9.86,9.32,9.6,43150.0,412587.5,9.48,0.12
2021-09-23,51.0,9.74,9.16,9.35,80620.0,763882.2,9.6,-0.25
2021-09-26,50.0,9.67,9.37,9.4,68040.0,645283.8,9.35,0.05
2021-09-27,36.0,9.6,9.3,9.45,35415.0,335291.15,9.4,0.05
2021-09-28,41.0,9.44,9.09,9.38,81920.0,763528.65,9.45,-0.07
2021-09-29,26.0,9.48,9.2,9.45,16650.0,156266.0,9.38,0.07
2021-09-30,50.0,9.51,9.1,9.4,119165.0,1101907.85,9.45,-0.05
2021-10-03,70.0,9.44,9.09,9.29,123221.0,1140685.85,9.4,-0.11
2021-10-04,38.0,9.45,9.16,9.26,43250.0,401205.5,9.29,-0.03
2021-10-05,27.0,9.55,9.2,9.5,48970.0,462372.6,9.26,0.24
2021-10-06,37.0,9.73,9.35,9.54,51850.0,492232.5,9.5,0.04
2021-10-10,29.0,9.69,9.41,9.69,30450.0,290470.5,9.54,0.15
2021-10-11,21.0,9.84,9.53,9.8,32540.0,317217.8,9.69,0.11
2021-10-17,7.0,9.96,9.61,9.72,2250.0,22146.0,9.8,-0.08
2021-10-18,19.0,9.53,9.4,9.53,14200.0,134357.0,9.72,-0.19
2021-10-19,26.0,9.35,9.17,9.27,14100.0,130208.75,9.53,-0.26
2021-10-20,20.0,9.51,9.25,9.42,30670.0,290311.6,9.27,0.15
2021-10-21,14.0,9.67,9.4,9.5,7600.0,72200.0,9.42,0.08
2021-10-24,39.0,9.69,9.22,9.4,55000.0,517104.5,9.5,-0.1
2021-10-25,28.0,9.6,9.35,9.5,22420.0,213584.6,9.4,0.1
2021-10-26,35.0,9.69,9.31,9.58,28100.0,268026.5,9.5,0.08
2021-10-27,22.0,9.77,9.55,9.7,21400.0,204711.0,9.58,0.12
2021-10-28,35.0,9.65,9.51,9.6,24500.0,235671.0,9.7,-0.1
2021-10-31,35.0,9.65,9.48,9.54,24150.0,230384.5,9.6,-0.06
2021-11-01,40.0,9.79,9.56,9.6,39500.0,382671.0,9.54,0.06
2021-11-02,29.0,9.79,9.6,9.69,42596.0,410360.56,9.6,0.09
2021-11-03,37.0,9.85,9.54,9.7,32422.0,314651.84,9.69,0.01
2021-11-08,33.0,9.85,9.58,9.8,24330.0,236770.4,9.7,0.1
2021-11-09,27.0,9.99,9.5,9.69,30272.0,291404.68,9.8,-0.11
2021-11-11,26.0,9.6,9.42,9.5,22604.0,214513.0,9.69,-0.19
2021-11-14,20.0,9.77,9.32,9.6,29650.0,284071.6,9.5,0.1
2021-11-15,35.0,9.59,9.4,9.52,22536.0,213103.74,9.6,-0.08
2021-11-16,23.0,9.71,9.33,9.67,22248.0,210813.58,9.52,0.15
2021-11-17,39.0,9.5,9.42,9.47,32500.0,308348.2,9.67,-0.2
2021-11-18,37.0,9.5,9.32,9.5,11950.0,112735.5,9.47,0.03
2021-11-21,30.0,9.45,9.31,9.43,14950.0,140685.0,9.5,-0.07
2021-11-22,44.0,9.61,9.34,9.51,24900.0,237602.0,9.43,0.08
2021-11-23,34.0,9.6,9.41,9.44,15700.0,148714.0,9.51,-0.07
2021-11-24,25.0,9.5,9.29,9.4,10805.0,101470.75,9.44,-0.04
2021-11-25,24.0,9.52,9.33,9.41,11780.0,111074.9,9.4,0.01
2021-11-28,38.0,9.35,9.08,9.08,80121.0,737381.92,9.41,-0.33
2021-11-29,31.0,9.35,9.22,9.28,20500.0,190181.0,9.08,0.2
2021-11-30,26.0,9.3,9.12,9.22,9625.0,88822.1,9.28,-0.06
2021-12-01,23.0,9.35,9.17,9.3,14000.0,129238.0,9.22,0.08
2021-12-02,35.0,9.25,9.13,9.2,36999.0,340675.79,9.3,-0.1
2021-12-05,43.0,9.2,9.0,9.1,136269.0,1234069.02,9.2,-0.1
2021-12-06,33.0,9.16,8.95,9.16,25700.0,233505.0,9.1,0.06
2021-12-07,28.0,9.25,9.02,9.14,11495.0,105203.2,9.16,-0.02
2021-12-08,37.0,10.05,9.0,9.1,564200.0,5622745.0,9.14,-0.04
2021-12-09,15.0,9.09,8.98,9.02,10910.0,98587.2,9.1,-0.08
2021-12-12,29.0,9.05,8.88,8.9,44709.0,401056.89,9.02,-0.12
2021-12-13,24.0,8.9,8.75,8.78,30399.0,267826.25,8.9,-0.12
2021-12-14,6.0,9.12,8.8,9.12,14130.0,126445.6,8.78,0.34
2021-12-15,21.0,9.18,8.96,8.96,14420.0,130295.6,9.12,-0.16
2021-12-16,23.0,9.07,8.8,8.95,21350.0,189220.0,8.96,-0.01
2021-12-20,26.0,9.12,8.91,9.0,33160.0,296412.7,8.95,0.05
2021-12-21,35.0,9.36,8.82,9.23,74900.0,668409.0,9.0,0.23
2021-12-22,31.0,9.13,8.91,9.0,30291.0,275253.1,9.23,-0.23
2021-12-23,23.0,9.18,8.9,8.96,48380.0,441843.6,9.0,-0.04
2021-12-26,32.0,9.17,8.88,9.17,36700.0,334384.0,8.96,0.21
2021-12-27,24.0,9.26,8.99,9.26,6300.0,57196.0,9.17,0.09
2021-12-28,7.0,9.08,8.91,8.91,1950.0,17585.0,9.26,-0.35
2021-12-29,18.0,9.17,8.85,9.1,6700.0,60331.8,8.91,0.19
2022-01-02,24.0,9.18,8.92,9.1,42700.0,383533.0,9.1,0.0
2022-01-03,15.0,9.13,8.93,9.13,7600.0,68765.0,9.1,0.03
2022-01-04,30.0,9.31,8.97,9.3,40300.0,367390.5,9.13,0.17
2022-01-05,30.0,9.36,9.0,9.02,64700.0,584700.0,9.3,-0.28
2022-01-06,16.0,9.46,8.9,9.03,9700.0,89076.0,9.02,0.01
2022-01-09,40.0,9.47,9.1,9.47,64000.0,592052.5,9.03,0.44
2022-01-10,41.0,9.47,9.11,9.17,68545.0,633630.27,9.47,-0.3
2022-01-11,27.0,9.35,9.03,9.15,22702.0,208618.8,9.17,-0.02
2022-01-12,32.0,9.48,9.18,9.18,32905.0,305273.6,9.15,0.03
2022-01-13,53.0,9.36,9.1,9.13,62295.0,573083.8,9.18,-0.05
2022-01-16,74.0,9.49,9.2,9.44,102300.0,959664.6,9.13,0.31
2022-01-17,55.0,9.51,9.27,9.45,72605.0,686596.75,9.44,0.01
2022-01-18,33.0,9.44,9.32,9.36,42800.0,401174.0,9.45,-0.09
2022-01-19,30.0,9.54,9.34,9.4,48550.0,458842.0,9.36,0.04
2022-01-20,29.0,9.5,9.24,9.45,14150.0,133129.0,9.4,0.05
2022-01-23,46.0,9.43,9.22,9.43,45800.0,426839.0,9.45,-0.02
2022-01-24,30.0,9.3,9.1,9.25,41300.0,382127.0,9.43,-0.18
2022-01-25,30.0,9.43,9.13,9.4,27205.0,252904.35,9.25,0.15
2022-01-26,16.0,9.3,9.22,9.3,38300.0,354026.0,9.4,-0.1
2022-01-27,30.0,9.4,9.22,9.4,46700.0,435826.0,9.3,0.1
2022-01-30,55.0,9.44,9.26,9.44,40425.0,376071.35,9.4,0.04
2022-01-31,43.0,9.5,9.2,9.3,57665.0,535809.35,9.44,-0.14
2022-02-01,46.0,9.3,9.16,9.25,20600.0,190340.5,9.3,-0.05
2022-02-03,47.0,9.52,9.08,9.22,17735.0,164335.55,9.25,-0.03
2022-02-06,32.0,9.4,9.22,9.22,13041.0,120420.52,9.22,0.0
2022-02-07,27.0,9.23,9.2,9.22,8750.0,80688.0,9.22,0.0
2022-02-08,51.0,9.28,9.06,9.27,95578.0,880599.92,9.22,0.05
2022-02-09,37.0,9.3,9.06,9.2,30750.0,283214.5,9.27,-0.07
2022-02-10,40.0,9.29,9.02,9.22,56280.0,519470.1,9.2,0.02
2022-02-13,38.0,9.39,9.05,9.07,42103.0,387011.93,9.22,-0.15
2022-02-14,25.0,9.35,9.0,9.1,45700.0,418362.0,9.07,0.03
2022-02-15,18.0,9.18,9.0,9.18,16930.0,153052.4,9.1,0.08
