Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-10-17,1.0,115.0,115.0,115.0,306.0,35190.0,0.0,115.0
2012-10-18,1.0,117.0,117.0,117.0,131.0,15327.0,115.0,2.0
2012-11-05,6.0,125.0,119.0,123.0,664.0,81602.0,117.0,6.0
2012-11-26,1.0,123.0,123.0,123.0,59.0,7257.0,123.0,0.0
2012-11-28,1.0,123.0,123.0,123.0,59.0,7257.0,123.0,0.0
2013-02-19,2.0,121.0,119.0,119.0,1186.0,141372.0,123.0,-4.0
2013-02-20,1.0,119.0,119.0,119.0,306.0,36414.0,119.0,0.0
2013-02-27,2.0,117.0,115.0,115.0,101.0,11733.0,119.0,-4.0
2013-03-03,1.0,117.0,117.0,117.0,59.0,6903.0,115.0,2.0
2013-03-04,10.0,121.0,119.0,119.0,2970.0,355212.0,117.0,2.0
2013-03-07,1.0,121.0,121.0,121.0,30.0,3630.0,123.0,-2.0
2013-03-11,1.0,123.0,123.0,123.0,42.0,5166.0,121.0,2.0
2013-03-13,4.0,125.0,123.0,125.0,297.0,36887.0,123.0,2.0
2013-03-14,1.0,127.0,127.0,127.0,30.0,3810.0,125.0,2.0
2013-03-19,6.0,125.0,123.0,125.0,1801.0,223967.0,127.0,-2.0
2013-05-09,1.0,123.0,123.0,123.0,297.0,36531.0,121.0,2.0
2013-05-12,1.0,121.0,121.0,121.0,30.0,3630.0,123.0,-2.0
2013-05-15,1.0,123.0,123.0,123.0,297.0,36531.0,121.0,2.0
2013-05-20,1.0,121.0,121.0,121.0,65.0,7865.0,123.0,-2.0
2013-05-22,2.0,123.0,122.0,123.0,368.0,45080.0,121.0,2.0
2013-05-27,1.0,125.0,125.0,125.0,900.0,112500.0,123.0,2.0
2013-06-05,2.0,127.0,125.0,125.0,676.0,85722.0,125.0,0.0
2013-10-02,2.0,127.0,125.0,125.0,488.0,61060.0,125.0,0.0
2013-10-03,2.0,127.0,127.0,127.0,244.0,30988.0,125.0,2.0
2013-10-21,1.0,127.0,127.0,127.0,178.0,22606.0,127.0,0.0
2013-10-28,1.0,129.0,129.0,129.0,156.0,20124.0,127.0,2.0
2013-10-29,8.0,141.0,131.0,141.0,436.0,59872.0,129.0,12.0
2013-10-30,3.0,143.0,140.0,140.0,571.0,80740.0,141.0,-1.0
2013-11-10,4.0,148.0,142.0,148.0,587.0,86264.0,140.0,8.0
2013-11-11,6.0,158.0,150.0,158.0,2924.0,446514.0,148.0,10.0
2013-11-12,3.0,160.0,155.0,160.0,2213.0,350315.0,158.0,2.0
2013-11-13,9.0,163.0,160.0,160.0,2766.0,445495.0,160.0,0.0
2013-11-14,13.0,176.0,160.0,176.0,7420.0,1237847.0,160.0,16.0
2013-11-27,4.0,153.0,146.0,153.0,80.0,11940.0,176.0,-23.0
2013-11-28,5.0,168.0,156.0,168.0,377.0,62736.0,153.0,15.0
2013-12-02,2.0,171.0,170.0,171.0,121.0,20590.0,168.0,3.0
2013-12-03,3.0,180.0,174.0,180.0,60.0,10620.0,171.0,9.0
2013-12-05,1.0,183.0,183.0,183.0,148.0,27084.0,180.0,3.0
2013-12-08,1.0,186.0,186.0,186.0,20.0,3720.0,183.0,3.0
2013-12-10,1.0,189.0,189.0,189.0,1220.0,230580.0,186.0,3.0
2013-12-12,2.0,195.0,192.0,195.0,40.0,7740.0,189.0,6.0
2013-12-15,1.0,198.0,198.0,198.0,20.0,3960.0,195.0,3.0
2014-01-02,1.0,201.0,201.0,201.0,611.0,122811.0,198.0,3.0
2014-01-21,5.0,221.0,205.0,221.0,588.0,125164.0,201.0,20.0
2014-01-22,5.0,237.0,225.0,237.0,127.0,29619.0,221.0,16.0
2014-01-23,3.0,249.0,241.0,249.0,60.0,14700.0,237.0,12.0
2014-01-26,2.0,253.0,253.0,253.0,72.0,18216.0,249.0,4.0
2014-01-27,3.0,268.0,258.0,268.0,60.0,15780.0,253.0,15.0
2014-01-28,2.0,273.0,270.0,273.0,215.0,58302.0,268.0,5.0
2014-01-29,2.0,268.0,268.0,268.0,377.0,101036.0,273.0,-5.0
2014-02-02,1.0,264.0,264.0,264.0,1000.0,264000.0,268.0,-4.0
2014-02-03,1.0,265.0,265.0,265.0,20.0,5300.0,264.0,1.0
2014-02-09,3.0,265.0,260.0,260.0,329.0,86340.0,265.0,-5.0
2014-02-16,6.0,270.0,250.0,270.0,2513.0,637710.0,260.0,10.0
2014-02-17,8.0,297.0,275.0,297.0,1179.0,343359.0,270.0,27.0
2014-02-18,6.0,320.0,302.0,320.0,625.0,195711.0,297.0,23.0
2014-02-20,9.0,352.0,326.0,352.0,1827.0,618422.0,320.0,32.0
2014-02-25,1.0,359.0,359.0,359.0,495.0,177705.0,352.0,7.0
2014-02-26,2.0,373.0,366.0,373.0,20.0,7390.0,359.0,14.0
2014-03-03,1.0,369.0,369.0,369.0,65.0,23985.0,373.0,-4.0
2014-03-06,2.0,362.0,355.0,355.0,317.0,112675.0,369.0,-14.0
2014-03-09,2.0,350.0,348.0,348.0,309.0,107750.0,355.0,-7.0
2014-03-11,1.0,342.0,342.0,342.0,200.0,68400.0,348.0,-6.0
2014-04-20,6.0,348.0,330.0,330.0,880.0,296424.0,342.0,-12.0
2014-04-23,1.0,324.0,324.0,324.0,297.0,96228.0,330.0,-6.0
2014-04-27,1.0,325.0,325.0,325.0,100.0,32500.0,324.0,1.0
2014-04-28,1.0,319.0,319.0,319.0,200.0,63800.0,325.0,-6.0
2014-04-29,2.0,319.0,313.0,313.0,445.0,141067.0,319.0,-6.0
2014-04-30,3.0,307.0,301.0,303.0,1383.0,420663.0,313.0,-10.0
2014-05-07,3.0,321.0,309.0,321.0,1148.0,359508.0,303.0,18.0
2014-05-08,2.0,315.0,309.0,309.0,200.0,62400.0,321.0,-12.0
2014-05-12,1.0,315.0,315.0,315.0,32.0,10080.0,309.0,6.0
2014-05-13,1.0,315.0,315.0,315.0,20.0,6300.0,315.0,0.0
2014-05-15,16.0,346.0,321.0,346.0,3244.0,1064400.0,315.0,31.0
2014-05-18,17.0,380.0,352.0,380.0,1937.0,730926.0,346.0,34.0
2014-05-19,6.0,378.0,368.0,368.0,1088.0,404732.0,380.0,-12.0
2014-05-22,1.0,375.0,375.0,375.0,59.0,22125.0,368.0,7.0
2014-05-26,1.0,368.0,368.0,368.0,150.0,55200.0,375.0,-7.0
2014-05-27,1.0,361.0,361.0,361.0,32.0,11552.0,368.0,-7.0
2014-05-28,8.0,355.0,339.0,339.0,1254.0,434780.0,361.0,-22.0
2014-06-02,1.0,345.0,345.0,345.0,50.0,17250.0,339.0,6.0
2014-06-03,2.0,355.0,351.0,355.0,1094.0,388114.0,345.0,10.0
2014-06-04,2.0,351.0,350.0,351.0,731.0,256350.0,355.0,-4.0
2014-06-05,2.0,355.0,351.0,355.0,89.0,31359.0,351.0,4.0
2014-06-08,3.0,369.0,362.0,369.0,406.0,147462.0,355.0,14.0
2014-06-10,1.0,372.0,372.0,372.0,250.0,93000.0,369.0,3.0
2014-06-11,3.0,366.0,362.0,362.0,892.0,324004.0,372.0,-10.0
2014-06-12,3.0,360.0,355.0,355.0,290.0,103600.0,362.0,-7.0
2014-06-16,1.0,348.0,348.0,348.0,306.0,106488.0,355.0,-7.0
2014-06-23,2.0,345.0,342.0,342.0,2200.0,753000.0,348.0,-6.0
2014-06-26,3.0,361.0,348.0,361.0,801.0,283821.0,342.0,19.0
2014-06-30,3.0,375.0,368.0,375.0,132.0,49066.0,361.0,14.0
2014-07-01,1.0,375.0,375.0,375.0,51.0,19125.0,375.0,0.0
2014-07-02,1.0,368.0,368.0,368.0,30.0,11040.0,375.0,-7.0
2014-07-06,2.0,361.0,361.0,361.0,80.0,28880.0,368.0,-7.0
2014-07-08,1.0,360.0,360.0,360.0,51.0,18360.0,361.0,-1.0
2014-07-09,3.0,362.0,355.0,355.0,1400.0,501515.0,360.0,-5.0
2014-07-16,5.0,375.0,362.0,375.0,1182.0,434835.0,355.0,20.0
2014-07-17,1.0,375.0,375.0,375.0,150.0,56250.0,375.0,0.0
2014-07-21,3.0,396.0,382.0,396.0,69.0,26778.0,375.0,21.0
2014-07-22,6.0,418.0,403.0,418.0,380.0,157280.0,396.0,22.0
2014-07-23,4.0,442.0,424.0,442.0,321.0,136704.0,418.0,24.0
2014-07-24,2.0,450.0,450.0,450.0,264.0,118800.0,442.0,8.0
2014-07-27,4.0,477.0,459.0,477.0,367.0,168813.0,450.0,27.0
2014-07-30,6.0,496.0,486.0,495.0,812.0,399410.0,477.0,18.0
2014-07-31,2.0,500.0,500.0,500.0,593.0,296500.0,495.0,5.0
2014-08-03,3.0,494.0,490.0,494.0,931.0,458190.0,500.0,-6.0
2014-08-04,2.0,485.0,484.0,484.0,227.0,110046.0,494.0,-10.0
2014-08-06,2.0,475.0,466.0,466.0,57.0,26895.0,484.0,-18.0
2014-08-07,1.0,475.0,475.0,475.0,1220.0,579500.0,466.0,9.0
2014-08-12,5.0,475.0,475.0,475.0,185.0,87875.0,475.0,0.0
2014-08-14,1.0,470.0,470.0,470.0,100.0,47000.0,475.0,-5.0
2014-08-18,3.0,461.0,455.0,455.0,406.0,186460.0,470.0,-15.0
2014-08-19,4.0,452.0,442.0,442.0,492.0,220112.0,455.0,-13.0
2014-08-20,8.0,440.0,402.0,410.0,1359.0,573498.0,442.0,-32.0
2014-08-21,3.0,410.0,402.0,410.0,877.0,357530.0,410.0,0.0
2014-08-24,2.0,402.0,394.0,394.0,104.0,41512.0,410.0,-16.0
2014-08-26,4.0,387.0,366.0,366.0,191.0,72503.0,394.0,-28.0
2014-08-27,3.0,373.0,366.0,373.0,700.0,257967.0,366.0,7.0
2014-08-28,3.0,387.0,380.0,387.0,451.0,173137.0,373.0,14.0
2014-08-31,1.0,380.0,380.0,380.0,235.0,89300.0,387.0,-7.0
2014-09-04,1.0,373.0,373.0,373.0,148.0,55204.0,380.0,-7.0
2014-09-11,2.0,366.0,366.0,359.0,70.0,25620.0,373.0,-7.0
2014-09-14,6.0,360.0,345.0,345.0,649.0,228040.0,366.0,-21.0
2014-09-15,2.0,340.0,339.0,340.0,123.0,41741.0,345.0,-5.0
2014-09-16,2.0,345.0,340.0,340.0,506.0,173040.0,340.0,0.0
2014-09-17,2.0,346.0,346.0,346.0,57.0,19722.0,340.0,6.0
2014-09-18,4.0,346.0,340.0,346.0,667.0,227182.0,346.0,0.0
2014-09-24,1.0,352.0,352.0,352.0,200.0,70400.0,346.0,6.0
2014-10-08,1.0,345.0,345.0,345.0,200.0,69000.0,352.0,-7.0
2014-10-14,1.0,340.0,340.0,340.0,94.0,31960.0,345.0,-5.0
2014-10-15,1.0,346.0,346.0,346.0,200.0,69200.0,340.0,6.0
2014-10-16,2.0,358.0,352.0,358.0,110.0,38780.0,346.0,12.0
2014-11-03,1.0,365.0,365.0,365.0,10.0,3650.0,358.0,7.0
2014-11-06,1.0,358.0,358.0,358.0,44.0,15752.0,365.0,-7.0
2014-11-11,5.0,351.0,340.0,350.0,1009.0,345734.0,358.0,-8.0
2014-11-12,1.0,345.0,345.0,345.0,51.0,17595.0,350.0,-5.0
2014-11-13,1.0,351.0,351.0,351.0,336.0,117936.0,345.0,6.0
2014-11-17,3.0,344.0,332.0,332.0,593.0,201796.0,351.0,-19.0
2014-11-20,2.0,326.0,320.0,320.0,121.0,39110.0,332.0,-12.0
2014-11-23,1.0,314.0,314.0,314.0,37.0,11618.0,320.0,-6.0
2014-11-25,1.0,308.0,308.0,308.0,32.0,9856.0,314.0,-6.0
