Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-14,1.0,201.0,201.0,201.0,195.0,39195.0,225.0,-24.0
2012-07-02,3.0,197.0,194.0,194.0,1356.0,263649.0,201.0,-7.0
2012-07-11,3.0,191.0,191.0,191.0,1050.0,200550.0,194.0,-3.0
2012-07-12,1.0,191.0,191.0,191.0,812.0,155092.0,191.0,0.0
2012-07-22,2.0,190.0,190.0,190.0,1145.0,217550.0,191.0,-1.0
2012-09-11,1.0,190.0,190.0,190.0,1622.0,308180.0,190.0,0.0
2012-11-22,1.0,193.0,193.0,193.0,1000.0,193000.0,190.0,3.0
2013-01-13,1.0,196.0,196.0,196.0,1000.0,196000.0,193.0,3.0
2013-01-17,1.0,196.0,196.0,196.0,24.0,4704.0,196.0,0.0
2013-01-22,3.0,196.0,196.0,196.0,586.0,114856.0,196.0,0.0
2013-01-27,2.0,196.0,193.0,193.0,581.0,113306.0,196.0,-3.0
2013-01-30,10.0,195.0,195.0,195.0,1036.0,202020.0,193.0,2.0
2013-02-03,1.0,196.0,196.0,196.0,98.0,19208.0,195.0,1.0
2013-05-19,5.0,199.0,199.0,199.0,1683.0,334917.0,196.0,3.0
2013-05-20,6.0,202.0,202.0,202.0,588.0,118776.0,199.0,3.0
2013-06-04,1.0,206.0,206.0,206.0,27.0,5562.0,202.0,4.0
2013-07-02,1.0,202.0,202.0,202.0,181.0,36562.0,206.0,-4.0
2013-07-17,8.0,209.0,205.0,205.0,2365.0,485609.0,202.0,3.0
2013-08-12,11.0,205.0,205.0,205.0,528.0,108240.0,205.0,0.0
2013-09-24,3.0,210.0,209.0,210.0,568.0,119212.0,205.0,5.0
2013-09-29,1.0,206.0,206.0,206.0,800.0,164800.0,210.0,-4.0
2014-01-23,1.0,210.0,210.0,210.0,1241.0,260610.0,206.0,4.0
2014-02-02,5.0,210.0,210.0,210.0,9313.0,1955730.0,210.0,0.0
2014-02-11,1.0,210.0,210.0,210.0,356.0,74760.0,210.0,0.0
2014-02-26,5.0,210.0,210.0,210.0,1799.0,377790.0,210.0,0.0
2014-03-10,1.0,210.0,210.0,210.0,151.0,31710.0,210.0,0.0
2014-03-24,11.0,210.0,210.0,210.0,651.0,136710.0,210.0,0.0
2014-05-08,1.0,180.0,180.0,180.0,45.0,8100.0,183.0,-3.0
2014-07-06,2.0,186.0,183.0,186.0,221.0,40812.0,180.0,6.0
2014-07-09,1.0,189.0,189.0,189.0,52.0,9828.0,186.0,3.0
2014-07-10,3.0,186.0,180.0,180.0,135.0,24705.0,189.0,-9.0
2014-07-13,3.0,189.0,183.0,189.0,210.0,39060.0,180.0,9.0
2014-07-14,1.0,192.0,192.0,192.0,405.0,77760.0,189.0,3.0
2014-07-16,2.0,198.0,195.0,198.0,106.0,20838.0,192.0,6.0
2014-07-17,1.0,201.0,201.0,201.0,999.0,200799.0,198.0,3.0
2014-07-22,1.0,205.0,205.0,205.0,999.0,204795.0,201.0,4.0
2014-08-03,1.0,209.0,209.0,209.0,36.0,7524.0,205.0,4.0
2014-08-04,2.0,217.0,213.0,217.0,170.0,36830.0,209.0,8.0
