Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-02-25,1.0,189.0,189.0,189.0,198256.0,37470384.0,200.0,-11.0
2014-03-03,1.0,189.0,189.0,189.0,174248.0,32932872.0,189.0,0.0
2014-10-30,1.0,192.0,192.0,192.0,2500.0,480000.0,189.0,3.0
2016-07-11,6.0,184.0,169.0,169.0,600.0,105900.0,187.0,-18.0
2016-07-13,6.0,166.0,153.0,153.0,600.0,95300.0,169.0,-16.0
2016-07-14,9.0,150.0,138.0,138.0,234403.0,32351814.0,153.0,-15.0
2016-07-18,3.0,138.0,138.0,138.0,210151.0,29000838.0,138.0,0.0
2016-09-06,2.0,138.0,138.0,138.0,124038.0,17117244.0,138.0,0.0
2018-05-23,7.0,150.0,138.0,138.0,10000.0,1385310.0,153.0,-15.0
2018-05-28,6.0,136.0,126.0,126.0,5000.0,630300.0,138.0,-12.0
2018-06-06,1.0,126.0,126.0,126.0,5000.0,630000.0,126.0,0.0
2018-07-10,5.0,126.0,126.0,126.0,43335.0,5460210.0,126.0,0.0
2019-10-14,1.0,126.0,126.0,126.0,60725.0,7651350.0,126.0,0.0
2021-08-26,1.0,476.0,476.0,476.0,48729.0,23195004.0,476.0,0.0
