Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-27,21.0,145.0,132.0,145.0,14607.0,1987564.0,0.0,145.0
2013-10-28,39.0,159.0,147.0,156.0,8780.0,1361355.0,145.0,11.0
2013-10-29,21.0,155.0,148.0,150.0,3789.0,570102.0,156.0,-6.0
2013-10-30,5.0,151.0,150.0,151.0,2197.0,331045.0,150.0,1.0
2013-10-31,9.0,150.0,148.0,150.0,3048.0,454067.0,151.0,-1.0
2013-11-06,4.0,150.0,147.0,147.0,1471.0,216800.0,150.0,-3.0
2013-11-07,5.0,149.0,145.0,148.0,2103.0,309011.0,147.0,1.0
2013-11-10,16.0,159.0,150.0,158.0,9018.0,1415275.0,148.0,10.0
2013-11-11,13.0,173.0,161.0,173.0,4127.0,697029.0,158.0,15.0
2013-11-12,51.0,190.0,175.0,190.0,15868.0,2959866.0,173.0,17.0
2013-11-13,43.0,201.0,188.0,200.0,14547.0,2844145.0,190.0,10.0
2013-11-14,32.0,200.0,193.0,195.0,7716.0,1523432.0,200.0,-5.0
2013-11-21,2.0,201.0,198.0,201.0,236.0,47082.0,195.0,6.0
2013-11-24,9.0,216.0,205.0,216.0,951.0,197220.0,201.0,15.0
2013-11-25,23.0,220.0,212.0,219.0,5056.0,1083440.0,216.0,3.0
2013-11-26,25.0,216.0,202.0,202.0,3424.0,727889.0,219.0,-17.0
2013-11-27,5.0,210.0,206.0,210.0,617.0,128770.0,202.0,8.0
2013-11-28,9.0,206.0,199.0,202.0,2370.0,475395.0,210.0,-8.0
2013-12-01,7.0,202.0,193.0,193.0,2531.0,497617.0,202.0,-9.0
2013-12-02,21.0,204.0,190.0,201.0,3617.0,712248.0,193.0,8.0
2013-12-03,16.0,221.0,203.0,221.0,9854.0,2139275.0,201.0,20.0
2013-12-04,10.0,243.0,225.0,243.0,2226.0,529698.0,221.0,22.0
2013-12-05,30.0,267.0,247.0,260.0,10702.0,2776678.0,243.0,17.0
2013-12-08,22.0,265.0,234.0,234.0,8333.0,2088057.0,260.0,-26.0
2013-12-09,27.0,233.0,218.0,230.0,12465.0,2836585.0,234.0,-4.0
2013-12-10,8.0,230.0,223.0,223.0,2245.0,507862.0,230.0,-7.0
2013-12-11,24.0,245.0,223.0,245.0,19203.0,4608266.0,223.0,22.0
2013-12-12,25.0,250.0,241.0,242.0,8608.0,2097795.0,245.0,-3.0
2013-12-15,19.0,255.0,240.0,255.0,5799.0,1412483.0,242.0,13.0
2013-12-16,1.0,260.0,260.0,260.0,20.0,5200.0,255.0,5.0
2013-12-18,1.0,265.0,265.0,265.0,300.0,79500.0,260.0,5.0
2013-12-19,25.0,285.0,270.0,285.0,11718.0,3216891.0,265.0,20.0
2013-12-22,22.0,280.0,257.0,261.0,6256.0,1648040.0,285.0,-24.0
2013-12-23,7.0,256.0,246.0,246.0,2235.0,566360.0,261.0,-15.0
2013-12-24,16.0,242.0,222.0,225.0,3586.0,834166.0,246.0,-21.0
2013-12-26,2.0,233.0,229.0,233.0,163.0,37727.0,225.0,8.0
2013-12-29,5.0,235.0,230.0,235.0,2605.0,606633.0,233.0,2.0
2013-12-31,16.0,253.0,239.0,249.0,4138.0,1016246.0,235.0,14.0
2014-01-01,24.0,253.0,241.0,241.0,5383.0,1330033.0,249.0,-8.0
2014-01-02,11.0,249.0,240.0,240.0,1962.0,477861.0,241.0,-1.0
2014-01-05,24.0,255.0,241.0,245.0,18981.0,4733988.0,240.0,5.0
2014-01-06,9.0,268.0,260.0,263.0,2585.0,684127.0,245.0,18.0
2014-01-07,11.0,260.0,254.0,259.0,2226.0,573691.0,263.0,-4.0
2014-01-08,6.0,257.0,255.0,257.0,917.0,234375.0,259.0,-2.0
2014-01-09,6.0,257.0,252.0,257.0,1706.0,433288.0,257.0,0.0
2014-01-12,4.0,257.0,247.0,247.0,1029.0,258683.0,257.0,-10.0
2014-01-13,19.0,256.0,246.0,255.0,9327.0,2351127.0,247.0,8.0
2014-01-14,11.0,256.0,251.0,256.0,3162.0,802524.0,255.0,1.0
2014-01-16,5.0,255.0,250.0,250.0,2067.0,522258.0,256.0,-6.0
2014-01-19,5.0,255.0,250.0,255.0,2764.0,703835.0,250.0,5.0
2014-01-20,14.0,265.0,255.0,265.0,3194.0,828549.0,255.0,10.0
2014-01-21,5.0,265.0,260.0,260.0,839.0,219272.0,265.0,-5.0
2014-01-22,6.0,255.0,246.0,246.0,621.0,154117.0,260.0,-14.0
2014-01-23,5.0,253.0,249.0,250.0,2929.0,732134.0,246.0,4.0
2014-01-26,7.0,260.0,250.0,255.0,3105.0,784270.0,250.0,5.0
2014-01-27,12.0,250.0,246.0,247.0,3384.0,838233.0,255.0,-8.0
2014-01-28,21.0,256.0,250.0,255.0,4221.0,1065153.0,247.0,8.0
2014-01-29,7.0,256.0,250.0,256.0,956.0,240405.0,255.0,1.0
2014-02-02,3.0,254.0,250.0,250.0,306.0,77535.0,256.0,-6.0
2014-02-03,15.0,253.0,245.0,245.0,6558.0,1621092.0,250.0,-5.0
2014-02-04,5.0,248.0,243.0,248.0,2268.0,553346.0,245.0,3.0
2014-02-05,1.0,248.0,248.0,248.0,150.0,37200.0,248.0,0.0
2014-02-06,11.0,258.0,246.0,258.0,3447.0,860935.0,248.0,10.0
2014-02-09,31.0,270.0,259.0,269.0,8140.0,2150485.0,258.0,11.0
2014-02-10,12.0,275.0,267.0,268.0,4942.0,1334673.0,269.0,-1.0
2014-02-11,14.0,278.0,265.0,265.0,36404.0,9835379.0,268.0,-3.0
2014-02-12,10.0,275.0,270.0,273.0,3065.0,838714.0,265.0,8.0
2014-02-13,18.0,275.0,270.0,275.0,3883.0,1064626.0,273.0,2.0
2014-02-16,12.0,280.0,266.0,270.0,3740.0,1014504.0,275.0,-5.0
2014-02-17,3.0,265.0,255.0,255.0,657.0,168520.0,270.0,-15.0
2014-02-18,6.0,260.0,255.0,255.0,2262.0,583565.0,255.0,0.0
2014-02-20,1.0,260.0,260.0,260.0,200.0,52000.0,255.0,5.0
