Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-01-08,1.0,100.0,100.0,100.0,14944.0,1494400.0,0.0,100.0
2014-03-20,5.0,110.0,102.0,110.0,7684.0,841440.0,100.0,10.0
2014-04-03,1.0,110.0,110.0,110.0,73938.0,8133180.0,110.0,0.0
2014-04-17,1.0,110.0,110.0,110.0,100.0,11000.0,110.0,0.0
2014-05-07,1.0,110.0,110.0,110.0,43421.0,4776310.0,110.0,0.0
2014-05-22,1.0,110.0,110.0,110.0,32946.0,3624060.0,110.0,0.0
2014-06-11,2.0,110.0,110.0,110.0,207337.0,22807070.0,110.0,0.0
2014-06-19,2.0,110.0,110.0,110.0,77696.0,8546560.0,110.0,0.0
2014-07-16,2.0,110.0,110.0,110.0,9546.0,1050060.0,110.0,0.0
2014-07-17,3.0,110.0,110.0,110.0,27552.0,3030720.0,110.0,0.0
2015-02-12,1.0,205.0,205.0,205.0,219761.0,45051005.0,205.0,0.0
2015-08-17,2.0,185.0,185.0,185.0,11760.0,2175600.0,186.0,-1.0
2017-01-24,1.0,562.0,562.0,562.0,5000.0,2810000.0,562.0,0.0
2017-03-26,1.0,551.0,551.0,551.0,350000.0,192850000.0,562.0,-11.0
2021-05-05,3.0,551.0,551.0,551.0,735000.0,236968776.0,551.0,0.0
2021-11-22,1.0,500.91,500.91,500.91,1000.0,351110.0,500.91,0.0
2022-03-22,1.0,451.0,451.0,451.0,340000.0,153340000.0,451.0,0.0
2022-03-27,1.0,451.0,451.0,451.0,340000.0,153340000.0,451.0,0.0
2022-03-30,1.0,451.0,451.0,451.0,242198.0,109231298.0,451.0,0.0
