Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-07-14,2.0,165.0,165.0,165.0,91.0,15015.0,168.0,-3.0
2014-07-15,4.0,168.0,162.0,168.0,659.0,107916.0,165.0,3.0
2014-07-16,2.0,165.0,162.0,162.0,977.0,159405.0,168.0,-6.0
2014-07-17,2.0,159.0,156.0,156.0,1278.0,200202.0,162.0,-6.0
2014-07-20,5.0,159.0,154.0,154.0,3136.0,489821.0,156.0,-2.0
2014-07-21,2.0,154.0,151.0,154.0,1136.0,173144.0,154.0,0.0
2014-07-22,4.0,157.0,151.0,151.0,797.0,121103.0,154.0,-3.0
2014-07-23,7.0,151.0,150.0,151.0,712.0,106900.0,151.0,0.0
2014-07-24,8.0,166.0,151.0,166.0,3200.0,502082.0,151.0,15.0
2014-07-27,42.0,182.0,166.0,182.0,16807.0,2935491.0,166.0,16.0
2014-07-28,7.0,186.0,182.0,185.0,5739.0,1060115.0,182.0,3.0
2014-07-30,25.0,185.0,167.0,177.0,14026.0,2454809.0,185.0,-8.0
2014-07-31,7.0,180.0,174.0,176.0,3945.0,691812.0,177.0,-1.0
2014-08-03,2.0,174.0,173.0,173.0,250.0,43300.0,176.0,-3.0
2014-08-05,2.0,170.0,167.0,167.0,202.0,34139.0,173.0,-6.0
2014-08-07,1.0,165.0,165.0,165.0,830.0,136950.0,167.0,-2.0
2014-08-14,2.0,162.0,159.0,159.0,81.0,12915.0,165.0,-6.0
2014-08-18,3.0,156.0,150.0,150.0,1235.0,189060.0,159.0,-9.0
2014-08-19,14.0,147.0,137.0,137.0,6210.0,880186.0,150.0,-13.0
2014-08-20,14.0,138.0,134.0,136.0,2534.0,344009.0,137.0,-1.0
2014-08-21,4.0,134.0,130.0,130.0,1275.0,166306.0,136.0,-6.0
2014-08-27,2.0,134.0,132.0,134.0,34.0,4520.0,130.0,4.0
2014-08-28,1.0,133.0,133.0,133.0,179.0,23807.0,134.0,-1.0
2014-08-31,4.0,139.0,135.0,139.0,850.0,117850.0,133.0,6.0
2014-09-03,5.0,137.0,135.0,135.0,4660.0,629180.0,139.0,-4.0
2014-09-04,6.0,143.0,137.0,143.0,605.0,84397.0,135.0,8.0
2014-09-09,1.0,145.0,145.0,145.0,100.0,14500.0,143.0,2.0
2014-09-10,1.0,143.0,143.0,143.0,552.0,78936.0,145.0,-2.0
2014-09-28,7.0,149.0,145.0,146.0,1218.0,178564.0,143.0,3.0
2014-09-29,5.0,145.0,143.0,145.0,1291.0,185969.0,146.0,-1.0
2014-10-21,2.0,147.0,147.0,147.0,40.0,5880.0,145.0,2.0
2014-10-27,3.0,154.0,149.0,154.0,187.0,28399.0,147.0,7.0
2014-11-16,1.0,151.0,151.0,151.0,70.0,10570.0,154.0,-3.0
2014-11-20,2.0,148.0,146.0,146.0,108.0,15908.0,151.0,-5.0
2014-12-01,3.0,150.0,147.0,150.0,142.0,21185.0,146.0,4.0
2014-12-03,1.0,147.0,147.0,147.0,100.0,14700.0,150.0,-3.0
2014-12-04,1.0,145.0,145.0,145.0,17.0,2465.0,147.0,-2.0
2014-12-16,8.0,143.0,131.0,131.0,280.0,38220.0,145.0,-14.0
2014-12-17,8.0,129.0,118.0,118.0,349.0,42369.0,131.0,-13.0
2014-12-18,31.0,116.0,107.0,113.0,9590.0,1040397.0,118.0,-5.0
2014-12-21,7.0,111.0,109.0,111.0,412.0,45654.0,113.0,-2.0
2014-12-22,8.0,115.0,112.0,114.0,3668.0,415220.0,111.0,3.0
2014-12-23,1.0,112.0,112.0,112.0,1000.0,112000.0,114.0,-2.0
2014-12-24,2.0,114.0,114.0,114.0,98.0,11172.0,112.0,2.0
2014-12-28,1.0,113.0,113.0,113.0,71.0,8023.0,114.0,-1.0
2014-12-31,1.0,111.0,111.0,111.0,162.0,17982.0,113.0,-2.0
2015-01-01,2.0,109.0,107.0,107.0,97.0,10425.0,111.0,-4.0
2015-01-04,3.0,108.0,105.0,108.0,1357.0,145109.0,107.0,1.0
2015-01-05,6.0,111.0,108.0,108.0,921.0,100404.0,108.0,0.0
2015-01-06,3.0,108.0,106.0,106.0,216.0,23138.0,108.0,-2.0
2015-01-07,2.0,105.0,104.0,104.0,143.0,14969.0,106.0,-2.0
2015-01-12,1.0,102.0,102.0,102.0,323.0,32946.0,104.0,-2.0
2015-01-14,2.0,102.0,100.0,100.0,32.0,3234.0,102.0,-2.0
2015-01-18,1.0,102.0,102.0,102.0,74.0,7548.0,100.0,2.0
2015-01-27,7.0,105.0,103.0,104.0,235.0,24422.0,102.0,2.0
2015-02-03,6.0,111.0,106.0,111.0,2438.0,267478.0,104.0,7.0
2015-02-04,11.0,120.0,112.0,120.0,2539.0,287719.0,111.0,9.0
2015-02-05,3.0,122.0,118.0,118.0,232.0,27696.0,120.0,-2.0
2015-02-08,4.0,119.0,115.0,115.0,1476.0,171892.0,118.0,-3.0
2015-02-09,8.0,119.0,115.0,119.0,1960.0,226621.0,115.0,4.0
2015-02-10,5.0,123.0,117.0,123.0,602.0,70944.0,119.0,4.0
2015-02-11,6.0,124.0,120.0,120.0,3627.0,437796.0,123.0,-3.0
2015-02-15,6.0,124.0,122.0,124.0,1222.0,149572.0,120.0,4.0
2015-02-22,12.0,122.0,112.0,112.0,1603.0,181734.0,124.0,-12.0
2015-02-23,9.0,110.0,104.0,110.0,656.0,70704.0,112.0,-2.0
2015-02-24,5.0,112.0,110.0,112.0,1368.0,152108.0,110.0,2.0
2015-02-26,6.0,120.0,114.0,120.0,1295.0,154690.0,112.0,8.0
2015-03-01,5.0,122.0,119.0,121.0,568.0,67966.0,120.0,1.0
2015-03-03,17.0,133.0,120.0,133.0,5934.0,763961.0,121.0,12.0
2015-03-04,21.0,146.0,135.0,146.0,6252.0,901075.0,133.0,13.0
