Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-06-13,3.0,162.0,162.0,162.0,26016.0,4214592.0,0.0,162.0
2013-06-16,4.0,162.0,162.0,162.0,28144.0,4559328.0,162.0,0.0
2013-06-18,4.0,162.0,162.0,162.0,26784.0,4339008.0,162.0,0.0
2013-06-19,2.0,162.0,162.0,162.0,13048.0,2113776.0,162.0,0.0
2013-07-18,2.0,162.0,162.0,162.0,15000.0,2430000.0,162.0,0.0
2013-08-01,1.0,162.0,162.0,162.0,5000.0,810000.0,162.0,0.0
2013-09-12,3.0,159.0,153.0,153.0,25000.0,3885000.0,162.0,-9.0
2013-09-15,1.0,153.0,153.0,153.0,20000.0,3060000.0,153.0,0.0
2013-10-27,1.0,153.0,153.0,153.0,24024.0,3675672.0,153.0,0.0
2013-12-08,1.0,150.0,150.0,150.0,46072.0,6910800.0,153.0,-3.0
2013-12-09,1.0,147.0,147.0,147.0,37960.0,5580120.0,150.0,-3.0
2013-12-10,1.0,145.0,145.0,145.0,24024.0,3483480.0,147.0,-2.0
2013-12-12,1.0,145.0,145.0,145.0,37752.0,5474040.0,145.0,0.0
2013-12-18,1.0,146.0,146.0,146.0,28050.0,4095300.0,145.0,1.0
2013-12-19,1.0,145.0,145.0,145.0,22000.0,3190000.0,146.0,-1.0
2013-12-23,4.0,145.0,143.0,145.0,58960.0,8532040.0,145.0,0.0
2013-12-24,4.0,145.0,144.0,145.0,19292.0,2793930.0,145.0,0.0
2013-12-26,8.0,148.0,145.0,148.0,80102.0,11770512.0,145.0,3.0
2014-04-09,4.0,150.0,150.0,150.0,113880.0,17082000.0,148.0,2.0
2014-05-13,4.0,153.0,153.0,153.0,25000.0,3825000.0,150.0,3.0
2014-05-15,1.0,153.0,153.0,153.0,100132.0,15320196.0,153.0,0.0
2014-07-13,2.0,153.0,153.0,153.0,108108.0,16540524.0,153.0,0.0
2014-07-15,8.0,160.0,153.0,160.0,147304.0,23327272.0,153.0,7.0
2014-07-16,5.0,160.0,160.0,160.0,60633.0,9701280.0,160.0,0.0
2014-08-25,1.0,160.0,160.0,160.0,3796.0,607360.0,160.0,0.0
2014-08-26,3.0,160.0,160.0,160.0,7592.0,1214720.0,160.0,0.0
2014-09-01,1.0,160.0,160.0,160.0,10810.0,1729600.0,160.0,0.0
2014-09-07,3.0,160.0,160.0,160.0,15004.0,2400640.0,160.0,0.0
2014-09-30,4.0,165.0,160.0,165.0,55651.0,9107780.0,160.0,5.0
2014-10-27,5.0,165.0,165.0,165.0,89633.0,14789445.0,165.0,0.0
2015-07-13,3.0,219.0,215.0,215.0,64378.0,13881270.0,219.0,-4.0
2015-12-29,8.0,295.0,280.0,280.0,235899.0,66241025.0,295.0,-15.0
2016-01-28,1.0,280.0,280.0,280.0,10000.0,2800000.0,280.0,0.0
2016-04-14,1.0,275.0,275.0,275.0,50000.0,13750000.0,280.0,-5.0
2016-05-17,1.0,280.0,280.0,280.0,80440.0,22523200.0,275.0,5.0
2016-06-09,1.0,280.0,280.0,280.0,22980.0,6434400.0,280.0,0.0
2016-06-30,2.0,280.0,280.0,280.0,14550.0,4074000.0,280.0,0.0
2016-07-03,1.0,285.0,285.0,285.0,7316.0,2085060.0,280.0,5.0
2016-07-10,1.0,285.0,285.0,285.0,24000.0,6840000.0,285.0,0.0
2016-07-11,2.0,285.0,285.0,285.0,12583.0,3586155.0,285.0,0.0
2016-07-19,4.0,285.0,285.0,285.0,17200.0,4902000.0,285.0,0.0
2017-01-10,1.0,285.0,285.0,285.0,13000.0,3705000.0,285.0,0.0
2017-08-30,5.0,275.0,260.0,275.0,59498.0,15791110.0,255.0,20.0
2017-10-12,2.0,270.0,265.0,265.0,2000.0,535000.0,275.0,-10.0
2017-10-15,2.0,260.0,255.0,255.0,2000.0,515000.0,265.0,-10.0
2017-10-16,1.0,250.0,250.0,250.0,34846.0,8711500.0,255.0,-5.0
2017-10-17,2.0,250.0,250.0,250.0,23476.0,5869000.0,250.0,0.0
2018-05-21,1.0,200.0,200.0,200.0,12700.0,2540000.0,200.0,0.0
2018-08-15,1.0,200.0,200.0,200.0,80000.0,16000000.0,200.0,0.0
2018-08-20,1.0,200.0,200.0,200.0,5000.0,1000000.0,200.0,0.0
2018-09-02,3.0,200.0,200.0,200.0,38591.0,7718200.0,200.0,0.0
2018-09-13,1.0,200.0,200.0,200.0,92344.0,18468800.0,200.0,0.0
2018-09-18,1.0,200.0,200.0,200.0,10819.0,2163800.0,200.0,0.0
2018-09-26,1.0,200.0,200.0,200.0,5000.0,1000000.0,200.0,0.0
2018-12-24,7.0,190.0,190.0,190.0,435000.0,82650000.0,190.0,0.0
2018-12-25,4.0,202.0,190.0,202.0,100000.0,19750000.0,190.0,12.0
2018-12-27,2.0,206.0,202.0,206.0,25000.0,5150000.0,202.0,4.0
2018-12-30,1.0,206.0,206.0,206.0,5385.0,1109310.0,206.0,0.0
2019-01-08,1.0,206.0,206.0,206.0,10000.0,2060000.0,206.0,0.0
2019-01-09,1.0,206.0,202.0,202.0,50000.0,10100000.0,206.0,-4.0
2019-01-10,1.0,202.0,198.0,198.0,50000.0,9900000.0,202.0,-4.0
2019-01-27,1.0,201.0,198.0,201.0,10000.0,2010000.0,198.0,3.0
2019-02-03,1.0,201.0,201.0,201.0,3000.0,603000.0,201.0,0.0
2019-05-19,1.0,201.0,201.0,201.0,83500.0,16783500.0,201.0,0.0
2019-05-20,5.0,201.0,201.0,201.0,147005.0,29548005.0,201.0,0.0
2019-05-22,1.0,201.0,201.0,201.0,5000.0,1005000.0,201.0,0.0
2019-07-29,2.0,201.0,201.0,201.0,47840.0,9615840.0,201.0,0.0
2019-08-25,1.0,201.0,201.0,201.0,37500.0,7537500.0,201.0,0.0
2019-10-02,1.0,201.0,201.0,201.0,11600.0,2331600.0,201.0,0.0
2019-10-31,1.0,201.0,201.0,201.0,300000.0,60300000.0,201.0,0.0
2019-11-04,1.0,201.0,201.0,201.0,46000.0,9246000.0,201.0,0.0
2019-11-11,1.0,201.0,201.0,201.0,105988.0,21303588.0,201.0,0.0
2019-11-18,2.0,200.0,200.0,200.0,132460.0,26492000.0,201.0,-1.0
2019-12-19,4.0,200.0,200.0,200.0,48556.0,9711200.0,200.0,0.0
2019-12-25,2.0,200.0,200.0,200.0,29126.0,5825200.0,200.0,0.0
2020-01-12,1.0,170.0,170.0,170.0,64960.0,11043200.0,172.41,-2.41
2020-01-15,1.0,173.0,173.0,173.0,18000.0,3114000.0,170.0,3.0
2020-01-27,2.0,173.0,173.0,173.0,150000.0,25950000.0,173.0,0.0
2020-01-30,1.0,173.0,173.0,173.0,25000.0,4325000.0,173.0,0.0
2020-02-20,1.0,173.0,173.0,173.0,38000.0,6574000.0,173.0,0.0
2020-02-23,2.0,173.0,173.0,173.0,34728.0,6007944.0,173.0,0.0
2020-07-13,5.0,140.0,140.0,140.0,106646.0,14930440.0,140.0,0.0
2020-07-15,3.0,140.0,140.0,140.0,107786.0,15090040.0,140.0,0.0
2020-09-15,1.0,152.0,152.0,152.0,208100.0,31631200.0,152.0,0.0
2020-09-22,1.0,152.0,152.0,152.0,23000.0,3496000.0,152.0,0.0
2020-10-20,4.0,152.0,152.0,152.0,63693.0,9681336.0,152.0,0.0
2020-11-01,2.0,150.0,150.0,150.0,13974.0,2096100.0,152.0,-2.0
2020-11-08,1.0,150.0,150.0,150.0,14732.0,2209800.0,150.0,0.0
2020-11-09,1.0,150.0,150.0,150.0,6500.0,975000.0,150.0,0.0
2020-11-12,1.0,153.0,153.0,153.0,31757.0,4858821.0,150.0,3.0
2020-12-08,1.0,156.0,156.0,156.0,7840.0,1223040.0,153.0,3.0
2020-12-15,6.0,154.0,154.0,154.0,72418.0,11152372.0,156.0,-2.0
2021-01-03,16.0,169.0,154.0,169.0,373911.0,58875573.0,154.0,15.0
2021-02-15,1.0,169.0,169.0,169.0,230000.0,38870000.0,169.0,0.0
2021-04-07,1.0,169.0,169.0,169.0,86250.0,14576250.0,169.0,0.0
2021-05-11,1.0,169.0,169.0,169.0,125396.0,21191924.0,169.0,0.0
2021-06-30,1.0,169.0,169.0,169.0,49989.0,8448141.0,169.0,0.0
2021-07-01,2.0,172.0,169.0,169.0,363662.0,61949864.0,169.0,0.0
2021-07-04,1.0,169.0,169.0,169.0,100000.0,16900000.0,169.0,0.0
2021-07-07,4.0,175.0,169.0,175.0,250000.0,43000000.0,169.0,6.0
2021-07-08,2.0,178.0,175.0,178.0,150000.0,26400000.0,175.0,3.0
2021-07-12,2.0,178.0,178.0,178.0,12000.0,2136000.0,178.0,0.0
2021-08-16,5.0,184.0,181.0,184.0,10750.0,1963000.0,178.0,6.0
2021-09-07,2.0,187.0,187.0,187.0,5000.0,935000.0,184.0,3.0
2021-09-08,14.0,187.0,187.0,187.0,35915.0,6716105.0,187.0,0.0
2021-09-26,1.0,187.0,187.0,187.0,88500.0,16549500.0,187.0,0.0
2021-09-30,2.0,187.1,187.0,187.1,64477.0,12060146.7,187.0,0.1
2021-10-04,1.0,188.0,188.0,188.0,410000.0,77080000.0,187.1,0.9
2021-10-05,3.0,188.0,188.0,188.0,242016.0,45499008.0,188.0,0.0
2021-10-19,2.0,188.0,188.0,188.0,7220.0,1357360.0,188.0,0.0
2021-10-20,1.0,188.0,188.0,188.0,1435.0,269780.0,188.0,0.0
2021-10-26,1.0,188.0,188.0,188.0,5000.0,940000.0,188.0,0.0
2021-11-03,1.0,188.0,188.0,188.0,83322.0,15664536.0,188.0,0.0
2021-11-22,2.0,188.0,188.0,188.0,7840.0,1473920.0,188.0,0.0
2021-11-23,4.0,188.0,188.0,188.0,90000.0,16920000.0,188.0,0.0
2021-11-24,1.0,188.0,188.0,188.0,38540.0,7245520.0,188.0,0.0
2021-11-28,1.0,188.0,188.0,188.0,75606.0,14213928.0,188.0,0.0
2021-11-30,10.0,188.0,188.0,188.0,101325.0,21347840.0,188.0,0.0
2021-12-06,6.0,195.0,188.0,195.0,98325.0,19112600.0,188.0,7.0
2021-12-07,1.0,195.0,195.0,195.0,5000.0,975000.0,195.0,0.0
2021-12-28,1.0,195.0,195.0,209.0,2000.0,418000.0,195.0,0.0
2022-01-05,1.0,205.0,205.0,205.0,350000.0,71750000.0,209.0,-4.0
2022-01-12,1.0,205.0,205.0,205.0,50000.0,10250000.0,205.0,0.0
2022-01-16,1.0,205.0,205.0,205.0,3816.0,782280.0,205.0,0.0
2022-02-27,1.0,205.0,205.0,205.0,50000.0,10250000.0,205.0,0.0
2022-03-06,3.0,205.0,205.0,205.0,6000.0,1390000.0,205.0,0.0
2022-03-21,1.0,205.0,205.0,205.0,14629.0,2998945.0,205.0,0.0
2022-04-05,5.0,205.0,205.0,205.0,60675.0,11574344.55,205.0,0.0
2022-04-24,1.0,205.0,205.0,205.0,135000.0,27675000.0,205.0,0.0
2022-05-04,1.0,205.0,205.0,205.0,42055.0,8621275.0,205.0,0.0
2022-07-07,1.0,140.0,140.0,140.0,3480.0,487200.0,140.0,0.0
