Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,3.0,87.0,87.0,87.0,70.0,6090.0,88.0,-1.0
2012-06-10,1.0,87.0,87.0,87.0,30.0,2610.0,87.0,0.0
2012-06-11,1.0,87.0,87.0,87.0,1050.0,91350.0,87.0,0.0
2012-06-12,1.0,86.0,86.0,86.0,930.0,79980.0,87.0,-1.0
2012-06-13,53.0,87.0,87.0,87.0,930.0,80910.0,86.0,1.0
2012-06-19,14.0,87.0,87.0,87.0,200.0,17400.0,87.0,0.0
2012-06-20,24.0,87.0,87.0,87.0,390.0,33930.0,87.0,0.0
2012-06-26,15.0,86.0,85.0,85.0,820.0,69790.0,87.0,-2.0
2012-07-03,3.0,84.0,84.0,84.0,30.0,2520.0,85.0,-1.0
2012-07-04,7.0,85.0,84.0,84.0,850.0,72060.0,84.0,0.0
2012-07-05,32.0,83.0,80.0,80.0,800.0,64660.0,84.0,-4.0
2012-07-08,1.0,80.0,80.0,80.0,30.0,2400.0,80.0,0.0
2012-07-10,35.0,81.0,77.0,77.0,800.0,64130.0,80.0,-3.0
2012-07-11,17.0,77.0,75.0,77.0,470.0,35720.0,77.0,0.0
2012-07-12,5.0,77.0,76.0,76.0,140.0,10690.0,77.0,-1.0
2012-07-15,14.0,75.0,75.0,75.0,140.0,10500.0,76.0,-1.0
2012-07-16,35.0,74.0,73.0,73.0,420.0,30790.0,75.0,-2.0
2012-07-17,16.0,72.0,71.0,71.0,680.0,48880.0,73.0,-2.0
2012-07-18,10.0,71.0,71.0,71.0,100.0,7100.0,71.0,0.0
2012-07-24,2.0,70.0,70.0,70.0,100.0,7000.0,71.0,-1.0
2012-07-25,1.0,70.0,70.0,70.0,150.0,10500.0,70.0,0.0
2012-07-26,5.0,70.0,69.0,69.0,200.0,13960.0,70.0,-1.0
2012-07-29,9.0,73.0,70.0,73.0,170.0,12130.0,69.0,4.0
2012-08-01,50.0,72.0,70.0,72.0,740.0,52740.0,73.0,-1.0
2012-08-05,2.0,71.0,70.0,70.0,70.0,4930.0,72.0,-2.0
2012-08-06,10.0,72.0,69.0,72.0,220.0,15550.0,70.0,2.0
2012-08-07,3.0,73.0,72.0,73.0,420.0,30650.0,72.0,1.0
2012-08-08,2.0,74.0,73.0,74.0,110.0,8130.0,73.0,1.0
2012-08-12,2.0,75.0,75.0,75.0,40.0,3000.0,74.0,1.0
2012-08-13,5.0,74.0,73.0,73.0,50.0,3690.0,75.0,-2.0
2012-08-14,21.0,75.0,73.0,73.0,270.0,19940.0,73.0,0.0
2012-08-16,2.0,72.0,72.0,72.0,20.0,1440.0,73.0,-1.0
2012-08-19,9.0,73.0,72.0,73.0,190.0,13740.0,72.0,1.0
2012-08-21,9.0,75.0,72.0,75.0,480.0,35160.0,73.0,2.0
2012-08-22,1.0,75.0,75.0,75.0,10.0,750.0,75.0,0.0
2012-08-26,9.0,74.0,71.0,71.0,340.0,24550.0,75.0,-4.0
2012-08-27,4.0,70.0,69.0,69.0,170.0,11850.0,71.0,-2.0
2012-08-29,9.0,68.0,67.0,67.0,180.0,12160.0,69.0,-2.0
2012-09-02,13.0,71.0,69.0,71.0,270.0,18890.0,67.0,4.0
2012-09-03,21.0,71.0,69.0,69.0,360.0,25130.0,71.0,-2.0
2012-09-05,1.0,68.0,68.0,68.0,20.0,1360.0,69.0,-1.0
2012-09-10,5.0,67.0,65.0,65.0,50.0,3290.0,68.0,-3.0
2012-09-11,7.0,68.0,66.0,68.0,290.0,19210.0,65.0,3.0
2012-09-13,18.0,71.0,67.0,71.0,230.0,15970.0,68.0,3.0
2012-09-16,1.0,70.0,70.0,70.0,100.0,7000.0,71.0,-1.0
2012-09-17,2.0,70.0,70.0,70.0,60.0,4200.0,70.0,0.0
2012-09-19,3.0,71.0,71.0,71.0,70.0,4970.0,70.0,1.0
2012-09-20,3.0,70.0,70.0,70.0,100.0,7000.0,71.0,-1.0
2012-09-23,6.0,71.0,70.0,71.0,220.0,15560.0,70.0,1.0
2012-09-24,9.0,72.0,71.0,72.0,300.0,21520.0,71.0,1.0
2012-09-25,21.0,74.0,73.0,74.0,510.0,37290.0,72.0,2.0
2012-09-26,16.0,73.0,73.0,73.0,690.0,50370.0,74.0,-1.0
2012-09-27,14.0,74.0,73.0,74.0,1300.0,95900.0,73.0,1.0
2012-09-30,2.0,73.0,73.0,73.0,40.0,2920.0,74.0,-1.0
2012-10-03,5.0,73.0,73.0,73.0,130.0,9490.0,73.0,0.0
2012-10-07,1.0,74.0,74.0,74.0,10.0,740.0,73.0,1.0
2012-10-09,9.0,75.0,74.0,75.0,100.0,7480.0,74.0,1.0
2012-10-10,7.0,75.0,74.0,75.0,110.0,8190.0,75.0,0.0
2012-10-11,1.0,74.0,74.0,74.0,40.0,2960.0,75.0,-1.0
