Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-23,8.0,105.0,105.0,105.0,120.0,12600.0,0.0,105.0
2013-11-06,77.0,103.0,103.0,103.0,770.0,79310.0,105.0,-2.0
2013-12-02,5.0,102.0,100.0,100.0,190.0,19060.0,103.0,-3.0
2013-12-03,8.0,110.0,100.0,110.0,760.0,81920.0,100.0,10.0
2013-12-04,13.0,115.0,105.0,115.0,1750.0,190970.0,110.0,5.0
2013-12-05,12.0,124.0,117.0,120.0,590.0,70710.0,115.0,5.0
2013-12-08,34.0,128.0,122.0,124.0,3620.0,450810.0,120.0,4.0
2013-12-09,16.0,126.0,124.0,126.0,1090.0,136410.0,124.0,2.0
2013-12-10,7.0,124.0,122.0,122.0,200.0,24600.0,126.0,-4.0
2013-12-11,34.0,128.0,121.0,121.0,1220.0,152430.0,122.0,-1.0
2013-12-12,5.0,119.0,117.0,117.0,430.0,50570.0,121.0,-4.0
2013-12-15,18.0,117.0,115.0,117.0,480.0,55640.0,117.0,0.0
2013-12-16,22.0,119.0,115.0,119.0,930.0,109570.0,117.0,2.0
2013-12-18,8.0,121.0,118.0,121.0,550.0,66080.0,119.0,2.0
2013-12-19,6.0,125.0,123.0,125.0,190.0,23730.0,121.0,4.0
2013-12-22,31.0,128.0,123.0,123.0,1540.0,192660.0,125.0,-2.0
2013-12-31,24.0,121.0,121.0,121.0,440.0,53240.0,123.0,-2.0
2014-01-01,6.0,119.0,117.0,117.0,100.0,11800.0,121.0,-4.0
2014-01-02,15.0,115.0,109.0,109.0,310.0,34870.0,117.0,-8.0
2014-01-05,35.0,109.0,105.0,107.0,1860.0,199450.0,109.0,-2.0
2014-01-06,21.0,107.0,105.0,107.0,440.0,46860.0,107.0,0.0
2014-01-07,43.0,107.0,105.0,105.0,1030.0,108790.0,107.0,-2.0
2014-01-08,36.0,113.0,104.0,111.0,1340.0,145260.0,105.0,6.0
2014-01-09,48.0,109.0,107.0,108.0,650.0,70250.0,111.0,-3.0
2014-01-12,6.0,109.0,106.0,109.0,310.0,33080.0,108.0,1.0
2014-01-13,10.0,113.0,111.0,111.0,200.0,22220.0,109.0,2.0
2014-01-14,19.0,109.0,107.0,108.0,310.0,33520.0,111.0,-3.0
2014-01-16,11.0,108.0,107.0,108.0,150.0,16110.0,108.0,0.0
2014-01-19,9.0,108.0,105.0,108.0,250.0,26650.0,108.0,0.0
2014-01-20,20.0,110.0,108.0,108.0,700.0,76380.0,108.0,0.0
2014-01-21,11.0,110.0,107.0,110.0,590.0,64020.0,108.0,2.0
2014-01-22,13.0,115.0,112.0,115.0,360.0,41010.0,110.0,5.0
2014-01-23,19.0,120.0,116.0,120.0,1310.0,155300.0,115.0,5.0
2014-01-26,26.0,128.0,120.0,128.0,1380.0,172090.0,120.0,8.0
2014-01-27,61.0,140.0,130.0,140.0,5490.0,763740.0,128.0,12.0
2014-01-28,21.0,140.0,132.0,132.0,620.0,83480.0,140.0,-8.0
2014-01-29,70.0,134.0,128.0,128.0,1100.0,144500.0,132.0,-4.0
2014-02-02,27.0,130.0,128.0,128.0,700.0,90600.0,128.0,0.0
2014-02-03,39.0,138.0,122.0,138.0,1610.0,207500.0,128.0,10.0
2014-02-04,29.0,136.0,125.0,125.0,490.0,63450.0,138.0,-13.0
2014-02-05,30.0,125.0,122.0,125.0,1150.0,142230.0,125.0,0.0
2014-02-06,61.0,135.0,122.0,135.0,950.0,120810.0,125.0,10.0
2014-02-09,46.0,133.0,124.0,124.0,710.0,91010.0,135.0,-11.0
2014-02-10,17.0,128.0,124.0,128.0,260.0,32840.0,124.0,4.0
2014-02-11,30.0,126.0,123.0,123.0,1630.0,202230.0,128.0,-5.0
2014-02-12,69.0,122.0,114.0,122.0,4130.0,492140.0,123.0,-1.0
2014-02-13,31.0,123.0,122.0,122.0,660.0,80680.0,122.0,0.0
2014-02-16,55.0,121.0,116.0,120.0,1980.0,236370.0,122.0,-2.0
2014-02-17,23.0,118.0,115.0,115.0,380.0,44010.0,120.0,-5.0
2014-02-18,25.0,118.0,114.0,117.0,420.0,48770.0,115.0,2.0
2014-02-20,16.0,122.0,119.0,122.0,330.0,39600.0,117.0,5.0
2014-02-23,10.0,122.0,122.0,122.0,220.0,26840.0,122.0,0.0
2014-02-24,23.0,126.0,124.0,125.0,810.0,101540.0,122.0,3.0
2014-02-25,39.0,129.0,125.0,128.0,1670.0,212580.0,125.0,3.0
2014-03-03,17.0,126.0,122.0,122.0,570.0,70700.0,128.0,-6.0
2014-03-04,32.0,122.0,116.0,117.0,910.0,106770.0,122.0,-5.0
2014-03-05,39.0,120.0,115.0,119.0,630.0,74790.0,117.0,2.0
2014-03-06,31.0,119.0,115.0,118.0,2220.0,261350.0,119.0,-1.0
2014-03-09,12.0,118.0,116.0,116.0,670.0,78420.0,118.0,-2.0
2014-03-10,42.0,118.0,115.0,118.0,1850.0,217010.0,116.0,2.0
2014-03-11,49.0,117.0,114.0,116.0,940.0,108590.0,118.0,-2.0
2014-03-12,1.0,114.0,114.0,114.0,10.0,1140.0,116.0,-2.0
2014-03-13,14.0,112.0,111.0,112.0,310.0,34630.0,114.0,-2.0
2014-03-17,33.0,116.0,110.0,115.0,1380.0,157420.0,112.0,3.0
2014-03-18,26.0,113.0,111.0,111.0,2180.0,245940.0,115.0,-4.0
2014-03-19,14.0,115.0,109.0,115.0,460.0,51070.0,111.0,4.0
2014-03-20,14.0,113.0,109.0,109.0,310.0,34010.0,115.0,-6.0
2014-03-23,27.0,112.0,107.0,112.0,750.0,81340.0,109.0,3.0
2014-03-24,6.0,110.0,110.0,110.0,450.0,49500.0,112.0,-2.0
2014-03-25,2.0,110.0,108.0,110.0,30.0,3260.0,110.0,0.0
2014-03-26,6.0,112.0,108.0,112.0,110.0,12100.0,110.0,2.0
2014-03-27,13.0,112.0,110.0,112.0,430.0,47460.0,112.0,0.0
2014-03-31,16.0,112.0,109.0,112.0,340.0,37690.0,112.0,0.0
2014-04-01,21.0,116.0,112.0,116.0,490.0,55360.0,112.0,4.0
2014-04-02,16.0,116.0,114.0,116.0,380.0,43770.0,116.0,0.0
2014-04-03,8.0,114.0,113.0,114.0,660.0,74720.0,116.0,-2.0
2014-04-06,11.0,116.0,114.0,116.0,220.0,25270.0,114.0,2.0
2014-04-07,4.0,116.0,116.0,116.0,160.0,18560.0,116.0,0.0
2014-04-09,24.0,124.0,118.0,122.0,1600.0,194660.0,116.0,6.0
2014-04-10,9.0,127.0,124.0,126.0,1120.0,140360.0,122.0,4.0
2014-04-13,30.0,131.0,125.0,131.0,2250.0,289060.0,126.0,5.0
2014-04-15,12.0,132.0,131.0,131.0,460.0,60390.0,131.0,0.0
2014-04-16,36.0,130.0,125.0,126.0,560.0,71640.0,131.0,-5.0
2014-04-17,25.0,125.0,120.0,120.0,710.0,86730.0,126.0,-6.0
2014-04-20,27.0,118.0,116.0,118.0,730.0,86000.0,120.0,-2.0
2014-04-21,11.0,118.0,116.0,118.0,190.0,22380.0,118.0,0.0
2014-04-22,28.0,124.0,116.0,120.0,1230.0,147760.0,118.0,2.0
2014-04-23,18.0,122.0,119.0,120.0,920.0,110660.0,120.0,0.0
2014-04-27,25.0,132.0,118.0,132.0,830.0,105880.0,120.0,12.0
2014-04-28,67.0,145.0,130.0,145.0,8650.0,1215670.0,132.0,13.0
2014-04-29,18.0,147.0,143.0,145.0,910.0,131750.0,145.0,0.0
2014-04-30,5.0,143.0,143.0,143.0,300.0,42900.0,145.0,-2.0
2014-05-04,5.0,141.0,139.0,139.0,320.0,45080.0,143.0,-4.0
2014-05-05,6.0,139.0,135.0,135.0,130.0,17870.0,139.0,-4.0
2014-05-06,17.0,133.0,127.0,127.0,670.0,86050.0,135.0,-8.0
2014-05-07,11.0,130.0,125.0,130.0,190.0,24090.0,127.0,3.0
2014-05-08,57.0,130.0,127.0,130.0,1030.0,132940.0,130.0,0.0
2014-05-11,39.0,130.0,126.0,129.0,960.0,122740.0,130.0,-1.0
2014-05-12,41.0,132.0,129.0,132.0,1320.0,172070.0,129.0,3.0
2014-05-13,8.0,131.0,127.0,129.0,2000.0,256300.0,132.0,-3.0
2014-05-15,8.0,127.0,127.0,127.0,180.0,22860.0,129.0,-2.0
2014-05-18,3.0,129.0,126.0,129.0,40.0,5110.0,127.0,2.0
2014-05-19,10.0,130.0,126.0,129.0,280.0,36010.0,129.0,0.0
2014-05-20,34.0,141.0,130.0,141.0,1170.0,159580.0,129.0,12.0
2014-05-21,25.0,143.0,137.0,137.0,500.0,69150.0,141.0,-4.0
2014-05-22,9.0,137.0,135.0,137.0,880.0,120400.0,137.0,0.0
2014-05-25,10.0,141.0,139.0,139.0,300.0,41850.0,137.0,2.0
2014-05-26,27.0,137.0,135.0,137.0,1570.0,214090.0,139.0,-2.0
2014-05-27,32.0,137.0,135.0,136.0,1210.0,164880.0,137.0,-1.0
2014-05-28,25.0,134.0,130.0,132.0,410.0,54180.0,136.0,-4.0
2014-06-01,19.0,138.0,134.0,137.0,650.0,88290.0,132.0,5.0
2014-06-02,22.0,139.0,135.0,139.0,780.0,106800.0,137.0,2.0
2014-06-03,6.0,137.0,135.0,135.0,90.0,12170.0,139.0,-4.0
2014-06-04,30.0,135.0,127.0,127.0,1310.0,170110.0,135.0,-8.0
2014-06-05,57.0,130.0,125.0,128.0,1610.0,204550.0,127.0,1.0
2014-06-08,19.0,130.0,126.0,129.0,460.0,58970.0,128.0,1.0
