Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-05-20,1.0,116.0,116.0,116.0,10.0,1160.0,118.0,-2.0
2013-05-23,1.0,114.0,114.0,114.0,489.0,55746.0,116.0,-2.0
2013-05-26,1.0,116.0,116.0,116.0,10.0,1160.0,114.0,2.0
2013-05-28,6.0,114.0,105.0,105.0,66.0,7222.0,116.0,-11.0
2013-06-13,3.0,103.0,99.0,99.0,30.0,3030.0,105.0,-6.0
2013-06-26,9.0,98.0,92.0,92.0,250.0,24050.0,99.0,-7.0
2013-06-27,9.0,91.0,83.0,83.0,512.0,44487.0,92.0,-9.0
2013-07-01,1.0,82.0,82.0,82.0,20.0,1640.0,83.0,-1.0
2013-07-11,5.0,81.0,77.0,77.0,50.0,3950.0,82.0,-5.0
2013-07-15,3.0,76.0,76.0,76.0,115.0,8740.0,77.0,-1.0
2013-07-17,1.0,73.0,73.0,73.0,100.0,7300.0,76.0,-3.0
2013-07-18,1.0,72.0,72.0,72.0,10.0,720.0,73.0,-1.0
2013-07-21,1.0,72.0,72.0,72.0,20.0,1440.0,72.0,0.0
2013-07-22,2.0,71.0,70.0,70.0,32.0,2260.0,72.0,-2.0
2013-07-25,32.0,69.0,63.0,63.0,108561.0,7053612.0,70.0,-7.0
2013-07-28,5.0,63.0,62.0,63.0,274.0,17162.0,63.0,0.0
2013-08-04,1.0,62.0,62.0,62.0,400.0,24800.0,63.0,-1.0
2013-08-05,2.0,61.0,61.0,61.0,520.0,31720.0,62.0,-1.0
2013-08-08,1.0,60.0,60.0,60.0,480.0,28800.0,61.0,-1.0
2013-08-12,1.0,59.0,59.0,59.0,120.0,7080.0,60.0,-1.0
2013-08-14,3.0,62.0,60.0,62.0,210.0,12900.0,59.0,3.0
2013-08-18,2.0,64.0,63.0,64.0,160.0,10140.0,62.0,2.0
2013-08-20,1.0,63.0,63.0,63.0,900.0,56700.0,64.0,-1.0
2013-08-27,4.0,62.0,60.0,60.0,40834.0,2513213.0,63.0,-3.0
2013-09-10,1.0,61.0,61.0,61.0,75.0,4575.0,60.0,1.0
2013-09-17,4.0,62.0,60.0,62.0,1011.0,61972.0,61.0,1.0
2013-09-22,1.0,63.0,63.0,63.0,16.0,1008.0,62.0,1.0
2013-10-07,4.0,62.0,62.0,62.0,190.0,11780.0,63.0,-1.0
2013-10-08,4.0,63.0,60.0,60.0,363.0,22356.0,62.0,-2.0
2013-10-10,1.0,60.0,60.0,60.0,450.0,27000.0,60.0,0.0
2013-10-21,1.0,61.0,61.0,61.0,6585.0,401685.0,60.0,1.0
2013-10-29,1.0,62.0,62.0,62.0,11.0,682.0,61.0,1.0
2013-11-26,3.0,62.0,62.0,62.0,99.0,6138.0,62.0,0.0
2013-11-27,1.0,63.0,63.0,63.0,253.0,15939.0,62.0,1.0
2013-12-09,4.0,69.0,66.0,69.0,40.0,2700.0,63.0,6.0
2013-12-10,6.0,75.0,70.0,75.0,167.0,11840.0,69.0,6.0
2013-12-11,2.0,77.0,76.0,77.0,150.0,11500.0,75.0,2.0
2013-12-12,9.0,84.0,78.0,84.0,422.0,35238.0,77.0,7.0
2013-12-18,2.0,86.0,85.0,86.0,100.0,8550.0,84.0,2.0
2013-12-19,1.0,87.0,87.0,87.0,10.0,870.0,86.0,1.0
2013-12-24,7.0,93.0,87.0,93.0,160.0,14130.0,87.0,6.0
2013-12-26,1.0,94.0,94.0,94.0,127.0,11938.0,93.0,1.0
2013-12-31,7.0,97.0,94.0,97.0,2022.0,191110.0,94.0,3.0
2014-01-06,1.0,98.0,98.0,98.0,1040.0,101920.0,97.0,1.0
2014-01-09,1.0,97.0,97.0,97.0,1000.0,97000.0,98.0,-1.0
2014-01-12,1.0,96.0,96.0,96.0,100.0,9600.0,97.0,-1.0
2014-01-14,2.0,96.0,96.0,96.0,976.0,93696.0,96.0,0.0
2014-01-20,1.0,97.0,97.0,97.0,1000.0,97000.0,96.0,1.0
2014-01-21,1.0,96.0,96.0,96.0,10.0,960.0,97.0,-1.0
2014-01-22,8.0,99.0,95.0,99.0,2718.0,264715.0,96.0,3.0
2014-01-23,1.0,100.0,100.0,100.0,198.0,19800.0,99.0,1.0
2014-01-26,1.0,98.0,98.0,98.0,2307.0,226086.0,100.0,-2.0
2014-01-27,7.0,107.0,99.0,107.0,3500.0,366200.0,98.0,9.0
2014-01-28,11.0,117.0,109.0,117.0,12930.0,1499010.0,107.0,10.0
2014-01-29,24.0,128.0,119.0,128.0,20523.0,2580920.0,117.0,11.0
2014-02-02,16.0,140.0,130.0,140.0,3842.0,525950.0,128.0,12.0
2014-02-04,1.0,138.0,138.0,138.0,200.0,27600.0,140.0,-2.0
2014-02-10,2.0,140.0,138.0,140.0,941.0,130258.0,138.0,2.0
2014-02-23,7.0,138.0,134.0,134.0,1380.0,188336.0,140.0,-6.0
2014-02-24,1.0,132.0,132.0,132.0,480.0,63360.0,134.0,-2.0
