Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-06-04,4.0,170.0,170.0,170.0,40.0,6800.0,178.0,-8.0
2012-06-10,11.0,170.0,170.0,170.0,180.0,30600.0,170.0,0.0
2012-06-11,7.0,162.0,162.0,162.0,370.0,59940.0,170.0,-8.0
2012-06-12,1.0,154.0,154.0,154.0,10.0,1540.0,162.0,-8.0
2012-06-17,2.0,147.0,147.0,147.0,20.0,2940.0,154.0,-7.0
2012-06-21,1.0,140.0,140.0,140.0,10.0,1400.0,147.0,-7.0
2012-06-28,5.0,134.0,128.0,128.0,80.0,10380.0,140.0,-12.0
2012-07-03,5.0,122.0,118.0,118.0,50.0,5960.0,128.0,-10.0
2012-07-04,12.0,113.0,107.0,107.0,130.0,14110.0,118.0,-11.0
2012-07-05,48.0,102.0,102.0,102.0,500.0,51000.0,107.0,-5.0
2012-07-08,15.0,102.0,102.0,102.0,450.0,45900.0,102.0,0.0
2012-07-11,20.0,102.0,102.0,102.0,200.0,20400.0,102.0,0.0
2012-07-12,2.0,102.0,102.0,102.0,20.0,2040.0,102.0,0.0
2012-07-15,22.0,102.0,102.0,102.0,440.0,44880.0,102.0,0.0
2012-07-16,26.0,102.0,102.0,102.0,260.0,26520.0,102.0,0.0
2012-07-17,4.0,97.0,96.0,96.0,60.0,5810.0,102.0,-6.0
2012-07-24,1.0,92.0,92.0,92.0,10.0,920.0,96.0,-4.0
2012-07-26,28.0,88.0,83.0,84.0,410.0,34910.0,92.0,-8.0
2012-07-29,99.0,82.0,78.0,80.0,1620.0,130580.0,84.0,-4.0
2012-07-30,118.0,79.0,77.0,78.0,1820.0,142590.0,80.0,-2.0
2012-07-31,72.0,78.0,74.0,74.0,1170.0,89810.0,78.0,-4.0
2012-08-01,53.0,76.0,72.0,73.0,1140.0,85420.0,74.0,-1.0
2012-08-05,71.0,75.0,73.0,74.0,980.0,72590.0,73.0,1.0
2012-08-06,5.0,75.0,74.0,75.0,50.0,3730.0,74.0,1.0
2012-08-07,43.0,75.0,73.0,74.0,500.0,37060.0,75.0,-1.0
2012-08-08,30.0,73.0,71.0,71.0,970.0,69230.0,74.0,-3.0
2012-08-12,33.0,72.0,68.0,71.0,760.0,53090.0,71.0,0.0
2012-08-13,10.0,71.0,69.0,70.0,160.0,11220.0,71.0,-1.0
2012-08-14,40.0,71.0,69.0,69.0,490.0,34470.0,70.0,-1.0
2012-08-15,15.0,70.0,70.0,70.0,320.0,22400.0,69.0,1.0
