Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2014-07-13,1.0,306.0,306.0,306.0,11.0,3366.0,0.0,306.0
2014-07-14,3.0,324.0,312.0,324.0,40.0,12678.0,306.0,18.0
2014-07-15,2.0,336.0,330.0,336.0,22.0,7326.0,324.0,12.0
2014-07-17,1.0,352.0,352.0,352.0,10.0,3520.0,336.0,16.0
2014-07-20,1.0,369.0,369.0,369.0,10.0,3690.0,352.0,17.0
2014-07-22,5.0,404.0,376.0,404.0,50.0,19500.0,369.0,35.0
2014-07-23,3.0,428.0,412.0,428.0,30.0,12600.0,404.0,24.0
2014-07-24,6.0,470.0,436.0,470.0,216.0,100607.0,428.0,42.0
2014-07-30,2.0,488.0,479.0,488.0,105.0,51141.0,470.0,18.0
2014-07-31,1.0,497.0,497.0,497.0,19.0,9443.0,488.0,9.0
2014-08-03,5.0,541.0,521.0,541.0,52.0,27422.0,497.0,44.0
2014-08-04,8.0,595.0,551.0,595.0,88.0,51150.0,541.0,54.0
2014-08-05,4.0,642.0,606.0,642.0,44.0,27456.0,595.0,47.0
2014-08-06,85.0,706.0,654.0,706.0,1816.0,1279652.0,642.0,64.0
2014-08-07,1224.0,765.0,706.0,750.0,29164.0,21297738.0,706.0,44.0
2014-08-12,511.0,779.0,740.0,775.0,12376.0,9437840.0,750.0,25.0
2014-08-13,428.0,780.0,755.0,772.0,11270.0,8629110.0,775.0,-3.0
2014-08-14,297.0,764.0,745.0,751.0,7896.0,5982425.0,772.0,-21.0
2014-08-18,264.0,751.0,700.0,710.0,6394.0,4693764.0,751.0,-41.0
2014-08-19,326.0,722.0,700.0,719.0,5855.0,4176914.0,710.0,9.0
2014-08-20,225.0,715.0,688.0,701.0,4859.0,3419529.0,719.0,-18.0
2014-08-21,149.0,689.0,645.0,689.0,4349.0,2911504.0,701.0,-12.0
2014-08-24,164.0,699.0,657.0,670.0,3226.0,2205419.0,689.0,-19.0
2014-08-25,141.0,670.0,605.0,620.0,2945.0,1839716.0,670.0,-50.0
2014-08-26,183.0,644.0,610.0,622.0,4164.0,2619518.0,620.0,2.0
2014-08-27,119.0,670.0,632.0,660.0,3426.0,2243079.0,622.0,38.0
2014-08-28,121.0,691.0,660.0,681.0,2421.0,1648758.0,660.0,21.0
2014-08-31,130.0,690.0,644.0,658.0,3734.0,2512513.0,681.0,-23.0
2014-09-01,110.0,655.0,605.0,647.0,3783.0,2355721.0,658.0,-11.0
2014-09-03,128.0,655.0,598.0,635.0,2737.0,1741989.0,647.0,-12.0
2014-09-04,103.0,625.0,600.0,624.0,3897.0,2400094.0,635.0,-11.0
2014-09-07,54.0,622.0,580.0,585.0,1096.0,650191.0,624.0,-39.0
2014-09-09,102.0,615.0,574.0,606.0,2883.0,1736448.0,585.0,21.0
2014-09-10,218.0,630.0,593.0,605.0,7050.0,4265443.0,606.0,-1.0
2014-09-11,157.0,602.0,569.0,602.0,1977.0,1162448.0,605.0,-3.0
2014-09-14,74.0,600.0,570.0,583.0,2158.0,1268510.0,602.0,-19.0
2014-09-15,95.0,600.0,565.0,575.0,1266.0,737506.0,583.0,-8.0
2014-09-16,96.0,603.0,576.0,594.0,1370.0,803797.0,575.0,19.0
2014-09-17,132.0,594.0,580.0,582.0,2786.0,1633017.0,594.0,-12.0
2014-09-18,86.0,580.0,563.0,577.0,1181.0,672775.0,582.0,-5.0
2014-09-21,226.0,575.0,546.0,550.0,3171.0,1764970.0,577.0,-27.0
2014-09-22,99.0,605.0,544.0,560.0,2743.0,1516421.0,550.0,10.0
2014-09-23,139.0,592.0,505.0,580.0,2286.0,1301216.0,560.0,20.0
2014-09-24,165.0,575.0,555.0,565.0,1805.0,1019458.0,580.0,-15.0
2014-09-28,141.0,570.0,514.0,545.0,2120.0,1158557.0,565.0,-20.0
2014-09-29,156.0,595.0,546.0,586.0,2490.0,1445277.0,545.0,41.0
2014-09-30,227.0,603.0,580.0,585.0,3547.0,2096651.0,586.0,-1.0
2014-10-08,105.0,607.0,579.0,583.0,1479.0,871952.0,585.0,-2.0
2014-10-09,171.0,594.0,574.0,580.0,2171.0,1258273.0,583.0,-3.0
2014-10-12,178.0,585.0,575.0,580.0,2731.0,1582800.0,580.0,0.0
2014-10-13,190.0,577.0,555.0,562.0,2384.0,1352752.0,580.0,-18.0
2014-10-14,170.0,580.0,562.0,580.0,2238.0,1267357.0,562.0,18.0
2014-10-15,42.0,590.0,571.0,583.0,10544.0,6124667.0,580.0,3.0
2014-10-16,63.0,585.0,570.0,575.0,977.0,565738.0,583.0,-8.0
2014-10-19,6.0,584.0,580.0,584.0,64.0,37200.0,575.0,9.0
2014-10-21,161.0,581.0,570.0,575.0,2964.0,1705666.0,584.0,-9.0
2014-10-22,132.0,590.0,567.0,579.0,3075.0,1769390.0,575.0,4.0
2014-10-26,89.0,585.0,569.0,580.0,2762.0,1596206.0,579.0,1.0
2014-10-27,143.0,591.0,580.0,585.0,6961.0,4084743.0,580.0,5.0
2014-10-28,427.0,584.0,568.0,575.0,8981.0,5171062.0,585.0,-10.0
2014-10-30,887.0,577.0,555.0,560.0,15328.0,8678147.0,575.0,-15.0
2014-11-02,20.0,509.0,499.0,501.0,209.0,104726.0,509.0,-8.0
2014-11-03,6.0,491.0,482.0,485.0,92.0,44875.0,501.0,-16.0
2014-11-04,23.0,510.0,494.0,510.0,351.0,175288.0,485.0,25.0
2014-11-05,24.0,533.0,500.0,520.0,1448.0,736573.0,510.0,10.0
2014-11-06,15.0,529.0,517.0,520.0,942.0,489935.0,520.0,0.0
2014-11-09,4.0,520.0,510.0,510.0,159.0,81222.0,520.0,-10.0
2014-11-10,26.0,510.0,495.0,497.0,534.0,267121.0,510.0,-13.0
2014-11-11,20.0,500.0,495.0,500.0,384.0,191370.0,497.0,3.0
2014-11-12,58.0,505.0,486.0,486.0,904.0,453821.0,500.0,-14.0
2014-11-13,10.0,495.0,490.0,495.0,254.0,124913.0,486.0,9.0
2014-11-16,2.0,490.0,486.0,486.0,22.0,10736.0,495.0,-9.0
2014-11-17,13.0,486.0,466.0,472.0,279.0,131479.0,486.0,-14.0
2014-11-18,7.0,470.0,456.0,456.0,240.0,110257.0,472.0,-16.0
