Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-10-08,102.0,561.0,510.0,561.0,15089.0,8459814.0,0.0,561.0
2013-10-09,504.0,617.0,552.0,588.0,35306.0,20267098.0,561.0,27.0
2013-10-10,237.0,592.0,560.0,570.0,35368.0,20109429.0,588.0,-18.0
2013-10-17,35.0,571.0,556.0,570.0,929.0,521350.0,570.0,0.0
2013-10-20,307.0,572.0,550.0,552.0,20290.0,11385331.0,570.0,-18.0
2013-10-21,269.0,562.0,546.0,550.0,17633.0,9752910.0,552.0,-2.0
2013-10-22,349.0,553.0,541.0,552.0,14205.0,7814629.0,550.0,2.0
2013-10-23,213.0,553.0,548.0,550.0,9428.0,5189975.0,552.0,-2.0
2013-10-24,282.0,550.0,546.0,546.0,15905.0,8711768.0,550.0,-4.0
2013-10-27,244.0,553.0,525.0,532.0,23588.0,12561924.0,546.0,-14.0
2013-10-28,271.0,532.0,502.0,525.0,9751.0,5128338.0,532.0,-7.0
2013-10-29,314.0,525.0,511.0,524.0,15923.0,8244850.0,525.0,-1.0
2013-10-30,321.0,541.0,520.0,534.0,10391.0,5479842.0,524.0,10.0
2013-10-31,209.0,554.0,527.0,530.0,18215.0,9765325.0,534.0,-4.0
2013-11-06,196.0,520.0,491.0,506.0,9332.0,4673301.0,530.0,-24.0
2013-11-07,222.0,520.0,506.0,520.0,20606.0,10581852.0,506.0,14.0
2013-11-10,103.0,535.0,513.0,522.0,5575.0,2901743.0,520.0,2.0
2013-11-11,158.0,546.0,512.0,536.0,8213.0,4306410.0,522.0,14.0
2013-11-12,154.0,562.0,545.0,546.0,17438.0,9600227.0,536.0,10.0
2013-11-13,208.0,560.0,540.0,560.0,22376.0,12382523.0,546.0,14.0
2013-11-14,309.0,565.0,545.0,550.0,23479.0,12938781.0,560.0,-10.0
2013-11-21,6.0,583.0,561.0,583.0,408.0,236017.0,550.0,33.0
2013-11-24,78.0,641.0,594.0,610.0,11553.0,7225739.0,583.0,27.0
2013-11-25,91.0,614.0,569.0,608.0,7967.0,4718224.0,610.0,-2.0
2013-11-26,150.0,620.0,591.0,595.0,9692.0,5842573.0,608.0,-13.0
2013-11-27,51.0,594.0,580.0,590.0,5158.0,3023589.0,595.0,-5.0
2013-11-28,96.0,600.0,576.0,590.0,6828.0,4026393.0,590.0,0.0
2013-12-01,97.0,593.0,582.0,587.0,5856.0,3430741.0,590.0,-3.0
2013-12-02,144.0,598.0,578.0,598.0,8028.0,4738726.0,587.0,11.0
2013-12-03,144.0,650.0,591.0,648.0,16832.0,10177459.0,598.0,50.0
2013-12-04,96.0,712.0,650.0,706.0,18675.0,12783141.0,648.0,58.0
2013-12-05,103.0,772.0,690.0,715.0,18044.0,12887823.0,706.0,9.0
2013-12-08,79.0,715.0,661.0,681.0,13331.0,9258816.0,715.0,-34.0
2013-12-09,100.0,681.0,662.0,680.0,8425.0,5667036.0,681.0,-1.0
2013-12-10,134.0,679.0,654.0,670.0,8708.0,5859531.0,680.0,-10.0
2013-12-11,176.0,685.0,668.0,672.0,16583.0,11141470.0,670.0,2.0
2013-12-12,116.0,704.0,674.0,700.0,8145.0,5637642.0,672.0,28.0
2013-12-15,60.0,734.0,695.0,729.0,7684.0,5429246.0,700.0,29.0
2013-12-16,16.0,771.0,730.0,771.0,12260.0,9185790.0,729.0,42.0
2013-12-18,31.0,801.0,770.0,785.0,2234.0,1749641.0,771.0,14.0
2013-12-19,55.0,787.0,721.0,765.0,13766.0,10249279.0,785.0,-20.0
2013-12-22,137.0,770.0,750.0,765.0,14248.0,10814012.0,765.0,0.0
2013-12-23,197.0,762.0,732.0,740.0,16742.0,12456922.0,765.0,-25.0
2013-12-24,325.0,740.0,691.0,715.0,14493.0,10438348.0,740.0,-25.0
2013-12-26,295.0,736.0,701.0,706.0,46841.0,33634449.0,715.0,-9.0
2013-12-29,1.0,694.0,694.0,694.0,21.0,14574.0,706.0,-12.0
2013-12-31,36.0,710.0,681.0,702.0,1527.0,1072066.0,694.0,8.0
2014-01-01,71.0,698.0,689.0,689.0,3160.0,2191618.0,702.0,-13.0
2014-01-02,112.0,720.0,676.0,700.0,10548.0,7253567.0,689.0,11.0
2014-01-05,51.0,700.0,686.0,700.0,3204.0,2233355.0,700.0,0.0
2014-01-06,48.0,698.0,682.0,690.0,1762.0,1214481.0,700.0,-10.0
2014-01-07,73.0,709.0,680.0,690.0,3346.0,2320311.0,690.0,0.0
2014-01-08,69.0,725.0,702.0,715.0,2717.0,1948472.0,690.0,25.0
2014-01-09,78.0,735.0,711.0,730.0,3122.0,2255279.0,715.0,15.0
2014-01-12,22.0,800.0,744.0,788.0,665.0,515049.0,730.0,58.0
2014-01-13,42.0,823.0,758.0,823.0,1440.0,1158851.0,788.0,35.0
2014-01-14,64.0,841.0,825.0,840.0,6316.0,5263965.0,823.0,17.0
2014-01-16,44.0,892.0,850.0,880.0,2697.0,2384228.0,840.0,40.0
2014-01-19,30.0,897.0,882.0,897.0,1530.0,1362390.0,880.0,17.0
2014-01-20,32.0,896.0,880.0,896.0,1987.0,1771816.0,897.0,-1.0
2014-01-21,61.0,900.0,885.0,886.0,1704.0,1518092.0,896.0,-10.0
2014-01-22,36.0,897.0,836.0,880.0,3066.0,2698549.0,886.0,-6.0
2014-01-23,36.0,885.0,860.0,870.0,1331.0,1155726.0,880.0,-10.0
2014-01-26,72.0,859.0,840.0,840.0,2700.0,2289921.0,870.0,-30.0
2014-01-27,45.0,845.0,810.0,845.0,2049.0,1708182.0,840.0,5.0
2014-01-28,78.0,845.0,825.0,825.0,2885.0,2414766.0,845.0,-20.0
2014-01-29,57.0,840.0,815.0,840.0,1857.0,1535787.0,825.0,15.0
2014-02-02,18.0,830.0,820.0,824.0,1020.0,842316.0,840.0,-16.0
2014-02-03,44.0,830.0,814.0,825.0,4537.0,3710765.0,824.0,1.0
2014-02-04,91.0,850.0,825.0,850.0,3290.0,2736087.0,825.0,25.0
2014-02-05,42.0,856.0,827.0,847.0,1622.0,1370351.0,850.0,-3.0
2014-02-06,31.0,854.0,836.0,848.0,3090.0,2621304.0,847.0,1.0
2014-02-09,32.0,860.0,826.0,849.0,2029.0,1692620.0,848.0,1.0
2014-02-10,24.0,890.0,842.0,846.0,2031.0,1766264.0,849.0,-3.0
2014-02-11,93.0,851.0,830.0,830.0,11392.0,9559083.0,846.0,-16.0
2014-02-12,43.0,855.0,827.0,830.0,1480.0,1241911.0,830.0,0.0
2014-02-13,115.0,850.0,824.0,850.0,3847.0,3221012.0,830.0,20.0
2014-02-16,48.0,849.0,816.0,821.0,2121.0,1778218.0,850.0,-29.0
2014-02-17,11.0,841.0,837.0,838.0,310.0,260388.0,821.0,17.0
2014-02-18,41.0,860.0,825.0,855.0,2073.0,1744766.0,838.0,17.0
2014-02-20,43.0,894.0,830.0,861.0,2040.0,1773688.0,855.0,6.0
2014-02-23,43.0,900.0,865.0,874.0,10495.0,9371704.0,861.0,13.0
2014-02-24,42.0,916.0,880.0,890.0,6355.0,5731243.0,874.0,16.0
2014-02-25,36.0,918.0,860.0,910.0,7868.0,6957537.0,890.0,20.0
2014-02-26,43.0,900.0,865.0,875.0,5430.0,4735379.0,910.0,-35.0
2014-03-03,19.0,875.0,840.0,860.0,1398.0,1189165.0,875.0,-15.0
2014-03-04,42.0,845.0,809.0,830.0,4854.0,3985060.0,860.0,-30.0
2014-03-05,55.0,866.0,824.0,850.0,4425.0,3766933.0,830.0,20.0
2014-03-06,72.0,861.0,840.0,841.0,4960.0,4232530.0,850.0,-9.0
2014-03-09,83.0,849.0,829.0,830.0,8197.0,6886799.0,841.0,-11.0
2014-03-10,23.0,846.0,824.0,840.0,1964.0,1631376.0,830.0,10.0
2014-03-11,60.0,834.0,814.0,827.0,3762.0,3111836.0,840.0,-13.0
2014-03-12,37.0,830.0,811.0,811.0,3825.0,3119946.0,827.0,-16.0
2014-03-13,62.0,833.0,800.0,821.0,6957.0,5751245.0,811.0,10.0
2014-03-17,69.0,810.0,800.0,805.0,4699.0,3785536.0,821.0,-16.0
2014-03-18,51.0,810.0,791.0,805.0,13159.0,10598791.0,805.0,0.0
2014-03-19,86.0,820.0,800.0,810.0,15239.0,12316939.0,805.0,5.0
2014-03-20,68.0,811.0,800.0,810.0,6811.0,5483154.0,810.0,0.0
2014-03-23,24.0,815.0,779.0,805.0,3837.0,3088074.0,810.0,-5.0
2014-03-24,60.0,813.0,801.0,812.0,3996.0,3236645.0,805.0,7.0
2014-03-25,40.0,816.0,806.0,810.0,3987.0,3231300.0,812.0,-2.0
2014-03-26,38.0,815.0,805.0,806.0,3634.0,2950177.0,810.0,-4.0
2014-03-27,39.0,834.0,812.0,818.0,6987.0,5707220.0,806.0,12.0
2014-03-31,72.0,846.0,815.0,828.0,6103.0,5010861.0,818.0,10.0
2014-04-01,63.0,838.0,825.0,835.0,3889.0,3242360.0,828.0,7.0
2014-04-02,83.0,850.0,826.0,845.0,7594.0,6350122.0,835.0,10.0
2014-04-03,39.0,855.0,828.0,835.0,3542.0,2956837.0,845.0,-10.0
2014-04-06,23.0,835.0,815.0,830.0,2304.0,1897323.0,835.0,-5.0
2014-04-07,60.0,833.0,817.0,832.0,6389.0,5281062.0,830.0,2.0
2014-04-09,45.0,865.0,820.0,864.0,11732.0,9794286.0,832.0,32.0
2014-04-10,58.0,869.0,850.0,855.0,8551.0,7389760.0,864.0,-9.0
2014-04-13,37.0,888.0,870.0,875.0,5353.0,4702067.0,855.0,20.0
2014-04-15,27.0,875.0,860.0,875.0,2133.0,1847274.0,875.0,0.0
2014-04-16,28.0,870.0,832.0,840.0,5897.0,5000804.0,875.0,-35.0
2014-04-17,41.0,880.0,837.0,880.0,3391.0,2861425.0,840.0,40.0
2014-04-20,48.0,863.0,840.0,845.0,5549.0,4705953.0,880.0,-35.0
2014-04-21,20.0,855.0,841.0,846.0,1424.0,1207070.0,845.0,1.0
2014-04-22,77.0,875.0,845.0,875.0,3649.0,3112944.0,846.0,29.0
2014-04-23,35.0,873.0,855.0,855.0,4054.0,3511393.0,875.0,-20.0
2014-04-27,71.0,869.0,855.0,864.0,2478.0,2129012.0,855.0,9.0
2014-04-28,47.0,865.0,850.0,851.0,3573.0,3052974.0,864.0,-13.0
2014-04-29,85.0,848.0,833.0,840.0,4469.0,3772425.0,851.0,-11.0
2014-04-30,57.0,848.0,835.0,845.0,5971.0,5003143.0,840.0,5.0
2014-05-04,75.0,860.0,845.0,860.0,6156.0,5231568.0,845.0,15.0
2014-05-05,86.0,914.0,861.0,869.0,8183.0,7190840.0,860.0,9.0
2014-05-06,44.0,885.0,857.0,870.0,3410.0,2959228.0,869.0,1.0
2014-05-07,47.0,865.0,846.0,846.0,3612.0,3081083.0,870.0,-24.0
2014-05-08,57.0,850.0,839.0,840.0,8261.0,6957122.0,846.0,-6.0
2014-05-11,54.0,849.0,819.0,839.0,5747.0,4777818.0,840.0,-1.0
2014-05-12,43.0,845.0,835.0,845.0,4037.0,3391689.0,839.0,6.0
2014-05-13,38.0,852.0,835.0,842.0,4093.0,3428486.0,845.0,-3.0
