Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2022-03-13,8.0,502.0,502.0,502.0,42.0,21232.4,0.0,0.0
2022-03-14,11.0,532.6,502.0,532.6,62.0,32082.3,502.0,30.6
2022-03-15,5.0,557.9,536.3,557.9,40.0,21915.0,532.6,25.3
2022-03-16,4.0,569.0,557.9,569.0,21.0,11774.6,557.9,11.1
2022-03-20,7.0,625.9,580.3,625.9,70.0,42237.0,569.0,56.9
2022-03-21,7.0,638.4,625.9,638.4,30.0,18942.8,625.9,12.5
2022-03-22,4.0,677.3,651.1,677.3,31.0,20576.1,638.4,38.9
2022-03-23,11.0,745.0,690.8,745.0,101.0,73912.3,677.3,67.7
2022-03-24,9.0,819.5,745.0,819.5,62.0,49126.1,745.0,74.5
2022-03-27,12.0,901.4,835.8,901.4,110.0,97049.0,819.5,81.9
2022-03-28,17.0,991.5,919.0,991.5,139.0,133920.6,901.4,90.1
2022-03-29,20.0,1090.6,1011.3,1090.6,131.0,140406.0,991.5,99.1
2022-03-30,9.0,1199.6,1112.4,1199.6,90.0,105825.0,1090.6,109.0
2022-03-31,14.0,1319.5,1223.5,1319.5,130.0,169016.8,1199.6,119.9
2022-04-03,24.0,1451.4,1345.8,1451.4,240.0,345747.0,1319.5,131.9
2022-04-04,24.0,1596.5,1480.4,1596.5,220.0,347833.6,1451.4,145.1
2022-04-05,118.0,1756.1,1565.4,1756.1,3833.0,6724481.3,1596.5,159.6
2022-04-06,3560.0,1931.7,1653.0,1660.0,49627.0,90489817.2,1756.1,-96.1
2022-04-07,2303.0,1660.0,1525.0,0.0,23889.0,37059229.8,1660.0,-128.0
2022-04-11,1300.0,1506.0,1380.0,1380.1,17849.0,25382156.3,1532.0,-151.9
2022-04-12,656.0,1352.5,1290.0,1306.1,11796.0,15470277.9,1380.1,-74.0
2022-04-13,377.0,1435.0,1262.0,1400.0,6139.0,8263651.5,1306.1,93.9
