Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2021-05-03,5.0,384.0,356.0,384.0,50.0,18500.0,0.0,384.0
2021-05-04,24.0,422.0,391.0,422.0,1759.0,700942.0,384.0,38.0
2021-05-05,4.0,454.0,430.0,454.0,40.0,17680.0,422.0,32.0
2021-05-06,30.0,499.0,463.0,499.0,300.0,148800.0,454.0,45.0
2021-05-09,80.0,548.0,523.0,548.0,800.0,437200.0,499.0,49.0
2021-05-10,104.0,602.0,575.0,602.0,1040.0,624790.0,548.0,54.0
2021-05-11,73.0,662.0,632.0,662.0,2386.0,1578601.0,602.0,60.0
2021-05-12,112.0,728.0,695.0,728.0,1100.0,799070.0,662.0,66.0
2021-05-13,203.0,800.0,764.0,800.0,2030.0,1623010.0,728.0,72.0
2021-05-16,316.0,880.0,840.0,880.0,4169.0,3663210.0,800.0,80.0
2021-05-17,505.0,968.0,924.0,968.0,9826.0,9504188.0,880.0,88.0
2021-05-18,524.0,1064.0,1016.0,1064.0,7325.0,7719160.0,968.0,96.0
2021-05-19,300.0,1170.0,1117.0,1170.0,3350.0,3906910.0,1064.0,106.0
2021-05-20,3269.0,1287.0,1053.0,1125.0,44213.0,50201302.0,1170.0,-45.0
2021-05-23,925.0,1179.0,1030.0,1083.0,10376.0,11227161.0,1125.0,-42.0
2021-05-24,692.0,1101.0,1045.0,1062.0,12738.0,13580615.0,1083.0,-21.0
2021-05-25,298.0,1091.0,1052.0,1073.0,5907.0,6276660.0,1062.0,11.0
2021-05-27,313.0,1085.0,1050.0,1085.0,4868.0,5198017.0,1073.0,12.0
2021-05-30,227.0,1100.0,1050.0,1052.0,5325.0,5661620.0,1085.0,-33.0
2021-05-31,270.0,1070.0,1011.0,1016.0,8268.0,8611004.0,1052.0,-36.0
2021-06-01,284.0,1020.0,968.0,999.0,6215.0,6142170.0,1016.0,-17.0
2021-06-02,224.0,1031.0,968.0,1030.0,2625.0,2632602.0,999.0,31.0
2021-06-03,124.0,1048.0,994.0,1012.0,1684.0,1708688.0,1030.0,-18.0
2021-06-06,167.0,1021.0,993.0,996.0,3992.0,4008115.0,1012.0,-16.0
2021-06-07,119.0,1033.0,975.0,990.0,3880.0,3865440.0,996.0,-6.0
2021-06-08,88.0,1021.0,982.0,994.0,3190.0,3173870.0,990.0,4.0
2021-06-09,105.0,1000.0,985.0,1000.0,1821.0,1800462.0,994.0,6.0
2021-06-10,228.0,1005.0,943.0,986.0,12413.0,12024905.0,1000.0,-14.0
2021-06-13,189.0,1005.0,970.0,970.0,6830.0,6726265.0,986.0,-16.0
2021-06-14,125.0,999.0,956.0,974.0,3620.0,3513580.0,970.0,4.0
2021-06-15,159.0,966.0,943.0,950.0,4493.0,4289895.0,974.0,-24.0
2021-06-16,171.0,963.0,885.0,914.0,3420.0,3178810.0,950.0,-36.0
2021-06-17,192.0,954.0,889.0,950.0,4414.0,4035480.0,914.0,36.0
2021-06-20,266.0,1000.0,925.0,980.0,8256.0,7894878.0,950.0,30.0
2021-06-21,102.0,980.0,937.0,954.0,3410.0,3271460.0,980.0,-26.0
2021-06-22,90.0,991.0,936.0,951.0,3954.0,3761428.0,954.0,-3.0
2021-06-23,52.0,960.0,933.0,936.0,1115.0,1050395.0,951.0,-15.0
2021-06-24,101.0,965.0,920.0,960.0,2380.0,2245770.0,936.0,24.0
2021-06-27,118.0,1008.0,931.0,964.0,3500.0,3331020.0,960.0,4.0
2021-06-28,50.0,970.0,933.0,950.0,710.0,674120.0,964.0,-14.0
2021-06-29,52.0,940.0,915.0,925.0,1330.0,1232050.0,950.0,-25.0
2021-06-30,80.0,943.0,907.0,927.0,1608.0,1488445.0,925.0,2.0
2021-07-01,93.0,940.0,891.0,936.0,4440.0,4122720.0,927.0,9.0
2021-07-04,83.0,920.0,901.0,913.0,1629.0,1489984.0,936.0,-23.0
2021-07-05,95.0,910.0,895.0,905.0,1966.0,1773093.0,913.0,-8.0
2021-07-06,90.0,945.0,892.0,910.0,1340.0,1227810.0,905.0,5.0
2021-07-07,44.0,907.0,893.0,907.0,600.0,540534.0,910.0,-3.0
2021-07-08,79.0,925.0,896.0,902.0,2672.0,2432264.0,907.0,-5.0
2021-07-11,91.0,930.0,900.0,909.0,2120.0,1933450.0,902.0,7.0
2021-07-12,57.0,920.0,902.0,903.0,2670.0,2421280.0,909.0,-6.0
2021-07-13,45.0,910.0,900.0,910.0,771.0,697689.0,903.0,7.0
2021-07-14,59.0,928.0,900.0,915.0,1305.0,1187820.0,910.0,5.0
2021-07-15,103.0,930.0,900.0,906.0,4000.0,3620310.0,915.0,-9.0
2021-07-18,101.0,940.0,900.0,939.0,2851.0,2634206.9,906.0,33.0
2021-07-19,55.0,930.0,912.0,920.0,1119.0,1032987.8,939.0,-19.0
2021-07-20,73.0,937.0,903.0,930.0,1060.0,982347.0,920.0,10.0
2021-07-22,334.0,1000.0,941.0,967.0,16210.0,15839914.4,930.0,37.0
2021-07-25,145.0,986.0,947.0,967.0,5781.0,5553734.0,967.0,0.0
2021-07-26,67.0,970.0,950.0,950.1,2890.0,2753453.5,967.0,-16.9
2021-07-27,166.0,1010.0,940.0,976.1,5827.0,5713956.0,950.1,26.0
2021-07-28,220.0,1025.0,975.0,1002.0,6938.0,6945198.5,976.1,25.9
2021-07-29,111.0,999.6,965.0,999.0,4385.0,4280664.5,1002.0,-3.0
2021-08-01,95.0,1005.0,961.0,989.0,5907.0,5841042.0,999.0,-10.0
2021-08-02,89.0,1005.0,975.0,980.0,2335.0,2300174.0,989.0,-9.0
2021-08-03,443.0,1078.0,997.0,1078.0,17893.0,18529633.5,980.0,98.0
2021-08-04,461.0,1185.8,1099.5,1152.6,14963.0,17045879.8,1078.0,62.0
2021-08-05,278.0,1162.8,1085.1,1100.0,12292.0,13612815.0,1152.6,-52.6
2021-08-08,209.0,1120.0,1060.0,1100.0,6768.0,7418847.5,1100.0,0.0
2021-08-09,173.0,1125.0,1079.5,1110.0,5454.0,5989406.0,1100.0,10.0
2021-08-10,146.0,1143.9,1085.0,1100.0,8160.0,9008713.0,1110.0,-10.0
2021-08-11,481.0,1210.0,1080.0,1210.0,19474.0,23082752.0,1100.0,110.0
2021-08-12,308.0,1331.0,1234.0,1331.0,14822.0,19553411.5,1210.0,121.0
2021-08-15,533.0,1400.0,1242.0,1398.0,23547.0,30842591.9,1331.0,67.0
2021-08-16,500.0,1537.8,1316.5,1530.0,15796.0,22489207.8,1398.0,132.0
2021-08-17,385.0,1683.0,1560.6,1683.0,11943.0,19887009.3,1530.0,153.0
2021-08-18,603.0,1770.0,1536.7,1770.0,20233.0,33103941.1,1683.0,87.0
2021-08-19,607.0,1849.2,1593.0,1813.0,24376.0,40066835.6,1770.0,43.0
2021-08-24,148.0,1776.8,1631.7,1631.7,4658.0,7605711.6,1813.0,-181.3
2021-08-25,630.0,1599.1,1468.6,1550.0,26750.0,39881109.1,1631.7,-81.7
2021-08-26,514.0,1662.0,1402.0,1662.0,20481.0,30084048.0,1550.0,112.0
2021-08-29,466.0,1628.8,1495.8,1495.8,22376.0,33646922.0,1662.0,-166.2
2021-08-31,382.0,1479.0,1346.3,1346.3,14913.0,20447077.1,1495.8,-149.5
2021-09-01,216.0,1479.0,1300.0,1448.0,6391.0,8907716.0,1346.3,101.7
2021-09-02,148.0,1476.0,1339.0,1445.0,6272.0,8710532.0,1448.0,-3.0
2021-09-05,187.0,1416.1,1300.5,1300.5,8156.0,10752107.0,1445.0,-144.5
2021-09-06,136.0,1410.0,1281.0,1398.0,3706.0,5014735.5,1300.5,97.5
2021-09-07,155.0,1405.0,1278.9,1300.0,7207.0,9532349.0,1398.0,-98.0
2021-09-08,139.0,1351.0,1280.0,1305.0,4575.0,5975825.5,1300.0,5.0
2021-09-09,115.0,1331.0,1280.0,1310.0,4705.0,6091584.0,1305.0,5.0
2021-09-12,197.0,1390.0,1325.0,1380.0,7991.0,10894848.6,1310.0,70.0
2021-09-13,107.0,1407.0,1353.0,1375.0,2965.0,4068595.0,1380.0,-5.0
2021-09-14,68.0,1380.0,1340.1,1379.0,1520.0,2074768.0,1375.0,4.0
2021-09-15,119.0,1395.0,1265.0,1312.0,4869.0,6323873.0,1379.0,-67.0
2021-09-16,112.0,1305.0,1280.0,1280.0,4861.0,6275079.0,1312.0,-32.0
2021-09-20,157.0,1300.0,1155.0,1160.0,4631.0,5605825.0,1280.0,-120.0
2021-09-21,126.0,1227.0,1063.3,1227.0,4787.0,5577514.6,1160.0,67.0
2021-09-22,258.0,1347.0,1230.0,1327.0,6324.0,8235787.0,1227.0,100.0
2021-09-23,111.0,1240.0,1170.0,1180.1,3958.0,4773142.0,1206.0,-25.9
2021-09-26,75.0,1160.0,1080.0,1106.0,2429.0,2717610.0,1180.1,-74.1
2021-09-27,93.0,1106.0,997.9,1065.0,3031.0,3221466.0,1106.0,-41.0
2021-09-28,82.0,1064.9,971.0,975.0,3578.0,3556657.0,1065.0,-90.0
2021-09-29,73.0,1072.5,960.0,1056.0,2109.0,2104543.0,975.0,81.0
2021-09-30,90.0,1119.9,992.0,1119.9,2644.0,2729874.5,1056.0,63.9
2021-10-03,63.0,1142.0,1050.0,1069.0,2525.0,2774289.0,1119.9,-50.9
2021-10-04,69.0,1090.3,990.0,1070.0,1575.0,1598722.8,1069.0,1.0
2021-10-05,47.0,1091.4,1010.0,1090.0,1260.0,1324054.0,1070.0,20.0
2021-10-06,58.0,1189.0,1040.0,1100.0,1803.0,1957342.0,1090.0,10.0
2021-10-10,40.0,1122.0,1050.0,1070.0,2424.0,2580684.0,1100.0,-30.0
2021-10-11,22.0,1091.0,1029.0,1050.0,2058.0,2161786.0,1070.0,-20.0
2021-10-17,27.0,1135.0,1029.0,1045.0,700.0,734351.0,1050.0,-5.0
2021-10-18,28.0,1024.1,985.1,988.9,830.0,827717.0,1045.0,-56.1
2021-10-19,55.0,970.0,930.0,970.0,1805.0,1706565.0,988.9,-18.9
2021-10-20,39.0,1067.0,936.9,1025.0,1120.0,1109991.0,970.0,55.0
2021-10-21,50.0,1015.0,922.5,1014.0,2135.0,2071149.5,1025.0,-11.0
2021-10-24,39.0,1020.0,955.0,990.0,1071.0,1051614.0,1014.0,-24.0
2021-10-25,62.0,1025.0,990.0,1025.0,2477.0,2512854.0,990.0,35.0
2021-10-26,71.0,1122.0,1025.0,1063.0,2095.0,2262597.9,1025.0,38.0
2021-10-27,95.0,1100.0,1039.0,1088.0,5118.0,5440887.0,1063.0,25.0
2021-10-28,68.0,1109.7,1048.6,1079.0,2670.0,2846907.9,1088.0,-9.0
2021-10-31,143.0,1184.2,1058.4,1164.0,7583.0,8516988.0,1079.0,85.0
2021-11-01,91.0,1269.2,1142.0,1142.0,3601.0,4252741.5,1164.0,-22.0
2021-11-02,40.0,1212.0,1118.3,1150.0,1950.0,2293887.0,1142.0,8.0
2021-11-03,39.0,1173.0,1127.1,1150.0,1682.0,1931354.0,1150.0,0.0
2021-11-08,43.0,1150.0,1105.0,1105.0,1512.0,1697344.0,1150.0,-45.0
2021-11-09,79.0,1083.0,1031.0,1033.0,3240.0,3410240.0,1105.0,-72.0
2021-11-11,80.0,1076.9,1012.0,1050.0,2227.0,2335262.2,1033.0,17.0
2021-11-14,64.0,1065.0,1018.1,1021.0,3813.0,3928802.5,1050.0,-29.0
2021-11-15,57.0,1061.8,1021.0,1025.1,2451.0,2539397.5,1021.0,4.1
2021-11-16,57.0,1087.7,1024.1,1060.0,1890.0,1987101.0,1025.1,34.9
2021-11-17,60.0,1091.4,1050.0,1071.0,2261.0,2437361.6,1060.0,11.0
2021-11-18,58.0,1092.0,1038.8,1050.0,1852.0,1957005.2,1071.0,-21.0
2021-11-21,49.0,1071.0,1033.0,1035.0,1163.0,1220638.0,1050.0,-15.0
2021-11-22,49.0,1060.0,1020.0,1026.0,1061.0,1097041.0,1035.0,-9.0
2021-11-23,44.0,1035.0,1010.0,1030.0,1797.0,1832889.0,1026.0,4.0
2021-11-24,33.0,1035.0,1000.0,1035.0,970.0,990416.5,1030.0,5.0
2021-11-25,24.0,1055.0,1020.0,1026.0,806.0,828811.0,1035.0,-9.0
2021-11-28,62.0,1026.0,995.0,1000.0,3064.0,3065129.0,1026.0,-26.0
2021-11-29,49.0,1006.0,985.0,985.0,1463.0,1454421.0,1000.0,-15.0
2021-11-30,42.0,1004.7,971.0,990.0,1816.0,1786422.0,985.0,5.0
2021-12-01,34.0,1020.0,988.0,988.0,1314.0,1316170.0,990.0,-2.0
2021-12-02,29.0,994.0,970.0,970.0,1051.0,1027376.0,988.0,-18.0
2021-12-05,36.0,970.0,920.0,930.0,1899.0,1764574.6,970.0,-40.0
2021-12-06,61.0,947.0,893.2,947.0,3009.0,2771765.0,930.0,17.0
2021-12-07,51.0,1020.0,904.0,904.0,1864.0,1791783.0,947.0,-43.0
2021-12-08,55.0,965.9,888.0,910.0,1415.0,1294404.5,904.0,6.0
2021-12-09,44.0,912.0,882.0,900.0,1707.0,1534826.8,910.0,-10.0
2021-12-12,32.0,918.0,882.0,890.0,955.0,852686.0,900.0,-10.0
2021-12-13,65.0,900.0,850.0,851.0,2204.0,1933657.5,890.0,-39.0
2021-12-14,20.0,909.0,865.0,906.0,780.0,703830.0,851.0,55.0
2021-12-15,51.0,924.0,891.0,906.0,2002.0,1825165.5,906.0,0.0
2021-12-16,21.0,906.0,885.0,886.0,455.0,405655.0,906.0,-20.0
2021-12-20,23.0,887.1,860.0,887.0,392.0,342894.7,886.0,1.0
2021-12-21,26.0,922.7,891.0,895.0,1335.0,1206728.0,887.0,8.0
2021-12-22,26.0,930.0,906.0,912.0,950.0,872409.0,895.0,17.0
2021-12-23,39.0,931.0,891.8,893.0,2040.0,1871508.0,912.0,-19.0
2021-12-26,42.0,966.0,893.0,935.1,741.0,694096.8,893.0,42.1
2021-12-27,42.0,950.0,900.0,900.0,1074.0,998329.0,935.1,-35.1
2021-12-28,27.0,938.0,882.1,905.0,634.0,574786.5,900.0,5.0
2021-12-29,9.0,920.0,905.0,915.0,98.0,89470.0,905.0,10.0
2022-01-02,37.0,928.0,895.0,928.0,1095.0,998950.0,915.0,13.0
2022-01-03,34.0,930.0,901.0,904.0,1100.0,1006381.1,928.0,-24.0
2022-01-04,32.0,922.0,907.0,907.0,1034.0,942656.0,904.0,3.0
2022-01-05,36.0,938.0,910.0,931.0,1659.0,1540211.0,907.0,24.0
2022-01-06,21.0,940.0,921.0,926.0,330.0,306030.0,931.0,-5.0
2022-01-09,63.0,974.0,944.0,974.0,2660.0,2565834.0,926.0,48.0
2022-01-10,127.0,1055.0,967.0,1040.0,4823.0,4924992.7,974.0,66.0
2022-01-11,61.0,1060.0,1010.0,1027.0,2791.0,2903464.5,1040.0,-13.0
2022-01-12,60.0,1047.0,997.0,1000.0,2497.0,2528216.7,1027.0,-27.0
2022-01-13,62.0,1035.0,1000.0,1034.0,2240.0,2287962.0,1000.0,34.0
2022-01-16,72.0,1075.0,1050.0,1064.9,3000.0,3176996.0,1034.0,30.9
2022-01-17,128.0,1140.7,1039.0,1114.0,5542.0,5986885.4,1064.9,49.1
2022-01-18,93.0,1114.9,1058.0,1070.0,2983.0,3234281.0,1114.0,-44.0
2022-01-19,79.0,1076.0,1030.0,1040.0,2728.0,2865608.1,1070.0,-30.0
2022-01-20,61.0,1110.0,1020.0,1097.0,1993.0,2127206.3,1040.0,57.0
2022-01-23,86.0,1101.7,1055.0,1060.0,3533.0,3827172.8,1097.0,-37.0
2022-01-24,109.0,1050.0,1000.0,1000.0,3225.0,3279333.9,1060.0,-60.0
2022-01-25,90.0,1029.9,972.0,1000.0,3413.0,3434122.4,1000.0,0.0
2022-01-26,52.0,1000.0,980.0,999.0,2022.0,1995225.0,1000.0,-1.0
2022-01-27,76.0,1020.0,980.0,1019.0,3507.0,3492191.4,999.0,20.0
2022-01-30,127.0,1065.0,1020.0,1064.0,4121.0,4293806.1,1019.0,45.0
2022-01-31,72.0,1085.0,1040.0,1040.0,2144.0,2241594.4,1064.0,-24.0
2022-02-01,104.0,1081.2,1031.0,1066.0,2872.0,3042613.1,1040.0,26.0
2022-02-03,194.0,1105.0,1071.0,1088.0,8364.0,9168388.4,1066.0,22.0
2022-02-06,80.0,1088.0,1042.8,1048.0,2947.0,3125707.4,1088.0,-40.0
