Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-07-14,19.0,348.0,308.0,308.0,440.0,147470.0,0.0,308.0
2015-07-15,10.0,302.0,278.0,278.0,131.0,37516.0,308.0,-30.0
2015-07-16,33.0,273.0,251.0,251.0,476.0,120473.0,278.0,-27.0
2015-07-22,170.0,276.0,226.0,276.0,4332.0,1084202.0,251.0,25.0
2015-07-23,108.0,300.0,272.0,272.0,9140.0,2663017.0,276.0,-4.0
2015-07-26,2.0,282.0,277.0,282.0,26.0,7267.0,272.0,10.0
2015-07-27,10.0,287.0,272.0,274.0,464.0,129986.0,282.0,-8.0
2015-07-28,37.0,271.0,256.0,271.0,1155.0,303036.0,274.0,-3.0
2015-07-29,53.0,266.0,256.0,257.0,1638.0,426388.0,271.0,-14.0
2015-07-30,75.0,271.0,250.0,271.0,3736.0,993649.0,257.0,14.0
2015-08-02,33.0,272.0,266.0,267.0,1126.0,302051.0,271.0,-4.0
2015-08-03,43.0,270.0,260.0,262.0,1630.0,436068.0,267.0,-5.0
2015-08-04,87.0,269.0,261.0,265.0,1693.0,449060.0,262.0,3.0
2015-08-05,50.0,262.0,257.0,257.0,1312.0,340168.0,265.0,-8.0
2015-08-06,31.0,260.0,256.0,256.0,530.0,136375.0,257.0,-1.0
2015-08-09,38.0,258.0,247.0,250.0,1061.0,268195.0,256.0,-6.0
2015-08-10,55.0,248.0,239.0,248.0,870.0,213062.0,250.0,-2.0
2015-08-11,15.0,248.0,241.0,244.0,278.0,67940.0,248.0,-4.0
2015-08-12,40.0,240.0,232.0,239.0,613.0,144471.0,244.0,-5.0
2015-08-13,38.0,235.0,227.0,231.0,921.0,212306.0,239.0,-8.0
2015-08-16,11.0,227.0,223.0,224.0,201.0,45248.0,231.0,-7.0
2015-08-17,12.0,220.0,216.0,216.0,160.0,35041.0,224.0,-8.0
2015-08-18,3.0,215.0,215.0,215.0,33.0,7095.0,216.0,-1.0
2015-08-19,16.0,232.0,208.0,230.0,669.0,144703.0,215.0,15.0
2015-08-20,33.0,253.0,226.0,240.0,1426.0,345987.0,230.0,10.0
2015-08-23,61.0,240.0,216.0,223.0,1134.0,254536.0,240.0,-17.0
2015-08-24,68.0,227.0,220.0,223.0,1458.0,325255.0,223.0,0.0
2015-08-25,51.0,226.0,219.0,226.0,1001.0,222211.0,223.0,3.0
2015-08-26,63.0,234.0,219.0,227.0,920.0,208292.0,226.0,1.0
2015-08-27,93.0,233.0,229.0,229.0,2901.0,669357.0,227.0,2.0
2015-08-31,82.0,234.0,226.0,226.0,2184.0,501614.0,229.0,-3.0
2015-09-01,43.0,235.0,222.0,235.0,1640.0,378459.0,226.0,9.0
2015-09-02,145.0,246.0,230.0,246.0,2708.0,633959.0,235.0,11.0
2015-09-03,136.0,242.0,228.0,230.0,1937.0,463724.0,246.0,-16.0
2015-09-06,56.0,232.0,226.0,230.0,2811.0,645922.0,230.0,0.0
2015-09-07,54.0,229.0,220.0,226.0,3260.0,730317.0,230.0,-4.0
2015-09-08,47.0,230.0,222.0,230.0,2100.0,479425.0,226.0,4.0
2015-09-09,73.0,230.0,226.0,228.0,1595.0,364683.0,230.0,-2.0
2015-09-10,78.0,233.0,227.0,233.0,2423.0,554458.0,228.0,5.0
2015-09-13,56.0,233.0,230.0,230.0,617.0,143696.0,233.0,-3.0
2015-09-14,58.0,234.0,226.0,230.0,1246.0,286912.0,230.0,0.0
2015-09-15,24.0,231.0,226.0,230.0,1272.0,292593.0,230.0,0.0
2015-09-16,4.0,232.0,230.0,232.0,43.0,9956.0,230.0,2.0
2015-09-17,71.0,236.0,232.0,232.0,928.0,217509.0,232.0,0.0
2015-09-22,5.0,228.0,224.0,227.0,296.0,67169.0,232.0,-5.0
2015-09-23,37.0,227.0,221.0,222.0,638.0,142214.0,227.0,-5.0
2015-09-24,8.0,223.0,220.0,222.0,95.0,21096.0,222.0,0.0
2015-09-28,27.0,222.0,216.0,218.0,330.0,71862.0,222.0,-4.0
2015-09-29,28.0,218.0,212.0,217.0,418.0,90062.0,218.0,-1.0
