Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2015-01-08,4.0,3100.0,3100.0,3100.0,64.0,198400.0,3100.0,0.0
2015-01-14,1.0,3162.0,3162.0,3162.0,10.0,31620.0,3100.0,62.0
2015-01-19,3.0,3381.0,3250.0,3381.0,40.0,133270.0,3162.0,219.0
2015-01-20,1.0,3448.0,3448.0,3448.0,100.0,344800.0,3381.0,67.0
2015-01-27,3.0,3693.0,3550.0,3693.0,30.0,108640.0,3448.0,245.0
2015-01-28,2.0,3841.0,3766.0,3841.0,20.0,76070.0,3693.0,148.0
2015-01-29,5.0,4225.0,3917.0,4225.0,140.0,556190.0,3841.0,384.0
2015-02-01,10.0,4647.0,4309.0,4647.0,340.0,1568970.0,4225.0,422.0
2015-02-02,4.0,4692.0,4600.0,4692.0,225.0,1037300.0,4647.0,45.0
2015-02-04,2.0,4692.0,4600.0,4692.0,50.0,232300.0,4692.0,0.0
2015-02-05,7.0,4880.0,4705.0,4705.0,346.0,1640384.0,4692.0,13.0
2015-02-08,2.0,4640.0,4550.0,4550.0,138.0,631320.0,4705.0,-155.0
2015-02-10,6.0,4460.0,4459.0,4459.0,113.0,503967.0,4550.0,-91.0
2015-02-11,1.0,4370.0,4370.0,4370.0,10.0,43700.0,4459.0,-89.0
2015-02-12,2.0,4370.0,4370.0,4370.0,750.0,3277500.0,4370.0,0.0
2015-02-15,2.0,4500.0,4457.0,4500.0,55.0,246210.0,4370.0,130.0
2015-02-16,1.0,4499.0,4499.0,4499.0,38.0,170962.0,4500.0,-1.0
2015-02-22,1.0,4505.0,4505.0,4505.0,38.0,171190.0,4499.0,6.0
2015-02-23,3.0,4475.0,4400.0,4400.0,245.0,1094875.0,4505.0,-105.0
2015-03-01,1.0,4312.0,4312.0,4312.0,25.0,107800.0,4400.0,-88.0
2015-03-03,1.0,4230.0,4230.0,4230.0,20.0,84600.0,4312.0,-82.0
2015-03-04,3.0,4155.0,4075.0,4150.0,225.0,932375.0,4230.0,-80.0
2015-03-09,4.0,4317.0,4233.0,4300.0,335.0,1433970.0,4150.0,150.0
2015-03-10,1.0,4230.0,4230.0,4230.0,50.0,211500.0,4300.0,-70.0
2015-03-11,1.0,4146.0,4146.0,4146.0,150.0,621900.0,4230.0,-84.0
2015-04-07,2.0,4100.0,4100.0,4100.0,26.0,106600.0,4146.0,-46.0
2015-04-12,1.0,4100.0,4100.0,4100.0,50.0,205000.0,4100.0,0.0
2015-04-13,1.0,4150.0,4150.0,4150.0,50.0,207500.0,4100.0,50.0
2015-07-02,1.0,4145.0,4145.0,4145.0,100.0,414500.0,4150.0,-5.0
2015-07-30,2.0,4065.0,4000.0,4000.0,638.0,2552845.0,4145.0,-145.0
2015-08-03,1.0,3920.0,3920.0,3920.0,13.0,50960.0,4000.0,-80.0
2015-08-10,1.0,3842.0,3842.0,3842.0,13.0,49946.0,3920.0,-78.0
2015-08-11,4.0,3766.0,3546.0,3546.0,939.0,3346264.0,3842.0,-296.0
2015-09-01,1.0,3600.0,3600.0,3600.0,1575.0,5670000.0,3546.0,54.0
2015-09-02,1.0,3672.0,3672.0,3672.0,100.0,367200.0,3600.0,72.0
2015-09-03,2.0,3819.0,3745.0,3819.0,200.0,756400.0,3672.0,147.0
2015-09-06,2.0,3972.0,3895.0,3972.0,1675.0,6645400.0,3819.0,153.0
2015-09-07,1.0,3976.0,3976.0,3976.0,100.0,397600.0,3972.0,4.0
2015-09-08,1.0,4055.0,4055.0,4055.0,25.0,101375.0,3976.0,79.0
2015-09-13,5.0,4080.0,4000.0,4000.0,1588.0,6372000.0,4055.0,-55.0
2015-09-15,3.0,4110.0,3951.0,4110.0,55.0,221275.0,4000.0,110.0
2015-09-16,1.0,3950.0,3950.0,3950.0,450.0,1777500.0,4110.0,-160.0
2015-09-17,1.0,4029.0,4029.0,4029.0,56.0,225624.0,3950.0,79.0
2015-09-22,6.0,4431.0,4109.0,4430.0,123.0,529812.0,4029.0,401.0
2015-09-28,1.0,4518.0,4518.0,4518.0,38.0,171684.0,4430.0,88.0
