Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2013-06-05,3.0,101.0,101.0,101.0,31450.0,3176450.0,0.0,101.0
2013-06-20,1.0,101.0,101.0,101.0,4838.0,488638.0,101.0,0.0
2013-06-23,1.0,101.0,101.0,101.0,130835.0,13214335.0,101.0,0.0
2014-12-09,1.0,100.0,100.0,100.0,9877.0,987700.0,100.0,0.0
2014-12-24,1.0,102.0,102.0,102.0,60000.0,6120000.0,100.0,2.0
2015-01-11,2.0,102.0,100.0,100.0,25416.0,2582556.0,102.0,-2.0
2015-02-18,1.0,102.0,102.0,102.0,29384.0,2997168.0,100.0,2.0
2015-02-26,1.0,102.0,102.0,102.0,7000.0,714000.0,102.0,0.0
2015-04-02,1.0,102.0,102.0,102.0,20000.0,2040000.0,102.0,0.0
2016-04-10,2.0,200.0,200.0,200.0,10371.0,2074200.0,200.0,0.0
2016-05-24,5.0,200.0,200.0,200.0,296050.0,59210000.0,200.0,0.0
2016-06-20,7.0,200.0,196.0,200.0,70220.0,13845983.0,200.0,0.0
2016-08-11,3.0,200.0,200.0,200.0,52384.0,10476800.0,200.0,0.0
