Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2016-01-11,10.0,100.0,100.0,100.0,72500.0,7250000.0,100.0,0.0
2016-01-13,8.0,100.0,100.0,100.0,53000.0,5300000.0,100.0,0.0
2017-07-11,2.0,120.0,120.0,120.0,31857.0,3822840.0,120.0,0.0
2017-07-13,1.0,120.0,120.0,120.0,10000.0,1200000.0,120.0,0.0
2017-11-21,3.0,118.0,118.0,118.0,15081.0,1779558.0,120.0,-2.0
2017-11-23,3.0,118.0,116.0,116.0,22108.0,2604744.0,118.0,-2.0
2018-01-07,1.0,0.0,0.0,0.0,15081.0,1508100.0,116.0,0.0
2018-04-04,1.0,114.0,114.0,114.0,8278.0,943692.0,116.0,-2.0
2018-09-04,1.0,100.0,100.0,100.0,2600.0,260000.0,100.0,0.0
2018-10-02,2.0,110.0,110.0,110.0,18354.0,2143440.0,110.0,0.0
2019-04-24,1.0,119.0,119.0,119.0,25135.0,2991065.0,121.0,-2.0
2019-07-17,1.0,119.0,119.0,119.0,5600.0,666400.0,119.0,0.0
2019-09-26,1.0,109.0,109.0,109.0,2240.0,244160.0,109.0,0.0
2020-07-07,1.0,109.0,109.0,109.0,10054.0,1095886.0,109.0,0.0
2020-11-02,1.0,109.0,109.0,109.0,11260.0,1227340.0,109.0,0.0
2021-01-05,1.0,109.0,109.0,109.0,4800.0,523200.0,109.0,0.0
2021-08-18,1.0,346.0,346.0,346.0,5629.0,1947634.0,346.0,0.0
2021-09-13,1.0,346.0,346.0,346.0,9296.0,3216416.0,346.0,0.0
2021-11-30,1.0,322.0,322.0,322.0,563.0,181286.0,322.0,0.0
2021-12-09,1.0,316.0,316.0,316.0,17864.0,5645024.0,322.0,-6.0
2022-01-02,1.0,316.0,316.0,316.0,1326.0,419016.0,316.0,0.0
2022-01-03,9.0,316.0,316.0,316.0,12300.0,3886800.0,316.0,0.0
2022-05-12,1.0,177.0,177.0,177.0,17961.0,3179097.0,177.0,0.0
2022-06-28,4.0,177.0,177.0,177.0,6082.0,1076514.0,177.0,0.0
