Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2017-07-10,1.0,0.0,0.0,0.0,1000.0,501000.0,0.0,0.0
2017-09-25,7.0,0.0,0.0,0.0,25000.0,10192000.0,0.0,0.0
2017-12-19,2.0,0.0,0.0,0.0,14641.0,4892966.0,0.0,0.0
2019-08-28,2.0,327.0,327.0,327.0,323525.0,105466237.5,327.0,0.0
2020-07-05,1.0,327.0,327.0,327.0,21061.0,8398073.75,327.0,0.0
2020-08-09,2.0,327.0,327.0,327.0,81294.0,29037958.0,327.0,0.0
2020-12-27,4.0,327.0,327.0,327.0,2632.0,1227392.0,327.0,0.0
2021-04-26,2.0,327.0,327.0,327.0,3150.0,1532205.0,327.0,0.0
2021-04-27,2.0,327.0,327.0,327.0,11256.0,6611868.0,327.0,0.0
2021-05-18,1.0,327.0,327.0,327.0,1100.0,537900.0,327.0,0.0
2021-05-24,2.0,327.0,327.0,327.0,2244.0,1117132.0,327.0,0.0
2021-06-01,1.0,490.0,490.0,327.0,2000.0,980000.0,327.0,0.0
2021-06-20,2.0,327.0,327.0,327.0,200.0,110000.0,327.0,0.0
2021-09-26,24.0,327.0,327.0,327.0,43260.0,19229606.0,327.0,0.0
2021-10-03,33.0,327.0,327.0,327.0,145290.0,67320610.0,327.0,0.0
2021-10-04,1.0,327.0,327.0,327.0,100.0,53100.0,327.0,0.0
2022-05-05,10.0,327.0,327.0,327.0,13100.0,7135100.0,327.0,0.0
