Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-08-22,4.0,320.0,302.0,320.0,40.0,12440.0,302.0,18.0
2019-08-26,2.0,332.0,326.0,332.0,20.0,6580.0,320.0,12.0
2019-08-27,7.0,365.0,338.0,365.0,560.0,203190.0,332.0,33.0
2019-08-28,10.0,401.0,383.0,401.0,100.0,39590.0,365.0,36.0
2019-08-29,22.0,441.0,409.0,441.0,220.0,96220.0,401.0,40.0
2019-09-01,303.0,485.0,463.0,485.0,3030.0,1467180.0,441.0,44.0
2019-09-02,3227.0,531.0,485.0,507.0,38269.0,19392113.0,485.0,22.0
2019-09-03,835.0,530.0,485.0,520.0,11510.0,5732250.0,507.0,13.0
2019-09-04,563.0,530.0,500.0,518.0,7791.0,3990098.0,520.0,-2.0
2019-09-05,266.0,519.0,503.0,506.0,5650.0,2866760.0,518.0,-12.0
2019-09-08,207.0,506.0,497.0,500.0,6380.0,3194710.0,506.0,-6.0
2019-09-09,257.0,505.0,492.0,493.0,3580.0,1773940.0,500.0,-7.0
2019-09-10,276.0,495.0,486.0,489.0,3936.0,1928238.0,493.0,-4.0
2019-09-11,215.0,499.0,484.0,486.0,4650.0,2258810.0,489.0,-3.0
2019-09-12,123.0,490.0,472.0,476.0,2820.0,1345810.0,486.0,-10.0
2019-09-15,174.0,477.0,462.0,470.0,2100.0,979550.0,476.0,-6.0
2019-09-16,119.0,473.0,459.0,460.0,2225.0,1029680.0,470.0,-10.0
2019-09-17,90.0,483.0,452.0,470.0,1773.0,826356.0,460.0,10.0
2019-09-18,94.0,490.0,470.0,473.0,1597.0,761536.0,470.0,3.0
2019-09-19,119.0,491.0,469.0,469.0,1830.0,865750.0,473.0,-4.0
2019-09-22,154.0,469.0,450.0,454.0,2580.0,1169605.0,469.0,-15.0
2019-09-23,109.0,463.0,447.0,462.0,1550.0,703690.0,454.0,8.0
2019-09-24,85.0,460.0,447.0,451.0,1210.0,547300.0,462.0,-11.0
2019-09-25,84.0,459.0,449.0,450.0,905.0,410050.0,451.0,-1.0
2019-09-26,89.0,459.0,447.0,454.0,920.0,413920.0,450.0,4.0
2019-09-29,75.0,450.0,441.0,446.0,750.0,334740.0,454.0,-8.0
2019-09-30,49.0,454.0,441.0,448.0,786.0,353250.0,446.0,2.0
2019-10-01,55.0,464.0,444.0,460.0,710.0,321060.0,448.0,12.0
2019-10-02,31.0,455.0,447.0,450.0,640.0,287730.0,460.0,-10.0
2019-10-03,29.0,460.0,450.0,458.0,744.0,337562.0,450.0,8.0
2019-10-10,3.0,451.0,450.0,451.0,70.0,31560.0,458.0,-7.0
2019-10-14,27.0,455.0,442.0,447.0,1270.0,574910.0,451.0,-4.0
2019-10-15,13.0,472.0,444.0,459.0,160.0,72830.0,447.0,12.0
2019-10-16,39.0,458.0,449.0,453.0,430.0,194880.0,459.0,-6.0
