Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2012-07-10,1.0,214.0,214.0,214.0,50.0,10700.0,225.0,-11.0
2012-07-12,1.0,204.0,204.0,204.0,50.0,10200.0,214.0,-10.0
2012-07-16,1.0,200.0,200.0,200.0,70.0,14000.0,204.0,-4.0
2012-07-17,3.0,196.0,196.0,196.0,270.0,52920.0,200.0,-4.0
2012-07-26,1.0,193.0,193.0,193.0,20.0,3860.0,196.0,-3.0
2012-08-12,5.0,190.0,190.0,190.0,500.0,95000.0,193.0,-3.0
2012-08-19,11.0,181.0,181.0,181.0,1320.0,238920.0,190.0,-9.0
2012-08-26,1.0,172.0,172.0,172.0,110.0,18920.0,181.0,-9.0
2012-09-09,6.0,169.0,155.0,155.0,60.0,9700.0,172.0,-17.0
2012-09-25,3.0,152.0,147.0,147.0,30.0,4480.0,155.0,-8.0
2012-09-26,3.0,145.0,143.0,143.0,70.0,10030.0,147.0,-4.0
2012-09-27,3.0,141.0,137.0,137.0,60.0,8340.0,143.0,-6.0
2012-10-02,8.0,135.0,124.0,124.0,200.0,25460.0,137.0,-13.0
2012-10-03,50.0,122.0,112.0,112.0,4850.0,544740.0,124.0,-12.0
2012-10-04,46.0,113.0,106.0,111.0,4670.0,510650.0,112.0,-1.0
2012-10-07,32.0,113.0,106.0,112.0,3980.0,440670.0,111.0,1.0
2012-10-08,24.0,114.0,110.0,114.0,2710.0,301430.0,112.0,2.0
2012-10-09,30.0,113.0,111.0,112.0,2770.0,309080.0,114.0,-2.0
2012-10-10,5.0,114.0,112.0,112.0,390.0,43880.0,112.0,0.0
2012-10-11,1.0,114.0,114.0,114.0,50.0,5700.0,112.0,2.0
2012-10-14,2.0,113.0,111.0,111.0,2020.0,224420.0,114.0,-3.0
2012-10-15,7.0,118.0,112.0,118.0,820.0,94570.0,111.0,7.0
2012-10-18,10.0,120.0,118.0,120.0,1090.0,130420.0,118.0,2.0
2012-10-30,6.0,119.0,118.0,119.0,780.0,92360.0,120.0,-1.0
2012-10-31,8.0,122.0,120.0,122.0,760.0,91740.0,119.0,3.0
2012-11-01,6.0,121.0,119.0,120.0,550.0,65970.0,122.0,-2.0
2012-11-04,5.0,122.0,118.0,120.0,660.0,79620.0,120.0,0.0
2012-11-05,10.0,124.0,122.0,124.0,1440.0,175860.0,120.0,4.0
2012-11-06,7.0,128.0,125.0,128.0,490.0,61870.0,124.0,4.0
2012-11-07,3.0,129.0,128.0,128.0,220.0,28280.0,128.0,0.0
2012-11-21,14.0,130.0,130.0,130.0,720.0,93600.0,128.0,2.0
2012-11-22,4.0,128.0,126.0,126.0,470.0,59760.0,130.0,-4.0
2012-11-25,10.0,124.0,116.0,116.0,660.0,77840.0,126.0,-10.0
2012-11-26,4.0,118.0,116.0,116.0,560.0,64980.0,116.0,0.0
2012-11-27,7.0,117.0,117.0,117.0,2530.0,296010.0,116.0,1.0
2012-11-28,4.0,119.0,119.0,119.0,520.0,61880.0,117.0,2.0
2012-11-29,5.0,117.0,117.0,117.0,750.0,87750.0,119.0,-2.0
2012-12-03,1.0,116.0,116.0,116.0,80.0,9280.0,117.0,-1.0
